,date,region,median_prev,prev_upper_50,prev_lower_50,median_I_smooth,I_smooth_upper_50,I_smooth_lower_50,ne_median,ne_median_lower_95,ne_median_upper_95
0,2022-05-07,Western Europe,7.6853647,9.30599,6.569647,1.395747,1.8029823,1.1110795,3.0520587275117523,2.966440958149984,3.1787272499314483
1,2022-05-08,Western Europe,9.21601,10.6609125,8.152115,1.478217,1.9094679,1.1767458,3.357900565708769,3.3406547928767094,3.393196233480207
2,2022-05-09,Western Europe,10.836695,12.183267,9.772762,1.6189816,2.0591574,1.305165,3.5909316302981185,3.599721606379056,3.584682855272835
3,2022-05-10,Western Europe,12.488087,13.840465,11.35168,2.1067424,2.45184,1.8519424,3.611260250982241,3.549349286401668,3.665207152131983
4,2022-05-11,Western Europe,14.187191,15.643207,12.904485,2.7280107,3.0136912,2.4831913,3.607959187716655,3.5124581227062146,3.7037607101895618
5,2022-05-12,Western Europe,15.984791,17.604671,14.570443,3.2076368,3.5310934,2.932346,3.684593768140404,3.589040083565636,3.7815737805327125
6,2022-05-13,Western Europe,17.905819,19.632223,16.387243,3.6031718,3.961707,3.3050241,3.795289793958661,3.704415386744887,3.884522320267033
7,2022-05-14,Western Europe,20.063532,21.924532,18.464884,3.992773,4.39116,3.659354,3.9201745201008014,3.8413077225961896,4.002471775424184
8,2022-05-15,Western Europe,22.597666,24.593548,20.827385,4.4157286,4.8416395,4.0503044,4.0573732239048255,3.980598195263489,4.134567680631576
9,2022-05-16,Western Europe,25.444853,27.649628,23.581846,4.9110117,5.3711853,4.516107,4.188399815694284,4.1201568373564506,4.265028756998665
10,2022-05-17,Western Europe,28.64728,30.989534,26.781725,5.497802,5.982195,5.07143,4.312621442912736,4.258669494184194,4.385364331125922
11,2022-05-18,Western Europe,32.233418,34.70031,30.340155,6.2006235,6.724326,5.7424507,4.42821044886544,4.383910914356085,4.494618363284119
12,2022-05-19,Western Europe,36.334343,38.840256,34.22739,6.9887986,7.5539265,6.539108,4.548070916403754,4.495104456171472,4.603699794230634
13,2022-05-20,Western Europe,40.97152,43.570065,38.549854,7.87848,8.468834,7.413516,4.668472209953378,4.607452624167444,4.719200646550943
14,2022-05-21,Western Europe,45.9427,48.797607,43.391735,8.899268,9.491502,8.371779,4.775673728966734,4.7225243830857755,4.831818497019784
