# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 18 14:00:30 PST 2022 [seed=1668808815142]
# -threads 15 -save_every 2000000 -beagle hmpxv_unmasked.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-307913.7640028361	-28643.786804486015	-279269.97719835007	104.9650405196265	1917.8322197543462	1103.1559403652661	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24.0	24.0	24.0	24.0	23.0	23.0	23.0	23.0	23.0	23.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	6.0E-5	5.9999999999999995E-5	-279269.97719835007	0.0	-26331.821258107844
25000	-259950.39604179407	-3833.768935931912	-256116.62710586216	24.371060275337715	1998.426199998635	1444.6710702363735	6906.241566713825	1653.5912528218125	456.4095305799417	248.41057923613212	298.7540728586828	407.2700988908496	228.08912874511046	72.19815526436777	65.16956351912073	24.180877466407335	7.0	7.0	24.0	32.0	26.0	14.0	49.0	19.0	31.0	25.0	45.49167372280152	0.3357700679063796	0.16358378370443966	0.16216578676092533	0.33848036162825557	0.04018119490130596	1.8776695620172006E-6	1.8776695620172057E-6	-256116.62710586216	0.0	-1457.9878036487696
50000	-259715.1403631186	-3864.2582260163454	-255850.88213710228	26.885218217145486	1995.9120420568272	1983.075309478028	4566.194682764602	1255.4399111408363	517.9143442503835	264.8826312734526	380.3086623971122	115.63036660677228	437.8401050955474	124.76182286389485	28.62510056278413	6.552311358592508	19.0	6.0	21.0	5.0	27.0	26.0	64.0	22.0	20.0	24.0	41.11208753788801	0.33570974519337815	0.16658811670191476	0.16356168959173276	0.3341404485129745	0.011295241556745191	1.302760378523699E-6	1.3027603785236998E-6	-255850.88213710228	0.0	-1488.6763121592405
75000	-259281.20361097256	-3609.0234424227883	-255672.18016854976	7.323085144976522	2015.474175128996	632.8434249735616	3532.874721742275	392.9243982488899	105.45686774342161	105.92670205154926	79.413482755917	91.24011287957441	114.5617163770408	26.602191470639774	14.38133412348729	1.3609484469046014	10.0	15.0	20.0	9.0	16.0	43.0	57.0	26.0	20.0	18.0	36.30433866650645	0.3359542672864956	0.16461109441140767	0.1646732016853512	0.33476143661674573	0.021513895725891876	4.244912726100354E-6	4.244912726100355E-6	-255672.18016854976	0.0	-1245.3800556312744
100000	-259233.64950048534	-3656.2792051948445	-255577.3702952905	10.8604369067307	2011.936823367242	885.8155498732636	1361.148460182993	3085.073042735529	85.31020689583922	149.58146699217633	440.4508717259985	133.40344757141082	243.30591597794765	16.737931648339504	22.584259272835023	1.1467201312915194	14.0	6.0	9.0	1.0	13.0	56.0	65.0	25.0	23.0	22.0	43.712103468952016	0.3330869416613687	0.16457503520253228	0.16552813024841637	0.3368098928876828	0.07862564142452304	2.955269275174894E-6	2.9552692751748944E-6	-255577.3702952905	0.0	-1283.714452560922
125000	-259014.80231425172	-3578.4700032261762	-255436.33231102553	6.568490060890605	2016.228770213082	604.0351107170267	558.7079076784689	2422.5783063138465	257.1378691960244	325.15538593319303	145.6939660868036	136.8192703707299	136.85657805543104	20.47444213279954	22.037679388668195	0.6733042819761728	10.0	8.0	7.0	4.0	25.0	59.0	49.0	20.0	31.0	21.0	30.887091067187693	0.33534215660373773	0.16330267759014236	0.16376668732500269	0.3375884784811175	0.014705585120237721	4.167656739172501E-6	4.1676567391725E-6	-255436.33231102553	0.0	-1209.8184608138372
150000	-258924.05505364438	-3586.6748365082767	-255337.3802171361	5.040388937234563	2017.756871336738	541.5448284575633	1017.3111863123027	1022.7267357350956	1417.5439572186601	599.8196027196583	177.79031109359593	131.99417977868214	65.90590372900563	46.028317825936085	13.352797815999008	1.270631096672598	2.0	12.0	3.0	17.0	23.0	55.0	56.0	13.0	31.0	22.0	37.80308348305864	0.3354764237528996	0.1667465768485635	0.16411056976396282	0.3336664296345743	0.05133698880095758	4.424439106650853E-6	4.424439106650854E-6	-255337.3802171361	0.0	-1218.9378318885854
175000	-258893.01356159896	-3579.7352706927923	-255313.27829090616	5.238251637389383	2017.5590086365833	568.4289921408762	144.43464755255067	128.69097537919725	477.4692183319785	701.1962436959898	745.3569255855242	208.99678047241034	30.375920686422294	40.5701042742358	9.030418555977452	1.1070366764909618	2.0	2.0	9.0	34.0	13.0	51.0	55.0	20.0	34.0	14.0	34.34261235369105	0.335833210510337	0.1658470093159469	0.16425234171075515	0.33406743846296116	0.027923009197938456	3.985844796999308E-6	3.985844796999304E-6	-255313.27829090616	0.0	-1214.8050447963058
200000	-258744.4052305945	-3506.1006336491987	-255238.30459694532	4.078956171492031	2018.7183041024805	481.39370710893076	242.760637957948	354.670356065605	293.22376147253016	856.7988289065142	540.5356744968273	208.57323390120112	50.01156225344909	72.23784011225432	4.659281734870209	0.25683372723546044	2.0	11.0	12.0	19.0	13.0	34.0	66.0	17.0	44.0	16.0	28.479793364804557	0.3361698736947356	0.16374104762147437	0.16542917690947284	0.33465990177431737	0.042063109035133175	5.013279030484318E-6	5.013279030484307E-6	-255238.30459694532	0.0	-1140.9753436158098
225000	-258668.06198979384	-3507.6270448111377	-255160.4349449827	4.4432235289096615	2018.354036745063	529.8239660180077	1065.1098139157566	203.83800781992127	481.4919419368877	1415.2393449823378	863.9191154052046	64.87323015106092	61.37336625971405	72.87570032863913	3.7159355227612627	0.5338034420401435	5.0	14.0	8.0	5.0	29.0	30.0	55.0	20.0	58.0	10.0	29.290160633473803	0.33589808303528956	0.1643466303721795	0.16325839213687807	0.33649689445565323	0.030899999156162757	4.5137395472164695E-6	4.513739547216468E-6	-255160.4349449827	0.0	-1139.287661039257
