	accession	date	region_coarse	strain
424	OP324460	7/11/22	Southern Europe	Monkeypox/PT0139/2022
425	OP555479	7/12/22	Southern Europe	Monkeypox/PT0383/2022
426	OP555469	7/5/22	Southern Europe	Monkeypox/PT0373/2022
427	OP555541	8/4/22	Southern Europe	Monkeypox/PT0460/2022
428	OP555513	7/31/22	Southern Europe	Monkeypox/PT0426/2022
429	OP881945	9/1/22	North America	MPXV_USA_2022_FL0026
430	OP879742	7/8/22	North America	NJ-MPXV-024
431	OP687939	7/8/22	North America	MPXV_USA_2022_NY0029
432	OP215260	8/31/22	Western Europe	MPXV/Germany/2022/RKI236
433	OQ159029	8/2/22	Western Europe	MPXV/Germany/2022/ON/RKI634
434	OP215271	8/2/22	Western Europe	MPXV/Germany/2022/RKI269
435	OP215209	8/31/22	Western Europe	MPXV/Germany/2022/RKI198
436	OP324459	7/10/22	Southern Europe	Monkeypox/PT0136/2022
437	OP748967	10/18/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00281/2022
438	OP555658	9/13/22	Southern Europe	Monkeypox/PT0591/2022
439	OP642390	9/6/22	South America	ANT-LDSP-ANT-MPX-24387-C
440	OP642419	9/14/22	South America	ANT-LDSP-ANT-MPX-25497E
441	OP642413	9/13/22	South America	ANT-LDSP-ANT-MPX-25341C
442	OP642408	9/13/22	South America	ANT-LDSP-ANT-MPX-25285O
443	OP440599	7/21/22	North America	hMPX/Human/USA/CA-LACPHL-MA00026/2022
444	OP689687	9/1/22	Western Europe	MPXV/Germany/2022/RKI534
445	OQ159034	8/31/22	Western Europe	MPXV/Germany/2022/ON/RKI639
446	OP615334	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI464
447	OP743367	8/5/22	North America	MPXV/Human/USA/UT-UPHL-82200237/2022
448	OP722513	10/11/22	North America	MPX/Human/USA/CA-LACPHL-MA00254/2022
449	OQ159028	11/1/22	Western Europe	MPXV/Germany/2022/RKI633
450	OQ159054	8/22/22	Western Europe	MPXV/Germany/2022/ON/RKI659
451	OP588284	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI421
452	OP722494	7/13/22	North America	MPX/Human/USA/CA-LACPHL-MA00235/2022
453	OP303797	6/1/22	North America	MPXV_USA_2022_VA0003
454	OP378710	6/1/22	North America	MPXV_USA_2022_VA0007
455	OP743360	7/8/22	North America	MPXV/Human/USA/UT-UPHL-82200060/2024
456	OP378711	6/1/22	North America	MPXV_USA_2022_VA0008
457	OQ054231	9/1/22	North America	MPXV_USA_2022_PA0010
458	OP890544	10/4/22	North America	MPXV/Human/USA/CA-LACPHL-MA00286/2022
459	OP598104	9/13/22	North America	MPXV/Human/USA/MA-USAFSAM-M0002/2022
460	OP837473	10/25/22	South America	VAC_INS_MPX_1054_L
461	OP819948	10/15/22	South America	VAC_INS_MPX_0952_C
462	OP626118	7/1/22	Western Europe	MPXV/Germany/2022/RKI480
463	OP837334	6/22/22	Western Europe	MPXV/Germany/2022/RKI572
464	OP215284	8/31/22	Western Europe	MPXV/Germany/2022/RKI265
465	OP689659	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI506
466	OP215231	8/1/22	Western Europe	MPXV/Germany/2022/RKI189
467	OP144215	5/30/22	Western Europe	MPXV/ITM_pt_05/Belgium/30-May-2022
468	OP144213	6/16/22	Western Europe	MPXV/ITM_pt_24/Belgium/16-Jun-2022
469	OP144216	5/30/22	Western Europe	MPXV/ITM_pt_07/Belgium/30-May-2022
470	OP144211	6/1/22	Western Europe	MPXV/ITM_pt_10/Belgium/1-Jun-2022
471	OP144217	6/2/22	Western Europe	MPXV/ITM_pt_09/Belgium/2-Jun-2022
472	OP743984	9/1/22	North America	MpxV/human/USA/WA-UW-090134/2022
473	OP628472	8/1/22	North America	MpxV/human/USA/WA-UW-087291/2022
474	OP747056	9/1/22	North America	MpxV/human/USA/WA-UW-095653/2022
475	OP747062	10/1/22	North America	MpxV/human/USA/WA-UW-106624/2022
476	OP743976	9/2/22	North America	MpxV/human/USA/WA-UW-096136/2022
477	OP270476	8/31/22	Western Europe	MPXV/Germany/2022/RKI287
478	OP536720	7/6/22	North America	MPXV-USA-IL-IDPH-059
479	OP536717	7/9/22	North America	MPXV-USA-IL-IDPH-056
480	OP597781	7/5/22	North America	MN-MDH-MPXV_0007
481	OP820455	8/8/22	North America	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022
482	OP390205	7/26/22	Western Europe	hMpxV/UK/LMO-046a/2022
483	OP890552	10/6/22	North America	MPXV/Human/USA/CA-LACPHL-MA00294/2022
484	OP819952	10/13/22	South America	VAC_INS_MPX_0958_L
485	OQ148474	11/15/22	South America	LBMB-UTP_MP-025_VAC
486	OP837471	10/25/22	South America	VAC_INS_MPX_1052_E
487	OP819957	10/12/22	South America	VAC_INS_MPX_0965_HL
488	OP819956	10/12/22	South America	VAC_INS_MPX_0965_EL
489	OP615323	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI447
490	OP681777	9/30/22	North America	MpxV/human/USA/WA-UW-092113/2022
491	OP628490	9/1/22	North America	MpxV/human/USA/WA-UW-093570/2022
492	OP442566	9/6/22	North America	hMPX/Human/USA/CA-LACPHL-MA00077/2022
493	OP920681	11/10/22	North America	MPXV/Human/USA/CA-LACPHL-MA00343/2022
494	OP748954	9/30/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00268/2022
495	ON853670	6/1/22	Western Europe	MPXV/Germany/2022/RKI090
496	OP837344	6/1/22	Western Europe	MPXV/Germany/2022/RKI582
497	OP764618	6/1/22	Western Europe	MPXV/Germany/2022/RKI560
498	OP626119	7/31/22	Western Europe	MPXV/Germany/2022/RKI481
499	OP594200	9/1/22	Western Europe	MPXV/Germany/2022/RKI436
500	OP339855	8/22/22	Western Europe	MPXV/Germany/2022/RKI298
501	OP626107	7/31/22	Western Europe	MPXV/Germany/2022/RKI469
502	OP215237	8/1/22	Western Europe	MPXV/Germany/2022/RKI195
503	OP215233	8/1/22	Western Europe	MPXV/Germany/2022/RKI191
504	OP524010	9/30/22	Western Europe	MPXV/Germany/2022/RKI408
505	OP689663	10/1/22	Western Europe	MPXV/Germany/2022/ON/RKI510
506	OP615339	9/30/22	Western Europe	MPXV/Germany/2022/ON/RKI462
507	ON880544	6/2/22	North America	MpxV/human/CAN/UN-NML-3363/2022
508	ON880545	6/2/22	North America	MpxV/human/CAN/UN-NML-3366/2022
509	ON880547	6/3/22	North America	MpxV/human/CAN/UN-NML-3441/2022
510	OP013001	5/14/22	North America	MpxV/human/CAN/UN-NML-2831/2022
511	ON803423	5/19/22	North America	MpxV/human/CAN/UN-NML-2851/2022
512	OP013002	5/29/22	North America	MpxV/human/CAN/UN-NML-3164/2022
513	ON880523	5/20/22	North America	MpxV/human/CAN/UN-NML-2898/2022
514	ON880548	6/3/22	North America	MpxV/human/CAN/UN-NML-3448/2022
515	OP378701	6/30/22	North America	MPXV_USA_2022_NY0028
516	OP270022	7/4/22	North America	MpxV/human/CAN/UN-NML-3972/2022
517	OP879758	7/21/22	North America	NJ-MPXV-044
518	OP303791	6/19/22	North America	MPXV_USA_2022_NE0001
519	OP303792	7/1/22	North America	MPXV_USA_2022_NE0002
520	OP390179	8/24/22	South America	BOL-UNIMOL-MPX-293015-L
521	OP382485	7/5/22	Western Europe	hMPXV-IHU00008
522	OP205109	6/13/22	Western Europe	MPXV_UK_2022_9000146
523	OP394229	5/14/22	Western Europe	9000220_NCPV_1703
524	OP415277	8/3/22	Western Europe	MPX_znBYiF_9000350
525	OP415213	7/22/22	Western Europe	MPX_UbfBKN_9000239
526	OP415257	8/1/22	Western Europe	MPX_eunRrC_9000312
527	OP415267	8/1/22	Western Europe	MPX_rYdyAi_9000329
528	OP415212	7/22/22	Western Europe	MPX_UbfBKN_9000238
529	OQ172216	9/12/22	Western Europe	MPXV-683B
530	OP555520	8/2/22	Southern Europe	Monkeypox/PT0435/2022
531	OP555512	8/1/22	Southern Europe	Monkeypox/PT0424/2022
532	OP390190	6/21/22	Western Europe	hMpxV/UK/LMO-012a/2022
533	OP748952	9/14/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00266/2022
534	OQ121022	7/14/22	North America	hMpxV/USA/CA-CDPH-1000068/2022
535	OP920684	10/5/22	North America	MPXV/Human/USA/CA-LACPHL-MA00346/2022
536	OP555605	8/23/22	Southern Europe	Monkeypox/PT0534/2022
537	OP555662	9/16/22	Southern Europe	Monkeypox/PT0595/2022
538	OP555645	9/6/22	Southern Europe	Monkeypox/PT0574/2022
539	OP324485	7/3/22	Southern Europe	Monkeypox/PT0170/2022
540	OP414307	6/15/22	Southern Europe	Monkeypox/PT0267/2022
541	OP555567	8/11/22	Southern Europe	Monkeypox/PT0492/2022
542	OP555656	8/16/22	Southern Europe	Monkeypox/PT0588/2022
543	OP555525	8/2/22	Southern Europe	Monkeypox/PT0443/2022
544	OP555651	9/9/22	Southern Europe	Monkeypox/PT0580/2022
545	OP555531	8/4/22	Southern Europe	Monkeypox/PT0450/2022
546	OP555638	9/3/22	Southern Europe	Monkeypox/PT0567/2022
547	OP555649	9/12/22	Southern Europe	Monkeypox/PT0578/2022
548	OP555639	9/2/22	Southern Europe	Monkeypox/PT0568/2022
549	OP580598	8/1/22	North America	hMPX/USA/CA-LACPHL-MA00165/2022
550	OP324453	7/12/22	Southern Europe	Monkeypox/PT0129/2022
551	ON694335	5/25/22	Western Europe	MPXV/Germany/2022/RKI018
552	OP693654	8/23/22	South America	DC_INS_MPX_0722_L
553	OP390175	8/2/22	South America	BOL-UNIMOL-MPX-292803-L
554	OP881932	9/26/22	South America	ANT-LDSP-ANT-MPX-26250
555	OP819950	10/12/22	South America	MET_INS_MPX_0956_C
556	OP623589	8/30/22	South America	BOL-UNIMOL-MPX-293064-O
557	OP959066	9/14/22	South America	CES-UNIMOL-MPX-202203848-L
558	OP623591	9/6/22	South America	BOL-UNIMOL-MPX-293136-L
559	OP623590	9/3/22	South America	BOL-UNIMOL-MPX-293130-L
560	OP494264	9/30/22	Western Europe	MPXV/Germany/2022/ON/RKI375
561	OP764616	6/30/22	Western Europe	MPXV/Germany/2022/RKI558
562	ON959135	5/31/22	North America	MPXV_USA_2022_NY004
563	ON959133	5/15/22	North America	MPXV_USA_2022_NY002
564	ON694342	5/15/22	Western Europe	MPXV/Germany/2022/RKI011
565	OP018604	7/31/22	Western Europe	MPXV/Germany/2022/RKI179
566	ON694330	5/31/22	Western Europe	MPXV/Germany/2022/RKI019
567	OP555644	9/6/22	Southern Europe	Monkeypox/PT0573/2022
568	OP494266	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI320
569	OP605553	7/6/22	Central Europe	Slovenia-MPXV-10-2022
570	OP382493	7/22/22	Western Europe	hMPXV-IHU00016
571	OP382492	7/22/22	Western Europe	hMPXV-IHU00015
572	OP687938	8/31/22	North America	MPXV_USA_2022_NJ0005
573	OP414362	5/28/22	Southern Europe	Monkeypox/PT0331/2022
574	ON843179	6/2/22	Southern Europe	Monkeypox/PT0039/2022
575	ON880538	6/1/22	North America	MpxV/human/CAN/UN-NML-3336/2022
576	ON585038	5/15/22	Southern Europe	Monkeypox/PT0008/2022
577	OP324544	6/22/22	Southern Europe	Monkeypox/PT0236/2022
578	OP414353	6/4/22	Southern Europe	Monkeypox/PT0321/2022
579	OP324498	6/28/22	Southern Europe	Monkeypox/PT0183/2022
580	OP555506	7/26/22	Southern Europe	Monkeypox/PT0413/2022
581	OP555574	8/12/22	Southern Europe	Monkeypox/PT0500/2022
582	OP555632	8/31/22	Southern Europe	Monkeypox/PT0561/2022
583	OP555607	8/22/22	Southern Europe	Monkeypox/PT0536/2022
584	OP185714	6/30/22	North America	MPXV_USA_2022_CO0003
585	OP390177	8/13/22	South America	ATL-UNIMOL-MPX-292896-L
586	ON803417	5/17/22	North America	MpxV/human/CAN/UN-NML-2836/2022
587	ON880532	5/30/22	North America	MpxV/human/CAN/UN-NML-3253/2022
588	ON880519	5/13/22	North America	MpxV/human/CAN/UN-NML-2833/2022
589	OP279041	6/29/22	North America	MpxV/human/CAN/UN-NML-4125/2022
590	OP279049	7/4/22	North America	MpxV/human/CAN/UN-NML-4119/2022
591	OP279044	7/2/22	North America	MpxV/human/CAN/UN-NML-4142/2022
592	OP279038	6/27/22	North America	MpxV/human/CAN/UN-NML-4114/2022
593	OP279047	7/4/22	North America	MpxV/human/CAN/UN-NML-4152/2022
594	ON880511	5/30/22	North America	MpxV/human/CAN/UN-NML-3214/2022
595	OP279042	6/28/22	North America	MpxV/human/CAN/UN-NML-4138/2022
596	OP279040	7/3/22	North America	MpxV/human/CAN/UN-NML-4122/2022
597	OP019277	7/4/22	Western Europe	hMPXV/Austria/MUW1531254/2022
598	OP279046	7/5/22	North America	MpxV/human/CAN/UN-NML-4150/2022
599	OP062229	6/16/22	North America	MpxV/human/CAN/UN-NML-3817/2022
600	OP270027	7/5/22	North America	MpxV/human/CAN/UN-NML-4024/2022
601	OP013010	6/9/22	North America	MpxV/human/CAN/UN-NML-3607/2022
602	OP270024	7/4/22	North America	MpxV/human/CAN/UN-NML-3976/2022
603	OP270025	7/5/22	North America	MpxV/human/CAN/UN-NML-4014/2022
604	OP062231	6/27/22	North America	MpxV/human/CAN/UN-NML-3907/2022
605	OP013006	6/7/22	North America	MpxV/human/CAN/UN-NML-3542/2022
606	ON880549	6/3/22	North America	MpxV/human/CAN/UN-NML-3450/2022
607	OP270023	7/4/22	North America	MpxV/human/CAN/UN-NML-3975/2022
608	OP062235	6/30/22	North America	MpxV/human/CAN/UN-NML-3934/2022
609	OP270021	7/4/22	North America	MpxV/human/CAN/UN-NML-3971/2022
610	OP226139	7/11/22	North America	MpxV/human/CAN/UN-NML-4050/2022
611	ON622718	5/20/22	Southern Europe	MPXV/ES0001/HUGTiP/2022
612	ON720849	5/27/22	Southern Europe	MpxV/Spain/MD-HGUGM-6532064/2022
613	OP442939	7/31/22	North America	MpxV/human/USA/OH-UW-078962/2022
614	OP681775	9/30/22	North America	MpxV/human/USA/WA-UW-098497/2022
615	OP477452	8/23/22	South America	ANT-LDSP-ANT-MPX-23265-C
616	OP459214	8/30/22	South America	ANT-LDSP-ANT-MPX-23631-L
617	OP390194	7/1/22	Western Europe	hMpxV/UK/LMO-026a/2022
618	OP215232	8/31/22	Western Europe	MPXV/Germany/2022/RKI190
619	OQ159039	8/1/22	Western Europe	MPXV/Germany/2022/ON/RKI644
620	OQ159035	8/1/22	Western Europe	MPXV/Germany/2022/ON/RKI640
621	OP626129	7/7/22	Western Europe	MPXV/Germany/2022/RKI491
622	OP555609	8/23/22	Southern Europe	Monkeypox/PT0538/2022
623	OP484679	9/1/22	Western Europe	MPXV/Germany/2022/RKI358
624	OP018603	7/31/22	Western Europe	MPXV/Germany/2022/RKI178
625	OP837347	6/19/22	Western Europe	MPXV/Germany/2022/RKI585
626	ON929089	7/1/22	Western Europe	MPXV/Germany/2022/RKI134
627	OP615321	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI445
628	ON755039	5/19/22	Western Europe	MPXV_IRBA22-11
629	OQ121020	7/15/22	North America	hMpxV/USA/CA-CDPH-1000066/2022
630	OP838893	6/21/22	Southern Europe	ID6821
631	OP382481	7/4/22	Western Europe	hMPXV-IHU00004
632	OP270026	7/5/22	North America	MpxV/human/CAN/UN-NML-4017/2022
633	OQ172215	6/7/22	Western Europe	MPXV-1047
634	OP382486	7/7/22	Western Europe	hMPXV-IHU00009
635	OP555622	8/26/22	Southern Europe	Monkeypox/PT0551/2022
636	OQ159056	9/30/22	Western Europe	MPXV/Germany/2022/ON/RKI661
637	OP555643	9/5/22	Southern Europe	Monkeypox/PT0572/2022
638	OP555661	9/15/22	Southern Europe	Monkeypox/PT0594/2022
639	OP555533	8/4/22	Southern Europe	Monkeypox/PT0452/2022
640	OP150925	5/1/22	North America	MPXV_USA_2022_GA001
641	ON780017	5/21/22	Southern Europe	INMI-Pt4
642	ON792322	6/2/22	Western Europe	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022
643	OP358276	8/9/22	Southern Europe	SIC-AOUP-UNIPA_VL_9aug
644	OP555650	9/10/22	Southern Europe	Monkeypox/PT0579/2022
645	OP414288	6/21/22	Southern Europe	Monkeypox/PT0244/2022
646	OP783902	6/8/22	Western Europe	hMPXV-CH-38347314/2022
647	ON959154	7/1/22	Western Europe	MPXV/Germany/2022/RKI137
648	OP303796	6/30/22	North America	MPXV_USA_2022_NY0015
649	ON637939	5/25/22	Western Europe	MPXV/Germany/2022/RKI02
650	OP205094	6/14/22	Western Europe	MPXV_UK_2022_9000106
651	ON959149	7/31/22	Western Europe	MPXV/Germany/2022/RKI140
652	OP415241	7/1/22	Western Europe	MPX_lBTTWI_9000279
653	OP204840	6/10/22	Western Europe	PatientMPXV
654	OP324494	6/30/22	Southern Europe	Monkeypox/PT0179/2022
655	OP205111	6/14/22	Western Europe	MPXV_UK_2022_9000148
656	OP324526	6/24/22	Southern Europe	Monkeypox/PT0216/2022
657	OP205098	7/5/22	Western Europe	MPXV_UK_2022_9000131
658	OP819959	10/11/22	South America	SAN_INS_MPX_0971_L
659	OP837472	10/27/22	South America	CUN_INS_MPX_1053_L
660	OP459211	8/29/22	South America	ANT-LDSP-ANT-MPX-23596-O
661	OP390195	7/7/22	Western Europe	hMpxV/UK/LMO-029a/2022
662	OP693653	8/29/22	South America	DC_INS_MPX_0719_L
663	OP693651	8/23/22	South America	CUN_INS_MPX_0649_C
664	OP693647	8/8/22	South America	DC_INS_MPX_0082_L
665	OQ197862	10/24/22	South America	DC_INS_MPX-1119-H
666	OQ197861	10/20/22	South America	DC_INS_MPX-1118-H
667	OQ148473	11/11/22	South America	LBMB-UTP_MP-021_VAC
668	OP642395	9/7/22	South America	ANT-LDSP-ANT-MPX-24561-E
669	OP642394	9/7/22	South America	ANT-LDSP-ANT-MPX-24537-E
670	OP819953	10/15/22	South America	VAC_INS_MPX_0960_L
671	OP819954	10/15/22	South America	VAC_INS_MPX_0960_C
672	OP837470	10/26/22	South America	VAC_INS_MPX_1050_E
673	OP837481	10/26/22	South America	VAC_INS_MPX_1050_C
674	OQ148468	11/11/22	South America	LBMB-UTP_MP-014_VAC
675	OP819951	10/15/22	South America	VAC_INS_MPX_0957_HO
676	OP819955	10/13/22	South America	VAC_INS_MPX_0962_C
677	OP819949	10/11/22	South America	VAC_INS_MPX_0955_C
678	OQ197863	10/22/22	South America	DC_INS_MPX-1122-H
679	OP642385	9/9/22	South America	ANT-LDSP-ANT-MPX-24910-O
680	OP320552	7/6/22	South America	LIM-INS-012
681	OP837476	9/20/22	South America	DC_INS_MPX_0984_L
682	OP819947	10/14/22	South America	CUN_INS_MPX_0951_C
683	OP320554	7/9/22	South America	LIM-INS-016
684	OP289783	6/27/22	South America	LIM-INS-003
685	OP320553	7/8/22	South America	LIM-INS-013
686	OP415224	8/1/22	Western Europe	MPX_3U0idu_9000254
687	OP693655	9/3/22	South America	CUN_INS_MPX_0748_L
688	OP431402	8/18/22	South America	ANT-LDSP-ANT-MPX-22752-O
689	OP320555	7/9/22	South America	LIM-INS-021
690	OP320551	7/9/22	South America	LIM-INS-018
691	OP320548	7/1/22	South America	LIM-INS008
692	OP320549	7/2/22	South America	LIM-INS-010
693	OP320550	7/9/22	South America	LIM-INS-015
694	OP289782	6/25/22	South America	LIM-INS-001
695	OP642404	9/13/22	South America	ANT-LDSP-ANT-MPX-25258C
696	OP642401	9/12/22	South America	ANT-LDSP-ANT-MPX-24947E
697	OP642380	9/8/22	South America	ANT-LDSP-ANT-MPX-24725-L
698	OP642375	9/7/22	South America	ANT-LDSP-ANT-MPX-24590-C
699	OP863230	10/7/22	North America	hMpxV/USA/CA-CDPH-000056/2022
700	OP863229	10/7/22	North America	hMpxV/USA/CA-CDPH-000055/2022
701	OP390189	6/21/22	Western Europe	hMpxV/UK/LMO-010a/2022
702	OP270029	7/8/22	North America	MpxV/human/CAN/UN-NML-4057/2022
703	ON880515	6/2/22	North America	MpxV/human/CAN/UN-NML-3467/2022
704	OP279033	7/6/22	North America	MpxV/human/CAN/UN-NML-4094/2022
705	ON880507	5/27/22	North America	MpxV/human/CAN/UN-NML-3071/2022
706	OP279035	7/4/22	North America	MpxV/human/CAN/UN-NML-4103/2022
707	ON880514	6/4/22	North America	MpxV/human/CAN/UN-NML-3412/2022
708	ON880510	5/31/22	North America	MpxV/human/CAN/UN-NML-3193/2022
709	ON880513	6/4/22	North America	MpxV/human/CAN/UN-NML-3407/2022
710	ON983167	6/16/22	North America	MpxV/human/CAN/UN-NML-3725/2022
711	ON803413	5/21/22	North America	MpxV/human/CAN/UN-NML-2928/2022
712	ON803414	5/21/22	North America	MpxV/human/CAN/UN-NML-2930/2022
713	OQ121037	6/13/22	North America	hMpxV/USA/CA-CDPH-1000083/2022
714	OP279034	7/4/22	North America	MpxV/human/CAN/UN-NML-4097/2022
715	OP586622	6/6/22	North America	MpxV/human/CAN/UN-NML-3440/2022
716	ON983164	6/9/22	North America	MpxV/human/CAN/UN-NML-3558/2022
717	OP390191	6/24/22	Western Europe	hMpxV/UK/LMO-022a/2022
718	OP390193	6/24/22	Western Europe	hMpxV/UK/LMO-024a/2022
719	OP279045	7/4/22	North America	MpxV/human/CAN/UN-NML-4144/2022
720	OP279037	7/4/22	North America	MpxV/human/CAN/UN-NML-4113/2022
721	OP920682	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00344/2022
722	OQ148469	11/11/22	South America	LBMB-UTP_MP-013_VAC
723	OP597786	7/13/22	North America	MN-MDH-MPXV_0012
724	OP536725	6/27/22	North America	MPXV-USA-IL-IDPH-064
725	OP314960	8/4/22	North America	MPXV22/human/USA-NE-115
726	OP390178	8/20/22	South America	MAG-UNIMOL-MPX-292982-L
727	OP539892	8/22/22	North America	MPX/Human/USA/CA-LACPHL-MA00107/2022
728	OP890530	10/4/22	North America	MPXV/Human/USA/CA-LACPHL-MA00296/2022
729	OP819960	10/17/22	South America	SAN_INS_MPX_0973_L
730	OP693648	8/9/22	South America	DC_INS_MPX_0089_L
731	OP959064	11/17/22	South America	BOL-UNIMOL-MPX-293772-L
732	OP959063	11/15/22	South America	BOL-UNIMOL-MPX-293633-L
733	OP959062	11/11/22	South America	BOL-UNIMOL-MPX-293614-L
734	OP536711	6/24/22	North America	MPXV-USA-IL-IDPH-050
735	OQ148467	9/13/22	South America	LBMB-UTP_MP-010_TOL
736	OQ148464	9/16/22	South America	LBMB-UTP_MP-006_TOL
737	OP587263	7/28/22	North America	MPXV/Human/USA/CA-CDPH-MPX000042/2022
738	OP442555	8/5/22	North America	hMPX/Human/USA/CA-LACPHL-MA00073/2022
739	OP615279	9/13/22	North America	MPX/Human/USA/CA-LACPHL-MA00206/2022
740	OP440605	8/8/22	North America	hMPX/Human/USA/CA-LACPHL-MA00063/2022
741	OP743990	9/30/22	North America	MpxV/human/USA/WA-UW-098408/2022
742	OP743968	9/1/22	North America	MpxV/human/USA/WA-UW-099479/2022
743	OP628478	8/3/22	North America	MpxV/human/USA/WA-UW-087628/2022
744	OP743974	9/1/22	North America	MpxV/human/USA/WA-UW-092407/2022
745	OP628477	8/12/22	North America	MpxV/human/USA/WA-UW-087577/2022
746	OP743993	9/4/22	North America	MpxV/human/USA/WA-UW-094603/2022
747	OP747058	10/1/22	North America	MpxV/human/USA/WA-UW-109000/2022
748	OP392546	8/31/22	North America	MpxV/human/USA/WA-UW-085171/2022
749	OP442539	8/5/22	North America	hMPX/Human/USA/CA-LACPHL-MA00078/2022
750	OP890563	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00335/2022
751	OP890564	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00336/2022
752	OP890561	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00333/2022
753	OP890557	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00329/2022
754	OP890558	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00330/2022
755	OP890569	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00312/2022
756	OP890547	10/4/22	North America	MPXV/Human/USA/CA-LACPHL-MA00289/2022
757	OP890571	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00314/2022
758	OP890562	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00334/2022
759	OP748968	10/13/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00282/2022
760	OP890556	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00328/2022
761	OP890553	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00325/2022
762	OP890573	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00316/2022
763	OP890570	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00313/2022
764	OP890554	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00326/2022
765	OP890572	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00315/2022
766	OP890559	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00331/2022
767	OP748945	10/13/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00259/2022
768	OP890555	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00327/2022
769	OP890575	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00318/2022
770	OP890568	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00311/2022
771	OP890565	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00308/2022
772	OP890560	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00332/2022
773	OP890577	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00320/2022
774	OP890567	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00310/2022
775	OP890576	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00319/2022
776	OP890574	11/9/22	North America	MPXV/Human/USA/CA-LACPHL-MA00317/2022
777	OP205101	7/7/22	Western Europe	MPXV_UK_2022_9000136
778	OP205081	6/14/22	Western Europe	MPXV_UK_2022_9000078
779	ON843170	5/26/22	Southern Europe	Monkeypox/PT0031/2022
780	OP539901	9/14/22	North America	MPX/Human/USA/CA-LACPHL-MA00116/2022
781	OP303790	6/1/22	North America	MPXV_USA_2022_IL0044
782	OP415183	7/31/22	Western Europe	MPX_Yob5K4_9000202
783	OP205103	7/6/22	Western Europe	MPXV_UK_2022_9000138
784	OP205070	6/6/22	Western Europe	MPXV_UK_2022_9000064
785	OP615340	9/30/22	Western Europe	MPXV/Germany/2022/ON/RKI458
786	OP185712	6/24/22	North America	MPXV_USA_2022_IL0005
787	OP415278	8/4/22	Western Europe	MPX_ev2D41_9000352
788	OQ159037	8/10/22	Western Europe	MPXV/Germany/2022/ON/RKI642
789	OP415272	8/10/22	Western Europe	MPX_bSkpM3_9000334
790	OP415252	8/31/22	Western Europe	MPX_WOcPOH_9000297
791	OQ159026	10/31/22	Western Europe	MPXV/Germany/2022/RKI631
792	ON959172	7/31/22	Western Europe	MPXV/Germany/2022/RKI158
793	ON755255	6/19/22	Western Europe	MPXV/Germany/2022/RKI049
794	OP715817	6/30/22	Western Europe	MPXV/Germany/2022/RKI537
795	ON959153	7/31/22	Western Europe	MPXV/Germany/2022/RKI165
796	OP215210	8/1/22	Western Europe	MPXV/Germany/2022/RKI202
797	OP205071	6/6/22	Western Europe	MPXV_UK_2022_9000065
798	OP727822	10/2/22	Western Europe	PrEV_case_2
799	OP687936	7/8/22	North America	MPXV_USA_2022_NC0009
800	OP743961	8/31/22	North America	MpxV/human/USA/WA-UW-086295/2022
801	OP743366	8/5/22	North America	MPXV/Human/USA/UT-UPHL-82200236/2022
802	OP881948	8/31/22	North America	MPXV_USA_2022_MD0006
