strain	accession	date	date_submitted		clade_membership	host	country	recency	lineage	region	author		GA_CT_fraction	dinuc_context_fraction
INS-MPXV-0016-H1	OP295383	7/29/22	8/25/22		IIb	Homo sapiens	Colombia	Older		South America	"Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A.C., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M."		1	0.2
MpxV/human/CAN/UN-NML-2869/2022	ON803428	5/21/22	6/21/22		IIb	Homo sapiens	Canada	Older		North America	"Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J."			
MPXV_UK_2022_9000069	OP205075	6/11/22	8/11/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
MPXV/Germany/2022/RKI041	ON755247	6/30/22	6/14/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
MPXV/Human/USA/CA-LACPHL-MA00358/2022	OP920696	11/5/22	11/30/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J."		1	
MPXV/Human/USA/CA-CDPH-MPX000027/2022	OP587255	6/30/22	10/5/22		IIb	Homo sapiens	USA	Older		North America	"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J."			
RNA_1pj42v	OX336004	8/26/22	9/15/22		IIb	Homo sapiens	Slovakia	Older		Europe			1	
MPXV-USA-IL-IDPH-066	OP536727	6/28/22	9/27/22		IIb	Homo sapiens	USA	Older		North America	"Gagnon,K.T."			
hMPXV-IHU00018	OP382495	7/22/22	9/7/22		IIb	Homo sapiens	France	Older		Europe	"Colson,P."		1	
MPXV-CH-38156923/2022	ON622720	5/24/22	5/27/22		IIb	Homo sapiens	Switzerland	Older		Europe	"Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A."			
MPXV/Germany/2022/RKI06	ON682270	5/1/22	6/6/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
Monkeypox/PT0004/2022	ON585032	5/17/22	5/24/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P."			
Monkeypox/PT0280/2022	OP414319	6/14/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
hMPXV-IHU00006	OP382483	7/4/22	9/7/22		IIb	Homo sapiens	France	Older		Europe	"Colson,P."			
ANT-LDSP-ANT-MPX-24812-L	OP642382	9/9/22	10/17/22		IIb	Homo sapiens	Colombia	Older		South America	"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R."		1	0.25
MPX_IMt4nT_9000212	OP415191	7/1/22	9/12/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
hMpxV/USA/CA-CDPH-1000082/2022	OQ121036	6/23/22	12/26/22		IIb	Homo sapiens	USA	One month ago		North America	"Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J."			
hMpxV/UK/LMO-034a/2022	OP390199	7/14/22	9/8/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E."			
MPXV_UK_2022_4	ON619838	5/31/22	5/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M."		1	
Slovenia-MPXV-19-2022	OP605561	7/1/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."			
MPXV_USA_2022_NY0020	OP303793	6/1/22	8/26/22		IIb	Homo sapiens	USA	Older		North America	"Gigante,C.M., Hughes,S., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y."			
MPXV/Germany/2022/RKI084	ON853666	6/1/22	6/27/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
Monkeypox/PT0133/2022	OP324456	7/8/22	8/29/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
MPXV/Germany/2022/RKI071_773ptn	ON853657	6/1/22	6/27/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
Monkeypox/PT0034/2022	ON843169	5/26/22	6/24/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
CVR_MPXV1d	ON808416	5/15/22	6/21/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C."		1	
MPXV/Germany/2022/RKI03	ON682263	5/1/22	6/6/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Michel,A."			
MPXV/Germany/2022/RKI095	ON853674	6/1/22	6/27/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
Slovenia-MPXV-27-2022	OP605569	7/31/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		1	
MPXV_UK_2022_9000108	OP205096	6/14/22	8/11/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
Monkeypox/PT0002/2022	ON585030	5/15/22	5/24/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MPX/Human/USA/CA-LACPHL-MA00139/2022	OP539924	8/4/22	9/27/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J.M."		1	
Monkeypox/PT0397/2022	OP555493	7/15/22	9/30/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MPX/PT0066/2022	OP245320	7/27/22	8/17/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
MPX/PT0049/2022	OP245306	8/1/22	8/17/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		0.5	
INMI-Pt3	ON780016	5/19/22	6/16/22		IIb	Homo sapiens	Italy	Older		Europe	"Rueca,M., Giombini,E., Gruber,C.E.M., Gramigna,G., Mazzotta,V., Carletti,F., Lapa,D., Pittalis,S., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Nicastri,E., Antinori,A., Girardi,E., Maggi,F."			
MPXV/Germany/2022/RKI528	OP689681	7/1/22	10/20/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
MPX/UZ_REGA_1/Belgium/2022	ON622712	5/19/22	5/27/22		IIb	Homo sapiens	Belgium	Older		Europe	"Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P."		1	
Slovenia-MPXV-33-2022	OP605575	7/1/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."			
MPXV-CH-38134631/2022	ON595760	5/19/22	5/24/22		IIb	Homo sapiens	Switzerland	Older		Europe	"Laubscher,F., Chudzinski,V., Schibler,M., Kaiser,L., Renzoni,A."			
Monkeypox/PT0302/2022	OP414336	6/7/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MPX_o3VuSh_9000348	OP415275	8/31/22	9/12/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
Monkeypox/PT0449/2022	OP555530	8/3/22	9/30/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MpxV/human/CAN/UN-NML-3486/2022	ON880518	6/8/22	6/30/22		IIb	Homo sapiens	Canada	Older		North America	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N."		1	
MPXV_UK_2022_1	ON619835	5/1/22	5/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M."			
MPXV/Germany/2022/RKI291	OP339848	8/1/22	8/30/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
MpxV/human/CAN/UN-NML-3086/2022	ON880525	5/25/22	6/30/22		IIb	Homo sapiens	Canada	Older		North America	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J."			
Slovenia-MPXV-29-2022	OP605571	7/31/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		0.5	
Slovenia-MPXV-31-2022	OP605573	7/1/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."			
MN-MDH-MPXV_0006	OP597780	6/29/22	10/7/22		IIb	Homo sapiens	USA	Older		North America	"Plumb,M.R."		1	1
MPX/PT0068/2022	OP245322	7/25/22	8/17/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
MpxV/human/CAN/UN-NML-2844/2022	ON803419	5/14/22	6/21/22		IIb	Homo sapiens	Canada	Older		North America	"Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J."			
MpxV/human/CAN/UN-NML-3165/2022	ON880531	5/29/22	6/30/22		IIb	Homo sapiens	Canada	Older		North America	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J."			
Slovenia-MPXV-17-2022	OP605559	7/1/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		1	
Monkeypox/PT0044/2022	ON843182	5/30/22	6/24/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
MPX/human/USA/UT-UPHL-82200022/2022	ON627808	5/20/22	5/29/22		IIb	Homo sapiens	USA	Older		North America	"Young,E.L., Hergert,J., Oakeson,K.F."			
MPXV/Human/USA/CA-LACPHL-MA00287/2022	OP890545	10/4/22	11/24/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J.M."		1	0.33
Monkeypox/PT0404/2022	OP555500	7/19/22	9/30/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
Monkeypox/PT0398/2022	OP555494	7/15/22	9/30/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
Monkeypox/PT0148/2022	OP324465	7/7/22	8/29/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
hMPXV-IHU00001	OP382478	6/13/22	9/7/22		IIb	Homo sapiens	France	Older		Europe	"Colson,P."		1	
MPXV/Germany/2022/RKI05	ON682264	5/1/22	6/6/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A."			
MpxV/human/CAN/UN-NML-3348/2022	ON880542	5/31/22	6/30/22		IIb	Homo sapiens	Canada	Older		North America	"Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J."			
ANT_INS_MPX_0039_L	OP693649	7/29/22	10/21/22		IIb	Homo sapiens	Colombia	Older		South America	"Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M."		1	
MPXV/Germany/2022/RKI143	ON959158	7/1/22	7/11/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
Monkeypox/PT0589/2022	OP555657	8/24/22	9/30/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
Monkeypox/PT0256/2022	OP414297	6/19/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MPX/PT0070/2022	OP245324	7/26/22	8/17/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MPXV_UK_2022_6	OP022171	5/1/22	7/20/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
Monkeypox/PT0174/2022	OP324489	6/30/22	8/29/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
Monkeypox/PT0173/2022	OP324488	6/30/22	8/29/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
Monkeypox virus/Human/USA/CA-LACPHL-MA00231/2022	OP680509	10/4/22	10/19/22		IIb	Homo sapiens	USA	Older		North America	"Hemarajata,P., Green,N.M., Garrigues,J.M."		1	
NJ-MPXV-048	OP879762	7/22/22	11/22/22		IIb	Homo sapiens	USA	Older		North America	"Palmateer,N.C."		1	
Monkeypox/PT0346/2022	OP414375	5/26/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
hMPXV-IHU00017	OP382494	7/22/22	9/7/22		IIb	Homo sapiens	France	Older		Europe	"Colson,P."			
MpxV/human/USA/WA-UW-089836/2022	OP310062	8/1/22	8/26/22		IIb	Homo sapiens	USA	Older		North America	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."			
MPXV_UK_2022_2	ON619836	5/31/22	5/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M."		1	0.5
hMPXV-IHU00007	OP382484	7/6/22	9/7/22		IIb	Homo sapiens	France	Older		Europe	"Colson,P."			
hMPXV-CH-38212023/2022	OP422245	5/30/22	9/13/22		IIb	Homo sapiens	Switzerland	Older		Europe	"Laubscher,F., Chudzinsk,V., Cordey,S., Schibler,M., Kaiser,L., Renzoni,A."			
Slovenia-MPXV-41-2022	OP605582	8/1/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."		1	
MPXV_USA_2022_PA001	OP150926	5/1/22	8/4/22		IIb	Homo sapiens	USA	Older		North America	"Gigante,C., Goldoft,M., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Holshue,M., Li,Y."			
CVR_MPXV1c	ON808415	5/15/22	6/21/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C."			
Monkeypox/PT0344/2022	OP414373	5/25/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
MPXV_USA_2022_FL002	ON676704	5/31/22	6/3/22		IIb	Homo sapiens	USA	Older		North America	"Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y."		1	
INMI-Pt1	ON614676	5/18/22	5/26/22		IIb	Homo sapiens	Italy	Older		Europe	"Gruber,C.E.M., Rueca,M., Gramigna,G., Carletti,F., Butera,O., Fabeni,L., Specchiarello,E., Meschi,S., Colavita,F., Minosse,C., Francalancia,M., Lapa,D., Garbuglia,A.R., Giombini,E."			
MPXV/Germany/2022/RKI444	OP594208	9/1/22	10/6/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
Monkeypox/PT0233/2022	OP324541	6/21/22	8/29/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
MPXV_USA_2022_NY003	ON959134	5/27/22	7/11/22		IIb	Homo sapiens	USA	Older		North America	"Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y."		1	
Monkeypox/PT0577/2022	OP555648	9/9/22	9/30/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	0.25
MPX/2022/Canada/AB1	ON736420	5/31/22	6/10/22		IIb	Homo sapiens	Canada	Older		North America	"Croxen,M., Deo,A., Dieu,P., Dong,X., Gill,K., Granger,D., Ferrato,C., Ikkurti,V., Kanji,J., Koleva,P., Li,V., Lloyd,C., Lynch,T., Ma,R., Pabbaraju,K., Rotich,S., Sergeant,H., Shideler,S., Skitsko,T., Shokopoles,S., Tipples,G., Thayer,J., Wong,A."			
hMpxV/UK/LMO-040a/2022	OP390202	7/17/22	9/8/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E."		0.5	
MPXV_UK_2022_9000157	OP205115	7/7/22	8/11/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
hMpxV/Human/USA/IL-RIPHL-MPXV_10016/2022	OQ121960	10/4/22	12/27/22		IIb	Homo sapiens	USA	One month ago		North America	"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N."		1	
MpxV/human/USA/WA-UW-084449/2022	OP257267	8/31/22	8/19/22		IIb	Homo sapiens	USA	Older		North America	"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L."		1	
MPXV_UK_2022_9000167	OP205123	6/30/22	8/11/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
MPXV/Germany/2022/RKI037	ON755243	6/1/22	6/14/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
MPXV/Germany/2022/RKI592	OP837354	10/1/22	11/16/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
MPXV/Germany/2022/RKI571	OP764629	10/1/22	11/3/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A."			
