strain	accession	date	date_submitted		clade_membership	host	country	recency	lineage	region	author		GA_CT_fraction	dinuc_context_fraction
9000385	OP536764	9/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000387	OP536765	8/31/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000390	OP536768	8/31/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000395	OP536773	8/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000396	OP536774	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000398	OP536776	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000399	OP536777	9/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000400	OP536778	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000403	OP536779	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000405	OP536781	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	1
9000406	OP536782	9/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000407	OP536783	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	0.25
9000408	OP536784	9/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000409	OP536785	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		0.67	
9000418	OP536792	8/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000421	OP536795	8/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000424	OP536798	8/1/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."			
9000429	OP536801	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	
9000430	OP536802	9/30/22	9/27/22		IIb	Homo sapiens	United Kingdom	Older		Europe	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		1	0.5
