accession	strain_region_coarse_date
ON838940	4061_SouthernEurope_5/20/22	accession
ON838939	8887_SouthernEurope_6/6/22	accession
OP413713	9000231_WesternEurope_7/31/22	accession
OP413717	9000353_WesternEurope_8/1/22	accession
OP536748	9000366_WesternEurope_8/1/22	accession
OP536751	9000370_WesternEurope_8/31/22	accession
OP536753	9000373_WesternEurope_8/31/22	accession
OP536754	9000374_WesternEurope_8/31/22	accession
OP536758	9000378_WesternEurope_8/31/22	accession
OP536763	9000384_WesternEurope_8/24/22	accession
OP536764	9000385_WesternEurope_9/1/22	accession
OP536765	9000387_WesternEurope_8/31/22	accession
OP536768	9000390_WesternEurope_8/31/22	accession
OP536773	9000395_WesternEurope_8/1/22	accession
OP536774	9000396_WesternEurope_9/30/22	accession
OP536776	9000398_WesternEurope_9/30/22	accession
OP536777	9000399_WesternEurope_9/1/22	accession
OP536778	9000400_WesternEurope_9/30/22	accession
OP536779	9000403_WesternEurope_9/30/22	accession
OP536781	9000405_WesternEurope_9/30/22	accession
OP536782	9000406_WesternEurope_9/1/22	accession
OP536783	9000407_WesternEurope_9/30/22	accession
OP536784	9000408_WesternEurope_9/1/22	accession
OP536785	9000409_WesternEurope_9/30/22	accession
OP536792	9000418_WesternEurope_8/1/22	accession
OP536795	9000421_WesternEurope_8/1/22	accession
OP536798	9000424_WesternEurope_8/1/22	accession
OP536801	9000429_WesternEurope_9/30/22	accession
OP536802	9000430_WesternEurope_9/30/22	accession
OP536803	9000431_WesternEurope_9/30/22	accession
OP536804	9000432_WesternEurope_9/30/22	accession
OP536807	9000438_WesternEurope_9/1/22	accession
OP536808	9000442_WesternEurope_8/31/22	accession
OP536811	9000448_WesternEurope_9/1/22	accession
OP536813	9000451_WesternEurope_9/1/22	accession
OP536814	9000452_WesternEurope_9/1/22	accession
OP536815	9000453_WesternEurope_9/1/22	accession
ON676708	MPXV_USA_2021_MD_NorthAmerica_11/30/21	accession
OP414369	Monkeypox/PT0340/2022_SouthernEurope_5/26/22	accession
OP555499	Monkeypox/PT0403/2022_SouthernEurope_7/19/22	accession
OQ121019	hMpxV/USA/CA-CDPH-1000065/2022_NorthAmerica_7/12/22	accession
ON649717	Monkeypox/PT0019/2022_SouthernEurope_5/21/22	accession
OP587250	MPXV/Human/USA/CA-CDPH-MPX000021/2022_NorthAmerica_7/7/22	accession
OP587248	MPXV/Human/USA/CA-CDPH-MPX000019/2022_NorthAmerica_7/8/22	accession
OP414305	Monkeypox/PT0265/2022_SouthernEurope_6/17/22	accession
ON803433	MpxV/human/CAN/UN-NML-2885/2022_NorthAmerica_5/20/22	accession
ON880527	MpxV/human/CAN/UN-NML-3141/2022_NorthAmerica_5/27/22	accession
OP722515	MPX/Human/USA/CA-LACPHL-MA00256/2022_NorthAmerica_7/13/22	accession
OP743357	MPXV/Human/USA/UT-UPHL-82200022/2022_NorthAmerica_5/21/22	accession
ON676706	MPXV_USA_2022_UT002_NorthAmerica_5/1/22	accession
OP133006	hMPXV/Austria/MUW1532243/2022_WesternEurope_7/6/22	accession
ON803427	MpxV/human/CAN/UN-NML-2861/2022_NorthAmerica_5/18/22	accession
OP605565	Slovenia-MPXV-23-2022_CentralEurope_7/1/22	accession
OP451013	MPXV_USA_2022_CA0057_NorthAmerica_6/1/22	accession
ON644344	MPXV_FVG-ITA_01_2022_SouthernEurope_5/25/22	accession
OP414379	Monkeypox/PT0350/2022_SouthernEurope_5/24/22	accession
OP597776	MN-MDH-MPXV_0002_NorthAmerica_6/25/22	accession
OP245336	MPX/PT0085/2022_SouthernEurope_7/21/22	accession
ON959174	MPXV/Germany/2022/RKI161_WesternEurope_7/31/22	accession
OP414365	Monkeypox/PT0335/2022_SouthernEurope_5/29/22	accession
ON694341	MPXV/Germany/2022/RKI012_WesternEurope_5/27/22	accession
OP414301	Monkeypox/PT0261/2022_SouthernEurope_6/19/22	accession
ON803440	MpxV/human/CAN/UN-NML-2954/2022_NorthAmerica_5/22/22	accession
ON682265	MPXV/Germany/2022/RKI04_WesternEurope_5/1/22	accession
OP687927	MPXV_USA_2022_CA0036_NorthAmerica_6/1/22	accession
OP245353	MPX/PT0120/2022_SouthernEurope_7/13/22	accession
OP062233	MpxV/human/CAN/UN-NML-3913/2022_NorthAmerica_6/28/22	accession
OP018595	MPXV/Germany/2022/RKI170_WesternEurope_7/31/22	accession
OP382487	hMPXV-IHU00010_WesternEurope_7/18/22	accession
OP555594	Monkeypox/PT0523/2022_SouthernEurope_8/17/22	accession
OP539889	MPX/Human/USA/CA-LACPHL-MA00104/2022_NorthAmerica_8/11/22	accession
OP715829	MPXV/Germany/2022/RKI549_WesternEurope_6/30/22	accession
OX261748	RNA_CentralEurope_7/13/22	accession
OP414363	Monkeypox/PT0332/2022_SouthernEurope_5/27/22	accession
ON880541	MpxV/human/CAN/UN-NML-3344/2022_NorthAmerica_6/1/22	accession
OP920697	MPXV/Human/USA/CA-LACPHL-MA00359/2022_NorthAmerica_11/5/22	accession
ON745215	INMI-Pt2_SouthernEurope_5/19/22	accession
OP355566	MPXV/Germany/2022/ON/RKI306_WesternEurope_8/1/22	accession
OP920692	MPXV/Human/USA/CA-LACPHL-MA00354/2022_NorthAmerica_10/16/22	accession
ON745225	MpxV/Spain/MD-HGUGM-66649483/2022_SouthernEurope_5/27/22	accession
OP580155	MPXV/Human/USA/CA-CDPH-MPX000007/2022_NorthAmerica_6/21/22	accession
OP205068	MPXV_UK_2022_9000062_WesternEurope_6/5/22	accession
OP324504	Monkeypox/PT0190/2022_SouthernEurope_6/28/22	accession
OP689670	MPXV/Germany/2022/RKI517_WesternEurope_6/1/22	accession
OP747060	MpxV/human/USA/WA-UW-104793/2022_NorthAmerica_10/31/22	accession
ON843168	Monkeypox/PT0032/2022_SouthernEurope_5/26/22	accession
OP414360	Monkeypox/PT0328/2022_SouthernEurope_5/31/22	accession
OP414302	Monkeypox/PT0262/2022_SouthernEurope_6/17/22	accession
ON880521	MpxV/human/CAN/UN-NML-2858/2022_NorthAmerica_5/19/22	accession
ON645312	MPXV_GSTT_Patient1_WesternEurope_5/11/22	accession
OP205134	MPXV_UK_2022_9000189_WesternEurope_7/6/22	accession
OP689658	MPXV/Germany/2022/ON/RKI505_WesternEurope_8/1/22	accession
ON649712	Monkeypox/PT0025/2022_SouthernEurope_5/19/22	accession
OP727820	PEV_case_WesternEurope_7/29/22	accession
OP414374	Monkeypox/PT0345/2022_SouthernEurope_5/26/22	accession
OP324527	Monkeypox/PT0217/2022_SouthernEurope_6/23/22	accession
ON880543	MpxV/human/CAN/UN-NML-3357/2022_NorthAmerica_6/2/22	accession
OP414327	Monkeypox/PT0292/2022_SouthernEurope_6/9/22	accession
OP245328	MPX/PT0074/2022_SouthernEurope_7/27/22	accession
OP605558	Slovenia-MPXV-16-2022_CentralEurope_7/1/22	accession
OP605563	Slovenia-MPXV-21-2022_CentralEurope_7/1/22	accession
OP303794	MPXV_USA_2022_NY0023_NorthAmerica_6/1/22	accession
OP324523	Monkeypox/PT0213/2022_SouthernEurope_6/24/22	accession
OP414378	Monkeypox/PT0349/2022_SouthernEurope_5/26/22	accession
OP414348	Monkeypox/PT0315/2022_SouthernEurope_6/3/22	accession
OP605566	Slovenia-MPXV-24-2022_CentralEurope_7/31/22	accession
ON929070	MPXV/Germany/2022/RKI112_WesternEurope_7/1/22	accession
ON694336	MPXV/Germany/2022/RKI024_WesternEurope_5/1/22	accession
ON983166	MpxV/human/CAN/UN-NML-3702/2022_NorthAmerica_6/15/22	accession
OP382480	hMPXV-IHU00003_WesternEurope_7/4/22	accession
ON808414	CVR_MPXV1b_WesternEurope_5/15/22	accession
OP415226	MPX_k9tr7U_9000256_WesternEurope_8/1/22	accession
ON803442	MpxV/human/CAN/UN-NML-2967/2022_NorthAmerica_5/16/22	accession
OP018597	MPXV/Germany/2022/RKI172_WesternEurope_7/1/22	accession
ON880546	MpxV/human/CAN/UN-NML-3368/2022_NorthAmerica_6/2/22	accession
ON880420	MPX/UZ_REGA_4/Belgium/2022_WesternEurope_5/27/22	accession
ON843167	Monkeypox/PT0036/2022_SouthernEurope_5/26/22	accession
ON808417	CVR_MPXV1e_WesternEurope_5/15/22	accession
ON676703	MPXV_USA_2022_CA001_NorthAmerica_5/1/22	accession
OP018598	MPXV/Germany/2022/RKI173_WesternEurope_7/1/22	accession
OP689666	MPXV/Germany/2022/RKI513_WesternEurope_6/1/22	accession
ON880508	MpxV/human/CAN/UN-NML-3127/2022_NorthAmerica_5/30/22	accession
ON649723	Monkeypox/PT0013/2022_SouthernEurope_5/20/22	accession
ON880419	MPX/UZ_REGA_3/Belgium/2022_WesternEurope_5/27/22	accession
OP626114	MPXV/Germany/2022/RKI476_WesternEurope_7/1/22	accession
ON682267	MPXV/Germany/2022/RKI010_WesternEurope_5/1/22	accession
OP764621	MPXV/Germany/2022/RKI563_WesternEurope_6/1/22	accession
ON803425	MpxV/human/CAN/UN-NML-2853/2022_NorthAmerica_5/19/22	accession
ON803429	MpxV/human/CAN/UN-NML-2873/2022_NorthAmerica_5/19/22	accession
OP378703	MPXV_USA_2022_HI0003_NorthAmerica_6/1/22	accession
OP205114	MPXV_UK_2022_9000152_WesternEurope_5/16/22	accession
ON929058	MPXV/Germany/2022/RKI071_WesternEurope_7/1/22	accession
OP580154	MPXV/Human/USA/CA-CDPH-MPX000006/2022_NorthAmerica_6/7/22	accession
ON649724	Monkeypox/PT0014/2022_SouthernEurope_5/23/22	accession
OP225969	MPXV_USA_2022_IL0025_NorthAmerica_6/1/22	accession
ON649725	Monkeypox/PT0011/2022_SouthernEurope_5/23/22	accession
ON880539	MpxV/human/CAN/UN-NML-3339/2022_NorthAmerica_6/1/22	accession
ON755040	MPXV_IRBA22-14_WesternEurope_5/20/22	accession
OP205107	MPXV_UK_2022_9000144_WesternEurope_6/16/22	accession
ON853654	MPXV/Germany/2022/RKI087_WesternEurope_6/1/22	accession
OP382482	hMPXV-IHU00005_WesternEurope_7/4/22	accession
OP451004	MPXV_USA_2022_MN0005_NorthAmerica_6/1/22	accession
ON880516	MpxV/human/CAN/UN-NML-3472/2022_NorthAmerica_6/2/22	accession
ON959131	MPXV_USA_2022_IL001_NorthAmerica_5/1/22	accession
OP351282	MPXV22/human/USA-OK-67_NorthAmerica_7/19/22	accession
OP626113	MPXV/Germany/2022/RKI475_WesternEurope_7/1/22	accession
OP415196	MPX_96X1Vd_9000218_WesternEurope_3/24/22	accession
ON803441	MpxV/human/CAN/UN-NML-2955/2022_NorthAmerica_5/23/22	accession
ON649719	Monkeypox/PT0012/2022_SouthernEurope_5/23/22	accession
ON880422	MPX/UZ_REGA_6/Belgium/2022_WesternEurope_5/27/22	accession
ON880421	MPX/UZ_REGA_5/Belgium/2022_WesternEurope_5/27/22	accession
ON843177	Monkeypox/PT0047/2022_SouthernEurope_6/2/22	accession
ON631241	2022/2SLO_CentralEurope_5/24/22	accession
OP205139	MPXV_UK_2022_9000090_WesternEurope_5/25/22	accession
ON803424	MpxV/human/CAN/UN-NML-2852/2022_NorthAmerica_5/19/22	accession
OP415195	MPX_96X1Vd_9000217_WesternEurope_3/24/22	accession
ON803437	MpxV/human/CAN/UN-NML-2896/2022_NorthAmerica_5/20/22	accession
ON563414	MPXV_USA_2022_MA001_NorthAmerica_5/1/22	accession
ON853679	MPXV/Germany/2022/RKI077_WesternEurope_6/1/22	accession
OP205104	MPXV_UK_2022_9000140_WesternEurope_7/6/22	accession
ON676705	MPXV_USA_2022_UT001_NorthAmerica_5/27/22	accession
OP920698	MPXV/Human/USA/CA-LACPHL-MA00360/2022_NorthAmerica_11/2/22	accession
ON803434	MpxV/human/CAN/UN-NML-2886/2022_NorthAmerica_5/20/22	accession
OQ148466	LBMB-UTP_MP-009_TOL_SouthAmerica_9/13/22	accession
OP205129	MPXV_UK_2022_9000184_WesternEurope_6/30/22	accession
OP680506	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00228/2022_NorthAmerica_10/4/22	accession
OP415184	MPX_h9DUQg_9000203_WesternEurope_7/31/22	accession
OP890532	MPXV/Human/USA/CA-LACPHL-MA00298/2022_NorthAmerica_9/30/22	accession
OP605584	Slovenia-MPXV-43-2022_CentralEurope_8/31/22	accession
ON843173	Monkeypox/PT0029/2022_SouthernEurope_5/27/22	accession
OP415194	MPX_96X1Vd_9000216_WesternEurope_3/24/22	accession
OP837355	MPXV/Germany/2022/RKI593_WesternEurope_10/1/22	accession
OP257261	MpxV/human/USA/WA-UW-084325/2022_NorthAmerica_8/31/22	accession
OP205124	MPXV_UK_2022_9000173_WesternEurope_5/26/22	accession
OP324543	Monkeypox/PT0235/2022_SouthernEurope_6/21/22	accession
OP414382	Monkeypox/PT0355/2022_SouthernEurope_5/22/22	accession
OP185715	MPXV_USA_2022_CO0002_NorthAmerica_5/27/22	accession
OP415281	MPX_hSAaEl_9000356_WesternEurope_8/1/22	accession
OP536683	MPXV-USA-IL-IDPH-022_NorthAmerica_6/1/22	accession
OP019275	hMPXV/Austria/MUW1525179/2022_WesternEurope_6/10/22	accession
OP743358	MPXV/Human/USA/UT-UPHL-82200023/2022_NorthAmerica_5/21/22	accession
OP727823	PrEV_case_4_WesternEurope_10/9/22	accession
OP689665	MPXV/Germany/2022/ON/RKI512_WesternEurope_10/1/22	accession
OP597794	MN-MDH-MPXV_0020_NorthAmerica_7/21/22	accession
OP555480	Monkeypox/PT0384/2022_SouthernEurope_7/12/22	accession
OP414349	Monkeypox/PT0317/2022_SouthernEurope_6/6/22	accession
OP715833	MPXV/Germany/2022/RKI553_WesternEurope_6/1/22	accession
OP536675	MPXV-USA-IL-IDPH-014_NorthAmerica_7/5/22	accession
OP382490	hMPXV-IHU00013_WesternEurope_7/20/22	accession
OP062230	MpxV/human/CAN/UN-NML-3864/2022_NorthAmerica_6/22/22	accession
OP414364	Monkeypox/PT0333/2022_SouthernEurope_5/27/22	accession
OP270028	MpxV/human/CAN/UN-NML-4038/2022_NorthAmerica_7/7/22	accession
OP013013	MpxV/human/CAN/UN-NML-3658/2022_NorthAmerica_6/10/22	accession
ON880524	MpxV/human/CAN/UN-NML-3080/2022_NorthAmerica_5/26/22	accession
OP743969	MpxV/human/USA/WA-UW-099881/2022_NorthAmerica_9/30/22	accession
OP382491	hMPXV-IHU00014_WesternEurope_7/22/22	accession
OP414371	Monkeypox/PT0342/2022_SouthernEurope_5/26/22	accession
ON843164	Monkeypox/PT0037/2022_SouthernEurope_5/18/22	accession
ON803426	MpxV/human/CAN/UN-NML-2856/2022_NorthAmerica_5/19/22	accession
