strain_region_coarse_date	accession	date	region_coarse	strain
4061_SouthernEurope_5/20/22	ON838940	5/20/22	Southern Europe	4061
8887_SouthernEurope_6/6/22	ON838939	6/6/22	Southern Europe	8887
9000231_WesternEurope_7/31/22	OP413713	7/31/22	Western Europe	9000231
9000353_WesternEurope_8/1/22	OP413717	8/1/22	Western Europe	9000353
9000366_WesternEurope_8/1/22	OP536748	8/1/22	Western Europe	9000366
9000370_WesternEurope_8/31/22	OP536751	8/31/22	Western Europe	9000370
9000373_WesternEurope_8/31/22	OP536753	8/31/22	Western Europe	9000373
9000374_WesternEurope_8/31/22	OP536754	8/31/22	Western Europe	9000374
9000378_WesternEurope_8/31/22	OP536758	8/31/22	Western Europe	9000378
9000384_WesternEurope_8/24/22	OP536763	8/24/22	Western Europe	9000384
9000385_WesternEurope_9/1/22	OP536764	9/1/22	Western Europe	9000385
9000387_WesternEurope_8/31/22	OP536765	8/31/22	Western Europe	9000387
9000390_WesternEurope_8/31/22	OP536768	8/31/22	Western Europe	9000390
9000395_WesternEurope_8/1/22	OP536773	8/1/22	Western Europe	9000395
9000396_WesternEurope_9/30/22	OP536774	9/30/22	Western Europe	9000396
9000398_WesternEurope_9/30/22	OP536776	9/30/22	Western Europe	9000398
9000399_WesternEurope_9/1/22	OP536777	9/1/22	Western Europe	9000399
9000400_WesternEurope_9/30/22	OP536778	9/30/22	Western Europe	9000400
9000403_WesternEurope_9/30/22	OP536779	9/30/22	Western Europe	9000403
9000405_WesternEurope_9/30/22	OP536781	9/30/22	Western Europe	9000405
9000406_WesternEurope_9/1/22	OP536782	9/1/22	Western Europe	9000406
9000407_WesternEurope_9/30/22	OP536783	9/30/22	Western Europe	9000407
9000408_WesternEurope_9/1/22	OP536784	9/1/22	Western Europe	9000408
9000409_WesternEurope_9/30/22	OP536785	9/30/22	Western Europe	9000409
9000418_WesternEurope_8/1/22	OP536792	8/1/22	Western Europe	9000418
9000421_WesternEurope_8/1/22	OP536795	8/1/22	Western Europe	9000421
9000424_WesternEurope_8/1/22	OP536798	8/1/22	Western Europe	9000424
9000429_WesternEurope_9/30/22	OP536801	9/30/22	Western Europe	9000429
9000430_WesternEurope_9/30/22	OP536802	9/30/22	Western Europe	9000430
9000431_WesternEurope_9/30/22	OP536803	9/30/22	Western Europe	9000431
9000432_WesternEurope_9/30/22	OP536804	9/30/22	Western Europe	9000432
9000438_WesternEurope_9/1/22	OP536807	9/1/22	Western Europe	9000438
9000442_WesternEurope_8/31/22	OP536808	8/31/22	Western Europe	9000442
9000448_WesternEurope_9/1/22	OP536811	9/1/22	Western Europe	9000448
9000451_WesternEurope_9/1/22	OP536813	9/1/22	Western Europe	9000451
9000452_WesternEurope_9/1/22	OP536814	9/1/22	Western Europe	9000452
9000453_WesternEurope_9/1/22	OP536815	9/1/22	Western Europe	9000453
MPXV_USA_2021_MD_NorthAmerica_11/30/21	ON676708	11/30/21	North America	MPXV_USA_2021_MD
Monkeypox/PT0340/2022_SouthernEurope_5/26/22	OP414369	5/26/22	Southern Europe	Monkeypox/PT0340/2022
Monkeypox/PT0403/2022_SouthernEurope_7/19/22	OP555499	7/19/22	Southern Europe	Monkeypox/PT0403/2022
hMpxV/USA/CA-CDPH-1000065/2022_NorthAmerica_7/12/22	OQ121019	7/12/22	North America	hMpxV/USA/CA-CDPH-1000065/2022
Monkeypox/PT0019/2022_SouthernEurope_5/21/22	ON649717	5/21/22	Southern Europe	Monkeypox/PT0019/2022
MPXV/Human/USA/CA-CDPH-MPX000021/2022_NorthAmerica_7/7/22	OP587250	7/7/22	North America	MPXV/Human/USA/CA-CDPH-MPX000021/2022
MPXV/Human/USA/CA-CDPH-MPX000019/2022_NorthAmerica_7/8/22	OP587248	7/8/22	North America	MPXV/Human/USA/CA-CDPH-MPX000019/2022
Monkeypox/PT0265/2022_SouthernEurope_6/17/22	OP414305	6/17/22	Southern Europe	Monkeypox/PT0265/2022
MpxV/human/CAN/UN-NML-2885/2022_NorthAmerica_5/20/22	ON803433	5/20/22	North America	MpxV/human/CAN/UN-NML-2885/2022
MpxV/human/CAN/UN-NML-3141/2022_NorthAmerica_5/27/22	ON880527	5/27/22	North America	MpxV/human/CAN/UN-NML-3141/2022
MPX/Human/USA/CA-LACPHL-MA00256/2022_NorthAmerica_7/13/22	OP722515	7/13/22	North America	MPX/Human/USA/CA-LACPHL-MA00256/2022
MPXV/Human/USA/UT-UPHL-82200022/2022_NorthAmerica_5/21/22	OP743357	5/21/22	North America	MPXV/Human/USA/UT-UPHL-82200022/2022
MPXV_USA_2022_UT002_NorthAmerica_5/1/22	ON676706	5/1/22	North America	MPXV_USA_2022_UT002
hMPXV/Austria/MUW1532243/2022_WesternEurope_7/6/22	OP133006	7/6/22	Western Europe	hMPXV/Austria/MUW1532243/2022
MpxV/human/CAN/UN-NML-2861/2022_NorthAmerica_5/18/22	ON803427	5/18/22	North America	MpxV/human/CAN/UN-NML-2861/2022
Slovenia-MPXV-23-2022_CentralEurope_7/1/22	OP605565	7/1/22	Central Europe	Slovenia-MPXV-23-2022
MPXV_USA_2022_CA0057_NorthAmerica_6/1/22	OP451013	6/1/22	North America	MPXV_USA_2022_CA0057
MPXV_FVG-ITA_01_2022_SouthernEurope_5/25/22	ON644344	5/25/22	Southern Europe	MPXV_FVG-ITA_01_2022
Monkeypox/PT0350/2022_SouthernEurope_5/24/22	OP414379	5/24/22	Southern Europe	Monkeypox/PT0350/2022
MN-MDH-MPXV_0002_NorthAmerica_6/25/22	OP597776	6/25/22	North America	MN-MDH-MPXV_0002
MPX/PT0085/2022_SouthernEurope_7/21/22	OP245336	7/21/22	Southern Europe	MPX/PT0085/2022
MPXV/Germany/2022/RKI161_WesternEurope_7/31/22	ON959174	7/31/22	Western Europe	MPXV/Germany/2022/RKI161
Monkeypox/PT0335/2022_SouthernEurope_5/29/22	OP414365	5/29/22	Southern Europe	Monkeypox/PT0335/2022
MPXV/Germany/2022/RKI012_WesternEurope_5/27/22	ON694341	5/27/22	Western Europe	MPXV/Germany/2022/RKI012
Monkeypox/PT0261/2022_SouthernEurope_6/19/22	OP414301	6/19/22	Southern Europe	Monkeypox/PT0261/2022
MpxV/human/CAN/UN-NML-2954/2022_NorthAmerica_5/22/22	ON803440	5/22/22	North America	MpxV/human/CAN/UN-NML-2954/2022
MPXV/Germany/2022/RKI04_WesternEurope_5/1/22	ON682265	5/1/22	Western Europe	MPXV/Germany/2022/RKI04
MPXV_USA_2022_CA0036_NorthAmerica_6/1/22	OP687927	6/1/22	North America	MPXV_USA_2022_CA0036
MPX/PT0120/2022_SouthernEurope_7/13/22	OP245353	7/13/22	Southern Europe	MPX/PT0120/2022
MpxV/human/CAN/UN-NML-3913/2022_NorthAmerica_6/28/22	OP062233	6/28/22	North America	MpxV/human/CAN/UN-NML-3913/2022
MPXV/Germany/2022/RKI170_WesternEurope_7/31/22	OP018595	7/31/22	Western Europe	MPXV/Germany/2022/RKI170
hMPXV-IHU00010_WesternEurope_7/18/22	OP382487	7/18/22	Western Europe	hMPXV-IHU00010
Monkeypox/PT0523/2022_SouthernEurope_8/17/22	OP555594	8/17/22	Southern Europe	Monkeypox/PT0523/2022
MPX/Human/USA/CA-LACPHL-MA00104/2022_NorthAmerica_8/11/22	OP539889	8/11/22	North America	MPX/Human/USA/CA-LACPHL-MA00104/2022
MPXV/Germany/2022/RKI549_WesternEurope_6/30/22	OP715829	6/30/22	Western Europe	MPXV/Germany/2022/RKI549
