strain_country_date	accession	date	region_coarse	country	strain
MPXV_UK_2022_9000160_UnitedKingdom_2022-07-05	OP205118	2022-07-05	Western Europe	United Kingdom	MPXV_UK_2022_9000160
MPXV/Germany/2022/RKI396_Germany_2022-09-01	OP523999	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI396
B1118431_USA_2022-09-27	OP935994	2022-09-27	North America	USA	B1118431
MPXV_UK_2022_9000065_UnitedKingdom_2022-06-06	OP205071	2022-06-06	Western Europe	United Kingdom	MPXV_UK_2022_9000065
MPXV_UK_2022_9000093_UnitedKingdom_2022-05-30	OP205084	2022-05-30	Western Europe	United Kingdom	MPXV_UK_2022_9000093
MPX_K1dQNt_9000224_UnitedKingdom_2022-07-24	OP415200	2022-07-24	Western Europe	United Kingdom	MPX_K1dQNt_9000224
MPX_K1dQNt_9000223_UnitedKingdom_2022-07-24	OP415199	2022-07-24	Western Europe	United Kingdom	MPX_K1dQNt_9000223
MPXV_UK_2022_9000148_UnitedKingdom_2022-06-14	OP205111	2022-06-14	Western Europe	United Kingdom	MPXV_UK_2022_9000148
MPXV_UK_2022_9000070_UnitedKingdom_2022-06-09	OP205076	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000070
PatientMPXV_France_2022-06-10	OP204840	2022-06-10	Western Europe	France	PatientMPXV
PrEV_case_2_Belgium_2022-10-02	OP727822	2022-10-02	Western Europe	Belgium	PrEV_case_2
MpxV/Spain/MD-HGUGM-6513479/2022_Spain_2022-05-27	ON720848	2022-05-27	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6513479/2022
MPXV/Germany/2022/ON/RKI606_Germany_2022-09-01	OP863256	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI606
hMPXV-IHU00012_France_2022-07-19	OP382489	2022-07-19	Western Europe	France	hMPXV-IHU00012
MPXV/Germany/2022/ON/RKI511_Germany_2022-10-01	OP689664	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI511
ANT-LDSP-ANT-MPX-24913-O_Colombia_2022-09-09	OP642386	2022-09-09	South America	Colombia	ANT-LDSP-ANT-MPX-24913-O
ANT-LDSP-ANT-MPX-25340L_Colombia_2022-09-13	OP642412	2022-09-13	South America	Colombia	ANT-LDSP-ANT-MPX-25340L
ANT-LDSP-ANT-MPX-26261O_Colombia_2022-09-26	OP881936	2022-09-26	South America	Colombia	ANT-LDSP-ANT-MPX-26261O
ANT-LDSP-ANT-MPX-23697-L_Colombia_2022-08-30	OP459220	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23697-L
ANT-LDSP-ANT-MPX-28299E_Colombia_2022-10-13	OQ261704	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28299E
ANT-LDSP-ANT-MPX-28772C_Colombia_2022-10-21	OQ261711	2022-10-21	South America	Colombia	ANT-LDSP-ANT-MPX-28772C
LBMB-UTP_MP-019_VAC_Colombia_2022-11-11	OQ148472	2022-11-11	South America	Colombia	LBMB-UTP_MP-019_VAC
INS-MPXV-0015-L1_Colombia_2022-07-21	OP295382	2022-07-21	South America	Colombia	INS-MPXV-0015-L1
ANT-LDSP-ANT-MPX-22702-C_Colombia_2022-08-17	OP431398	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22702-C
ANT-LDSP-ANT-MPX-25342E_Colombia_2022-09-04	OP642414	2022-09-04	South America	Colombia	ANT-LDSP-ANT-MPX-25342E
ANT-LDSP-ANT-MPX-24915-L_Colombia_2022-09-09	OP642388	2022-09-09	South America	Colombia	ANT-LDSP-ANT-MPX-24915-L
ANT-LDSP-ANT-MPX-22816-L_Colombia_2022-08-18	OP477445	2022-08-18	South America	Colombia	ANT-LDSP-ANT-MPX-22816-L
ANT-LDSP-ANT-MPX-24593-O_Colombia_2022-09-07	OP642377	2022-09-07	South America	Colombia	ANT-LDSP-ANT-MPX-24593-O
ANT-LDSP-ANT-MPX-22748-C_Colombia_2022-08-17	OP431399	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22748-C
ANT-LDSP-ANT-MPX-22769-L_Colombia_2022-08-17	OP431401	2022-08-17	South America	Colombia	ANT-LDSP-ANT-MPX-22769-L
ANT-LDSP-ANT-MPX-23651-L_Colombia_2022-08-30	OP459216	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23651-L
ANT-LDSP-ANT-MPX-23266_Colombia_2022-08-23	OP477457	2022-08-23	South America	Colombia	ANT-LDSP-ANT-MPX-23266
ANT-LDSP-ANT-MPX-25285O_Colombia_2022-09-13	OP642408	2022-09-13	South America	Colombia	ANT-LDSP-ANT-MPX-25285O
ANT-LDSP-ANT-MPX-23683-L_Colombia_2022-08-30	OP459219	2022-08-30	South America	Colombia	ANT-LDSP-ANT-MPX-23683-L
ANT-LDSP-ANT-MPX-28290C_Colombia_2022-10-13	OQ261701	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28290C
ANT-LDSP-ANT-MPX-28207C_Colombia_2022-10-13	OQ261698	2022-10-13	South America	Colombia	ANT-LDSP-ANT-MPX-28207C
ANT-LDSP-ANT-MPX-22980_Colombia_2022-08-19	OP477446	2022-08-19	South America	Colombia	ANT-LDSP-ANT-MPX-22980
ANT-LDSP-ANT-MPX-24728-L_Colombia_2022-09-08	OP642381	2022-09-08	South America	Colombia	ANT-LDSP-ANT-MPX-24728-L
SUC-UNIMOL-MPX-293401-L_Colombia_2022-11-10	OP959057	2022-11-10	South America	Colombia	SUC-UNIMOL-MPX-293401-L
QUI_INS_MPX_0967_L_Colombia_2022-10-15	OP819958	2022-10-15	South America	Colombia	QUI_INS_MPX_0967_L
ANT-LDSP-ANT-MPX-28828C_Colombia_2022-10-21	OQ261712	2022-10-21	South America	Colombia	ANT-LDSP-ANT-MPX-28828C
