# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Nov 14 10:50:43 PST 2022 [seed=1668451839727]
# -threads 12 -save_every 2000000 -beagle 235hmpxv_skyline.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-55559.547321807375	-22110.991866742625	-33448.55545506475	74.60680606356708	1948.1904542104055	784.210287367667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24.0	24.0	24.0	24.0	23.0	23.0	23.0	23.0	23.0	23.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	6.0E-5	6.0000000000000056E-5	-33448.55545506475	0.0	-22101.6114133585
25000	-31218.446758036225	-616.6246681373892	-30601.822089898837	1.0855115652342122	2021.7117487087385	25.864897989903962	0.9997506129075582	0.9894148125782861	0.9976688756622356	0.9955324710947976	0.9574712910111113	0.9974351720922376	0.9582499194425286	0.9185815343063617	0.5966836118238141	0.48666779596652293	38.0	23.0	3.0	42.0	31.0	29.0	34.0	10.0	3.0	21.0	40.08964182978656	0.3339374738806529	0.1639999523563868	0.16543823877794941	0.33662433498501054	0.055623810342408625	0.0011001662887189369	0.001100166288718938	-30601.822089898837	0.0	-604.1716902573054
50000	-30724.355469942155	-400.5282817241182	-30323.827188218038	0.6843706203565113	2022.112889653616	19.30931194998165	0.9999883314207723	0.9996463124640339	0.8698897939146735	0.9997285193412596	0.6717581792914056	0.8393387219362343	0.8498085652740283	0.2016750611292236	0.1206223462703452	0.07049860132173633	57.0	14.0	13.0	39.0	37.0	23.0	28.0	11.0	10.0	2.0	44.57395392139254	0.33288442757380754	0.1669928921972125	0.1642750709915667	0.3358476092374129	0.026519368581014623	0.001462894968804959	0.0014628949688049594	-30323.827188218038	0.0	-392.7363181674694
75000	-30422.77740625655	-295.37241328260797	-30127.404992973945	0.6398151326438343	2022.1574451413287	16.90390590539369	0.9669475401547878	0.917503290142237	0.9833803677943836	0.9903373653245606	0.9960730160460728	0.5031815185096622	0.5504131138320453	0.11501405513632894	0.020508812901379313	0.003702968036662047	57.0	15.0	8.0	30.0	65.0	40.0	5.0	7.0	5.0	2.0	38.591567242083265	0.33506680682697926	0.16913462873243068	0.16369998734157398	0.3320985770990156	0.03996511267121965	0.0016887722758482876	0.0016887722758482857	-30127.404992973945	0.0	-292.04674879555256
100000	-30087.755658542785	-213.1080272803634	-29874.64763126242	0.6361806071459997	2022.1610796668267	15.10544909949822	0.973871475200373	0.6534957319121467	0.551197075911026	0.9886603940215501	0.9869055947527411	0.4308222545643045	0.45600101861439346	0.7526233025986695	0.004561828027604609	4.958675421025138E-4	68.0	4.0	14.0	22.0	67.0	43.0	5.0	3.0	4.0	4.0	28.70815192411742	0.3299247802262517	0.16305345937237858	0.1724755883586966	0.33454617204267256	0.028735784155004104	0.0015804753715180722	0.0015804753715180735	-29874.64763126242	0.0	-210.0917416438096
125000	-30003.60829850841	-176.0403265386699	-29827.56797196974	0.6369683232512753	2022.1602919507213	14.271284032074433	0.9927035241064487	0.2992794741448804	0.39508317357914435	0.8102199402276107	0.9894824040510289	0.32395203775124853	0.06390702612658322	0.06893298382705879	0.001647303233938056	4.8772561519636E-4	74.0	4.0	1.0	21.0	66.0	54.0	5.0	5.0	1.0	3.0	27.341799378280246	0.3292900469547715	0.16665945072225413	0.1683706202632431	0.33567988205973065	0.07001773082088185	0.001762378360335298	0.001762378360335299	-29827.56797196974	0.0	-180.74402575471674
150000	-29941.954856297274	-189.0121755227879	-29752.942680774486	0.6461096608485004	2022.1511506131242	14.252692168937802	0.9746451563950933	0.6068798070119825	0.6774784968244112	0.3786229190315341	0.9829076640069627	0.4253079279582095	0.2509491273011021	0.016535309430592764	0.009710186979488226	0.002966601384188396	70.0	6.0	9.0	1.0	84.0	39.0	14.0	9.0	1.0	1.0	32.49238246481989	0.3375032720573305	0.16802114790845307	0.166414129162338	0.32806145087187805	0.0487409104060371	0.0017280575312030434	0.0017280575312030432	-29752.942680774486	0.0	-190.83442673418674
175000	-29816.982166978796	-168.93682900157563	-29648.04533797722	0.6549801831747298	2022.1422800907978	14.044168278394968	0.9644657899078013	0.6092404190487222	0.2614370070254713	0.501959555354739	0.9672572918413923	0.1576307877996889	0.3239030573396361	0.10630764566842289	0.030455148455006603	0.01884796452841205	80.0	6.0	4.0	2.0	83.0	37.0	12.0	3.0	4.0	3.0	27.54021774066485	0.3318323544100186	0.1674867272361164	0.1662821220219517	0.3343987963319129	0.015344901989131144	0.0016705584996790919	0.0016705584996790897	-29648.04533797722	0.0	-168.19800220572347
200000	-29672.777362896657	-123.24609666401807	-29549.53126623264	0.6477435435260859	2022.1495167304465	13.144307944296864	0.9813092261353519	0.8976697472876172	0.8348300684161046	0.3597712451109807	0.9376165495814792	0.16392754467894027	0.11178002994151327	0.027539340552019467	0.02226803387657066	0.026454711092815622	78.0	5.0	2.0	3.0	79.0	28.0	25.0	9.0	3.0	2.0	23.69569629960749	0.331724879502716	0.16776078148396445	0.1686133303416482	0.33190100867167077	0.025036269336623007	0.001797577126933618	0.0017975771269336163	-29549.53126623264	0.0	-124.70089203584905
225000	-29649.08326322528	-119.3501309219018	-29529.733132303376	0.6437988010283682	2022.1534614729442	12.972944532550445	0.9858394858851803	0.9703161876329153	0.7458869206946798	0.42745760549156697	0.9907757927439268	0.1266671847136613	0.06217434612222867	0.12119409588200372	0.029224436336216138	0.06812540105696956	71.0	6.0	6.0	2.0	86.0	32.0	13.0	4.0	13.0	1.0	29.348667536246595	0.32854192453709297	0.16762461664307352	0.16956967279720134	0.3342637860226318	0.05358978988500481	0.0018440604658779582	0.001844060465877957	-29529.733132303376	0.0	-117.30910543511501
