Month,Orig Country,Dest Country,Total Market Pax
7,Austria,Austria,5157
7,Austria,Belgium,13796
7,Austria,Canada,7755
7,Austria,Colombia,499
7,Austria,France,42383
7,Austria,Germany,112289
7,Austria,Italy,99172
7,Austria,Peru,480
7,Austria,Portugal,20373
7,Austria,Slovakia,1917
7,Austria,Slovenia,9
7,Austria,Spain,132310
7,Austria,Switzerland,22275
7,Austria,United Kingdom,68229
7,Austria,United States,49784
7,Belgium,Austria,14615
7,Belgium,Canada,12297
7,Belgium,Colombia,1433
7,Belgium,France,86522
7,Belgium,Germany,20277
7,Belgium,Italy,169757
7,Belgium,Peru,871
7,Belgium,Portugal,77207
7,Belgium,Slovakia,2390
7,Belgium,Slovenia,4125
7,Belgium,Spain,235455
7,Belgium,Switzerland,18501
7,Belgium,United Kingdom,31299
7,Belgium,United States,76952
7,Canada,Austria,6286
7,Canada,Belgium,9612
7,Canada,Canada,3125486
7,Canada,Colombia,14002
7,Canada,France,121907
7,Canada,Germany,53716
7,Canada,Italy,61937
7,Canada,Peru,5369
7,Canada,Portugal,43383
7,Canada,Slovakia,124
7,Canada,Slovenia,531
7,Canada,Spain,30992
7,Canada,Switzerland,19838
7,Canada,United Kingdom,159949
7,Canada,United States,1040547
7,Colombia,Austria,544
7,Colombia,Belgium,1328
7,Colombia,Canada,12112
7,Colombia,Colombia,2630483
7,Colombia,France,7786
7,Colombia,Germany,4874
7,Colombia,Italy,4235
7,Colombia,Peru,31774
7,Colombia,Portugal,1238
7,Colombia,Spain,61344
7,Colombia,Switzerland,2013
7,Colombia,United Kingdom,5709
7,Colombia,United States,216986
7,France,Austria,42339
7,France,Belgium,80489
7,France,Canada,135435
7,France,Colombia,10712
7,France,France,1810816
7,France,Germany,144041
7,France,Italy,525973
7,France,Peru,6487
7,France,Portugal,359045
7,France,Slovakia,242
7,France,Slovenia,3310
7,France,Spain,656710
7,France,Switzerland,145054
7,France,United Kingdom,444675
7,France,United States,390963
7,Germany,Austria,117085
7,Germany,Belgium,20798
7,Germany,Canada,65159
7,Germany,Colombia,6406
7,Germany,France,142729
7,Germany,Germany,273327
7,Germany,Italy,434382
7,Germany,Peru,2804
7,Germany,Portugal,193074
7,Germany,Slovakia,1104
7,Germany,Slovenia,2756
7,Germany,Spain,1222998
7,Germany,Switzerland,85921
7,Germany,United Kingdom,299239
7,Germany,United States,737301
7,Italy,Austria,101519
7,Italy,Belgium,167272
7,Italy,Canada,62635
7,Italy,Colombia,4497
7,Italy,France,499983
7,Italy,Germany,412311
7,Italy,Italy,3741928
7,Italy,Peru,7034
7,Italy,Portugal,115743
7,Italy,Slovakia,10922
7,Italy,Slovenia,106
7,Italy,Spain,637969
7,Italy,Switzerland,148978
7,Italy,United Kingdom,688012
7,Italy,United States,317494
7,Peru,Austria,570
7,Peru,Belgium,695
7,Peru,Canada,5008
7,Peru,Colombia,36747
7,Peru,France,4132
7,Peru,Germany,2018
7,Peru,Italy,8452
7,Peru,Peru,992965
7,Peru,Portugal,409
7,Peru,Slovenia,3
7,Peru,Spain,24906
7,Peru,Switzerland,1104
7,Peru,United Kingdom,3614
7,Peru,United States,68734
7,Portugal,Austria,19314
7,Portugal,Belgium,67754
7,Portugal,Canada,38917
7,Portugal,Colombia,1169
7,Portugal,France,298553
7,Portugal,Germany,179148
7,Portugal,Italy,109786
7,Portugal,Peru,440
7,Portugal,Portugal,444087
7,Portugal,Slovakia,40
7,Portugal,Slovenia,897
7,Portugal,Spain,200635
7,Portugal,Switzerland,108107
7,Portugal,United Kingdom,428127
7,Portugal,United States,86270
7,Slovakia,Austria,2115
7,Slovakia,Belgium,2281
7,Slovakia,Canada,121
7,Slovakia,France,325
7,Slovakia,Germany,927
7,Slovakia,Italy,10951
7,Slovakia,Portugal,43
7,Slovakia,Spain,6527
7,Slovakia,Switzerland,733
7,Slovakia,United Kingdom,24070
7,Slovakia,United States,505
7,Slovenia,Austria,3
7,Slovenia,Belgium,4103
7,Slovenia,Canada,538
7,Slovenia,France,2561
7,Slovenia,Germany,3203
