Map from character to field name
A:	Austria
B:	Belgium
C:	Canada
D:	Colombia
E:	France
F:	Germany
G:	Italy
H:	Portugal
I:	Slovenia
J:	Spain
K:	USA
L:	United Kingdom
M:	?


Substitution rate (mu): 416.161437

Equilibrium frequencies (pi_i):
  A: 0.1105
  B: 0.0993
  C: 0.0894
  D: 0.0677
  E: 0.0748
  F: 0.0513
  G: 0.1253
  H: 0.0688
  I: 0.1105
  J: 0.0694
  K: 0.0802
  L: 0.0527

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	0.6764	0.6764	0.6755	0.6762	0.6755	0.6764	0.6761	0.6764	0.6763	1.0004	0.6755
  B	0.6764	0	0.6764	0.6757	0.6763	0.6757	0.6763	0.6762	0.6764	0.6763	1.3359	0.6757
  C	0.6764	0.6764	0	0.6761	0.6766	0.6771	0.6764	0.6765	0.6764	0.6766	1.8777	0.8276
  D	0.6755	0.6757	0.6761	0	0.6766	1.2851	0.6755	0.6765	0.6755	0.6765	4.2672	0.6804
  E	0.6762	0.6763	0.6766	0.6766	0	0.6781	1.0128	0.6768	0.6762	0.6768	2.6896	0.7633
  F	0.6755	0.6757	0.6771	1.2851	0.6781	0	1.0113	1.013	0.6755	0.6932	9.6965	1.3235
  G	0.6764	0.6763	0.6764	0.6755	1.0128	1.0113	0	0.6761	0.6764	0.6763	1.0034	0.6755
  H	0.6761	0.6762	0.6765	0.6765	0.6768	1.013	0.6761	0	0.6761	0.6764	4.3759	0.6764
  I	0.6764	0.6764	0.6764	0.6755	0.6762	0.6755	0.6764	0.6761	0	0.6763	1.0004	0.6755
  J	0.6763	0.6763	0.6766	0.6765	0.6768	0.6932	0.6763	0.6764	0.6763	0	3.7035	0.6776
  K	1.0004	1.3359	1.8777	4.2672	2.6896	9.6965	1.0034	4.3759	1.0004	3.7035	0	12.9343
  L	0.6755	0.6757	0.8276	0.6804	0.7633	1.3235	0.6755	0.6764	0.6755	0.6776	12.9343	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L
  A	0	0.0748	0.0748	0.0747	0.0748	0.0747	0.0748	0.0747	0.0748	0.0748	0.1106	0.0747
  B	0.0672	0	0.0672	0.0671	0.0672	0.0671	0.0672	0.0672	0.0672	0.0672	0.1327	0.0671
  C	0.0605	0.0605	0	0.0604	0.0605	0.0605	0.0605	0.0605	0.0605	0.0605	0.1678	0.074
  D	0.0457	0.0457	0.0458	0	0.0458	0.087	0.0457	0.0458	0.0457	0.0458	0.2888	0.046
  E	0.0506	0.0506	0.0506	0.0506	0	0.0507	0.0757	0.0506	0.0506	0.0506	0.2011	0.0571
  F	0.0347	0.0347	0.0348	0.066	0.0348	0	0.0519	0.052	0.0347	0.0356	0.4978	0.0679
  G	0.0847	0.0847	0.0848	0.0846	0.1269	0.1267	0	0.0847	0.0847	0.0847	0.1257	0.0846
  H	0.0465	0.0465	0.0465	0.0465	0.0465	0.0697	0.0465	0	0.0465	0.0465	0.3009	0.0465
  I	0.0748	0.0748	0.0748	0.0747	0.0748	0.0747	0.0748	0.0747	0	0.0748	0.1106	0.0747
  J	0.047	0.047	0.047	0.047	0.047	0.0481	0.0469	0.047	0.047	0	0.2571	0.047
  K	0.0802	0.1071	0.1506	0.3422	0.2157	0.7775	0.0805	0.3509	0.0802	0.297	0	1.0372
  L	0.0356	0.0356	0.0436	0.0359	0.0402	0.0698	0.0356	0.0357	0.0356	0.0357	0.6819	0
