strain_region_coarse_date	accession	date	region_coarse	country	strain
MPX/PT0085/2022_SouthernEurope_2022-07-21	OP245336	2022-07-21	Southern Europe	Portugal	MPX/PT0085/2022
MPXV_USA_2022_NY0031_NorthAmerica_2022-08-01	OP687941	2022-08-01	North America	USA	MPXV_USA_2022_NY0031
MPXV/Germany/2022/ON/RKI325_WesternEurope_2022-08-01	OP355581	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI325
Monkeypox/PT0309/2022_SouthernEurope_2022-06-06	OP414343	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0309/2022
MPXV/Germany/2022/RKI181_WesternEurope_2022-07-01	OP018590	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI181
MPXV_USA_2022_CA0038_NorthAmerica_2022-07-01	OP752105	2022-07-01	North America	USA	MPXV_USA_2022_CA0038
MPXV/Germany/2022/ON/RKI512_WesternEurope_2022-10-01	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
hMpxV/USA/CA-CDPH-1000089/2022_NorthAmerica_2022-08-08	OQ121042	2022-08-08	North America	USA	hMpxV/USA/CA-CDPH-1000089/2022
MpxV/human/CAN/UN-NML-3357/2022_NorthAmerica_2022-06-02	ON880543	2022-06-02	North America	Canada	MpxV/human/CAN/UN-NML-3357/2022
MpxV/human/CAN/UN-NML-3530/2022_NorthAmerica_2022-06-03	ON983161	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3530/2022
MPXV_USA_2022_UT001_NorthAmerica_2022-05-01	ON676705	2022-05-01	North America	USA	MPXV_USA_2022_UT001
MPXV/Germany/2022/RKI161_WesternEurope_2022-07-01	ON959174	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI161
MPX/Human/USA/CA-LACPHL-MA00146/2022_NorthAmerica_2022-09-02	OP539931	2022-09-02	North America	USA	MPX/Human/USA/CA-LACPHL-MA00146/2022
MPXV/Germany/2022/RKI593_WesternEurope_2022-10-01	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
MPXV/Germany/2022/RKI557_WesternEurope_2022-06-01	OP764615	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI557
MPXV/Germany/2022/RKI077_WesternEurope_2022-06-01	ON853679	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI077
MPXV_UK_2022_9000185_WesternEurope_2022-06-29	OP205130	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000185
Monkeypox/PT0273/2022_SouthernEurope_2022-06-15	OP414313	2022-06-15	Southern Europe	Portugal	Monkeypox/PT0273/2022
MpxV/human/CAN/UN-NML-2886/2022_NorthAmerica_2022-05-20	ON803434	2022-05-20	North America	Canada	MpxV/human/CAN/UN-NML-2886/2022
MPXV/Germany/2022/RKI143_WesternEurope_2022-07-01	ON959158	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI143
MpxV/human/CAN/UN-NML-3486/2022_NorthAmerica_2022-06-08	ON880518	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3486/2022
Monkeypox/PT0026/2022_SouthernEurope_2022-05-18	ON649711	2022-05-18	Southern Europe	Portugal	Monkeypox/PT0026/2022
MPXV_USA_2022_GA0007_NorthAmerica_2022-06-01	OP378698	2022-06-01	North America	USA	MPXV_USA_2022_GA0007
MPX/Human/USA/CA-LACPHL-MA00257/2022_NorthAmerica_2022-07-13	OP722516	2022-07-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00257/2022
MPXV_USA_2022_NY0030_NorthAmerica_2022-08-01	OP687940	2022-08-01	North America	USA	MPXV_USA_2022_NY0030
hMPXV-IHU00018_WesternEurope_2022-07-22	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
Monkeypox/PT0261/2022_SouthernEurope_2022-06-19	OP414301	2022-06-19	Southern Europe	Portugal	Monkeypox/PT0261/2022
MpxV/human/CAN/UN-NML-3165/2022_NorthAmerica_2022-05-29	ON880531	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3165/2022
Monkeypox/PT0305/2022_SouthernEurope_2022-06-06	OP414339	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0305/2022
Monkeypox/PT0207/2022_SouthernEurope_2022-06-22	OP324517	2022-06-22	Southern Europe	Portugal	Monkeypox/PT0207/2022
MPX/Human/USA/CA-LACPHL-MA00191/2022_NorthAmerica_2022-07-15	OP615264	2022-07-15	North America	USA	MPX/Human/USA/CA-LACPHL-MA00191/2022
MPXV_UK_2022_2_WesternEurope_2022-05-15	ON619836	2022-05-15	Western Europe	United Kingdom	MPXV_UK_2022_2
MPXV-USA-IL-IDPH-033_NorthAmerica_2022-06-15	OP536694	2022-06-15	North America	USA	MPXV-USA-IL-IDPH-033
MPXV/Germany/2022/ON/RKI505_WesternEurope_2022-08-01	OP689658	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI505
MPXV-CH-38134631/2022_WesternEurope_2022-05-19	ON595760	2022-05-19	Western Europe	Switzerland	MPXV-CH-38134631/2022
Monkeypox/PT0182/2022_SouthernEurope_2022-06-27	OP324497	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0182/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00231/2022_NorthAmerica_2022-10-04	OP680509	2022-10-04	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00231/2022
MPX/Human/USA/CA-LACPHL-MA00251/2022_NorthAmerica_2022-07-20	OP722510	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00251/2022
Monkeypox/PT0174/2022_SouthernEurope_2022-06-30	OP324489	2022-06-30	Southern Europe	Portugal	Monkeypox/PT0174/2022
MPXV/Germany/2022/RKI126_WesternEurope_2022-07-01	ON929081	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI126
MPXV/Germany/2022/RKI035_WesternEurope_2022-06-01	ON755241	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI035
MPXV/Germany/2022/RKI407_WesternEurope_2022-09-01	OP524009	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI407
MPXV/Human/USA/CA-CDPH-MPX000036/2022_NorthAmerica_2022-08-15	OP587258	2022-08-15	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000036/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00221/2022_NorthAmerica_2022-07-15	OP680499	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00221/2022
Monkeypox/PT0317/2022_SouthernEurope_2022-06-06	OP414349	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0317/2022
Monkeypox/PT0205/2022_SouthernEurope_2022-06-27	OP324516	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0205/2022
MpxV/human/USA/WA-UW-080976/2022_NorthAmerica_2022-08-01	OP257264	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-080976/2022
hMPXV-IHU00006_WesternEurope_2022-07-04	OP382483	2022-07-04	Western Europe	France	hMPXV-IHU00006
MpxV/human/CAN/UN-NML-2894/2022_NorthAmerica_2022-05-20	ON803436	2022-05-20	North America	Canada	MpxV/human/CAN/UN-NML-2894/2022
MpxV/human/USA/WA-UW-097661/2022_NorthAmerica_2022-09-01	OP747053	2022-09-01	North America	USA	MpxV/human/USA/WA-UW-097661/2022
hMPX/USA/CA-LACPHL-MA00169/2022_NorthAmerica_2022-08-05	OP580602	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00169/2022
Monkeypox/PT0349/2022_SouthernEurope_2022-05-26	OP414378	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0349/2022
MPXV_UK_2022_9000140_WesternEurope_2022-07-06	OP205104	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000140
Monkeypox/PT0325/2022_SouthernEurope_2022-06-03	OP414357	2022-06-03	Southern Europe	Portugal	Monkeypox/PT0325/2022
MPXV_UK_2022_9000175_WesternEurope_2022-06-24	OP205125	2022-06-24	Western Europe	United Kingdom	MPXV_UK_2022_9000175
Monkeypox/PT0354/2022_SouthernEurope_2022-05-23	OP414381	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0354/2022
Monkeypox/PT0434/2022_SouthernEurope_2022-08-02	OP555519	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0434/2022
Monkeypox/PT0398/2022_SouthernEurope_2022-07-15	OP555494	2022-07-15	Southern Europe	Portugal	Monkeypox/PT0398/2022
Monkeypox/PT0339/2022_SouthernEurope_2022-05-26	OP414368	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0339/2022
MPXV_UK_2022_9000105_WesternEurope_2022-06-14	OP205093	2022-06-14	Western Europe	United Kingdom	MPXV_UK_2022_9000105
MPX/Human/USA/CA-LACPHL-MA00252/2022_NorthAmerica_2022-07-14	OP722511	2022-07-14	North America	USA	MPX/Human/USA/CA-LACPHL-MA00252/2022
Monkeypox/PT0346/2022_SouthernEurope_2022-05-26	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
Monkeypox/PT0235/2022_SouthernEurope_2022-06-21	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
MPXV/Human/USA/CA-CDPH-MPX000019/2022_NorthAmerica_2022-07-08	OP587248	2022-07-08	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000019/2022
hMPX/Human/USA/CA-LACPHL-MA00083/2022_NorthAmerica_2022-07-13	OP442550	2022-07-13	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00083/2022
INMI-Pt3_SouthernEurope_2022-05-19	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
MPXV_UK_2022_1_WesternEurope_2022-05-01	ON619835	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_1
MPXV22/human/USA-OK-104_NorthAmerica_2022-08-02	OP484340	2022-08-02	North America	USA	MPXV22/human/USA-OK-104
MPXV/Germany/2022/RKI071_WesternEurope_2022-06-01	ON853657	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI071
Monkeypox/PT0006/2022_SouthernEurope_2022-05-15	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
Monkeypox/PT0001/2022_SouthernEurope_2022-05-04	ON585029	2022-05-04	Southern Europe	Portugal	Monkeypox/PT0001/2022
Monkeypox/PT0234/2022_SouthernEurope_2022-06-20	OP324542	2022-06-20	Southern Europe	Portugal	Monkeypox/PT0234/2022
MPXV_USA_2022_NC0004_NorthAmerica_2022-07-01	OP450993	2022-07-01	North America	USA	MPXV_USA_2022_NC0004
MPXV22/human/USA-NE-44_NorthAmerica_2022-07-14	OP171922	2022-07-14	North America	USA	MPXV22/human/USA-NE-44
Monkeypox/PT0292/2022_SouthernEurope_2022-06-09	OP414327	2022-06-09	Southern Europe	Portugal	Monkeypox/PT0292/2022
hMPX/USA/CA-LACPHL-MA00173/2022_NorthAmerica_2022-07-28	OP580606	2022-07-28	North America	USA	hMPX/USA/CA-LACPHL-MA00173/2022
Monkeypox/PT0384/2022_SouthernEurope_2022-07-12	OP555480	2022-07-12	Southern Europe	Portugal	Monkeypox/PT0384/2022
hMpxV/UK/LMO-034a/2022_WesternEurope_2022-07-14	OP390199	2022-07-14	Western Europe	United Kingdom	hMpxV/UK/LMO-034a/2022
MPXV_UK_2022_9000062_WesternEurope_2022-06-05	OP205068	2022-06-05	Western Europe	United Kingdom	MPXV_UK_2022_9000062
RNA_CentralEurope_2022-08-26	OX336004	2022-08-26	Central Europe	Slovakia	RNA
MPXV/Germany/2022/RKI444_WesternEurope_2022-09-01	OP594208	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI444
Monkeypox/PT0318/2022_SouthernEurope_2022-06-03	OP414350	2022-06-03	Southern Europe	Portugal	Monkeypox/PT0318/2022
MPXV_USA_2022_IL0034_NorthAmerica_2022-06-01	OP303784	2022-06-01	North America	USA	MPXV_USA_2022_IL0034
Slovenia-MPXV-23-2022_CentralEurope_2022-07-01	OP605565	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-23-2022
MPX/PT0051/2022_SouthernEurope_2022-07-31	OP245308	2022-07-31	Southern Europe	Portugal	MPX/PT0051/2022
MPXV/Germany/2022/RKI039_WesternEurope_2022-06-01	ON755245	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI039
MPXV/Germany/2022/RKI541_WesternEurope_2022-06-01	OP715821	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI541
MpxV/human/USA/OH-UW-075598/2022_NorthAmerica_2022-07-01	OP169343	2022-07-01	North America	USA	MpxV/human/USA/OH-UW-075598/2022
hMPX/Human/USA/CA-LACPHL-MA00061/2022_NorthAmerica_2022-07-20	OP440563	2022-07-20	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00061/2022
hMPX/USA/CA-LACPHL-MA00155/2022_NorthAmerica_2022-08-05	OP580588	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00155/2022
MPX/PT0121/2022_SouthernEurope_2022-07-14	OP245354	2022-07-14	Southern Europe	Portugal	MPX/PT0121/2022
MN-MDH-MPXV_0020_NorthAmerica_2022-07-21	OP597794	2022-07-21	North America	USA	MN-MDH-MPXV_0020
hMPX/Human/USA/CA-LACPHL-MA00004/2022_NorthAmerica_2022-07-17	OP440568	2022-07-17	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00004/2022
MPXV-USA-IL-IDPH-036_NorthAmerica_2022-06-17	OP536697	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-036
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00232/2022_NorthAmerica_2022-07-15	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
Monkeypox/PT0304/2022_SouthernEurope_2022-06-07	OP414338	2022-06-07	Southern Europe	Portugal	Monkeypox/PT0304/2022
MPXV/Germany/2022/ON/RKI655_WesternEurope_2022-08-01	OQ159050	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI655
MPXV/Human/USA/UT-UPHL-82200096/2022_NorthAmerica_2022-07-21	OP743361	2022-07-21	North America	USA	MPXV/Human/USA/UT-UPHL-82200096/2022
Monkeypox/PT0326/2022_SouthernEurope_2022-06-02	OP414358	2022-06-02	Southern Europe	Portugal	Monkeypox/PT0326/2022
MPXV_USA_2022_FL002_NorthAmerica_2022-05-15	ON676704	2022-05-15	North America	USA	MPXV_USA_2022_FL002
MPXV_USA_2022_PA001_NorthAmerica_2022-05-01	OP150926	2022-05-01	North America	USA	MPXV_USA_2022_PA001
MPX/Human/USA/CA-LACPHL-MA00187/2022_NorthAmerica_2022-09-27	OP615260	2022-09-27	North America	USA	MPX/Human/USA/CA-LACPHL-MA00187/2022
MPXV/Human/USA/CA-CDPH-MPX000027/2022_NorthAmerica_2022-06-30	OP587255	2022-06-30	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000027/2022
Monkeypox/PT0418/2022_SouthernEurope_2022-07-29	OP555510	2022-07-29	Southern Europe	Portugal	Monkeypox/PT0418/2022
Monkeypox/PT0340/2022_SouthernEurope_2022-05-26	OP414369	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0340/2022
MPXV/Germany/2022/RKI514_WesternEurope_2022-06-01	OP689667	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI514
MPXV-USA-IL-IDPH-082_NorthAmerica_2022-07-03	OP536743	2022-07-03	North America	USA	MPXV-USA-IL-IDPH-082
hMPXV-CH-38212023/2022_WesternEurope_2022-05-30	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
MPXV_USA_2022_NY0016_NorthAmerica_2022-07-01	OQ099604	2022-07-01	North America	USA	MPXV_USA_2022_NY0016
Monkeypox/PT0009/2022_SouthernEurope_2022-05-15	ON585035	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0009/2022
MPX/Human/USA/CA-LACPHL-MA00183/2022_NorthAmerica_2022-07-29	OP615256	2022-07-29	North America	USA	MPX/Human/USA/CA-LACPHL-MA00183/2022
MPXV_UK_2022_9000068_WesternEurope_2022-06-07	OP205074	2022-06-07	Western Europe	United Kingdom	MPXV_UK_2022_9000068
MpxV/human/CAN/UN-NML-2954/2022_NorthAmerica_2022-05-22	ON803440	2022-05-22	North America	Canada	MpxV/human/CAN/UN-NML-2954/2022
PrEV_case_4_WesternEurope_2022-10-09	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
MPXV/Human/USA/CA-CDPH-MPX000012/2022_NorthAmerica_2022-06-22	OP587242	2022-06-22	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000012/2022
Monkeypox/PT0196/2022_SouthernEurope_2022-06-27	OP324509	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0196/2022
hMPXV-IHU00007_WesternEurope_2022-07-06	OP382484	2022-07-06	Western Europe	France	hMPXV-IHU00007
MPX_OXSHAI_9000245_WesternEurope_2022-07-01	OP415216	2022-07-01	Western Europe	United Kingdom	MPX_OXSHAI_9000245
MPXV/Human/USA/CA-LACPHL-MA00284/2022_NorthAmerica_2022-09-28	OP890542	2022-09-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00284/2022
MPX/Human/USA/CA-LACPHL-MA00239/2022_NorthAmerica_2022-07-20	OP722498	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00239/2022
Monkeypox/PT0030/2022_SouthernEurope_2022-05-26	ON843171	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0030/2022
NJ-MPXV-028_NorthAmerica_2022-07-05	OP879744	2022-07-05	North America	USA	NJ-MPXV-028
Monkeypox/PT0342/2022_SouthernEurope_2022-05-26	OP414371	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0342/2022
MPX_i96eY5_9000346_WesternEurope_2022-08-01	OP415274	2022-08-01	Western Europe	United Kingdom	MPX_i96eY5_9000346
MPXV/Germany/2022/RKI382_WesternEurope_2022-09-01	OP523984	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI382
MPXV/Human/USA/CA-CDPH-MPX000011/2022_NorthAmerica_2022-06-14	OP587241	2022-06-14	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000011/2022
