strain_region_coarse_date	accession	date	region_coarse	country	strain
4061_SouthernEurope_2022-05-20	ON838940	2022-05-20	Southern Europe	Spain	4061
8887_SouthernEurope_2022-06-06	ON838939	2022-06-06	Southern Europe	Spain	8887
9000231_WesternEurope_2022-07-25	OP413713	2022-07-25	Western Europe	United Kingdom	9000231
9000289_WesternEurope_2022-08-01	OP413714	2022-08-01	Western Europe	United Kingdom	9000289
9000327_WesternEurope_2022-08-17	OP413715	2022-08-17	Western Europe	United Kingdom	9000327
9000351_WesternEurope_2022-08-01	OP413716	2022-08-01	Western Europe	United Kingdom	9000351
9000353_WesternEurope_2022-08-01	OP413717	2022-08-01	Western Europe	United Kingdom	9000353
9000364_WesternEurope_2022-08-01	OP536746	2022-08-01	Western Europe	United Kingdom	9000364
9000365_WesternEurope_2022-08-01	OP536747	2022-08-01	Western Europe	United Kingdom	9000365
9000366_WesternEurope_2022-08-01	OP536748	2022-08-01	Western Europe	United Kingdom	9000366
9000368_WesternEurope_2022-08-01	OP536749	2022-08-01	Western Europe	United Kingdom	9000368
9000369_WesternEurope_2022-08-01	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
9000370_WesternEurope_2022-08-01	OP536751	2022-08-01	Western Europe	United Kingdom	9000370
9000372_WesternEurope_2022-08-31	OP536752	2022-08-31	Western Europe	United Kingdom	9000372
9000373_WesternEurope_2022-08-29	OP536753	2022-08-29	Western Europe	United Kingdom	9000373
9000374_WesternEurope_2022-08-25	OP536754	2022-08-25	Western Europe	United Kingdom	9000374
9000375_WesternEurope_2022-08-31	OP536755	2022-08-31	Western Europe	United Kingdom	9000375
9000376_WesternEurope_2022-08-14	OP536756	2022-08-14	Western Europe	United Kingdom	9000376
9000377_WesternEurope_2022-08-01	OP536757	2022-08-01	Western Europe	United Kingdom	9000377
9000378_WesternEurope_2022-08-01	OP536758	2022-08-01	Western Europe	United Kingdom	9000378
9000380_WesternEurope_2022-08-01	OP536759	2022-08-01	Western Europe	United Kingdom	9000380
9000381_WesternEurope_2022-08-25	OP536760	2022-08-25	Western Europe	United Kingdom	9000381
9000382_WesternEurope_2022-08-25	OP536761	2022-08-25	Western Europe	United Kingdom	9000382
9000383_WesternEurope_2022-08-01	OP536762	2022-08-01	Western Europe	United Kingdom	9000383
9000384_WesternEurope_2022-08-17	OP536763	2022-08-17	Western Europe	United Kingdom	9000384
9000385_WesternEurope_2022-09-17	OP536764	2022-09-17	Western Europe	United Kingdom	9000385
9000387_WesternEurope_2022-08-15	OP536765	2022-08-15	Western Europe	United Kingdom	9000387
9000388_WesternEurope_2022-08-01	OP536766	2022-08-01	Western Europe	United Kingdom	9000388
9000389_WesternEurope_2022-08-01	OP536767	2022-08-01	Western Europe	United Kingdom	9000389
9000390_WesternEurope_2022-08-01	OP536768	2022-08-01	Western Europe	United Kingdom	9000390
9000391_WesternEurope_2022-08-01	OP536769	2022-08-01	Western Europe	United Kingdom	9000391
9000392_WesternEurope_2022-08-02	OP536770	2022-08-02	Western Europe	United Kingdom	9000392
9000393_WesternEurope_2022-08-25	OP536771	2022-08-25	Western Europe	United Kingdom	9000393
9000394_WesternEurope_2022-08-23	OP536772	2022-08-23	Western Europe	United Kingdom	9000394
9000395_WesternEurope_2022-08-01	OP536773	2022-08-01	Western Europe	United Kingdom	9000395
9000396_WesternEurope_2022-09-01	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
9000397_WesternEurope_2022-08-25	OP536775	2022-08-25	Western Europe	United Kingdom	9000397
9000398_WesternEurope_2022-09-01	OP536776	2022-09-01	Western Europe	United Kingdom	9000398
9000399_WesternEurope_2022-09-01	OP536777	2022-09-01	Western Europe	United Kingdom	9000399
9000400_WesternEurope_2022-09-30	OP536778	2022-09-30	Western Europe	United Kingdom	9000400
9000403_WesternEurope_2022-09-01	OP536779	2022-09-01	Western Europe	United Kingdom	9000403
9000404_WesternEurope_2022-08-01	OP536780	2022-08-01	Western Europe	United Kingdom	9000404
9000405_WesternEurope_2022-09-01	OP536781	2022-09-01	Western Europe	United Kingdom	9000405
9000406_WesternEurope_2022-09-01	OP536782	2022-09-01	Western Europe	United Kingdom	9000406
9000407_WesternEurope_2022-09-30	OP536783	2022-09-30	Western Europe	United Kingdom	9000407
9000408_WesternEurope_2022-09-01	OP536784	2022-09-01	Western Europe	United Kingdom	9000408
9000409_WesternEurope_2022-09-11	OP536785	2022-09-11	Western Europe	United Kingdom	9000409
9000412_WesternEurope_2022-08-01	OP536787	2022-08-01	Western Europe	United Kingdom	9000412
9000413_WesternEurope_2022-08-01	OP536788	2022-08-01	Western Europe	United Kingdom	9000413
9000415_WesternEurope_2022-08-24	OP536789	2022-08-24	Western Europe	United Kingdom	9000415
9000416_WesternEurope_2022-08-01	OP536790	2022-08-01	Western Europe	United Kingdom	9000416
9000417_WesternEurope_2022-08-25	OP536791	2022-08-25	Western Europe	United Kingdom	9000417
9000418_WesternEurope_2022-08-01	OP536792	2022-08-01	Western Europe	United Kingdom	9000418
9000419_WesternEurope_2022-08-01	OP536793	2022-08-01	Western Europe	United Kingdom	9000419
9000420_WesternEurope_2022-08-25	OP536794	2022-08-25	Western Europe	United Kingdom	9000420
9000421_WesternEurope_2022-08-01	OP536795	2022-08-01	Western Europe	United Kingdom	9000421
9000422_WesternEurope_2022-08-01	OP536796	2022-08-01	Western Europe	United Kingdom	9000422
9000423_WesternEurope_2022-08-24	OP536797	2022-08-24	Western Europe	United Kingdom	9000423
9000424_WesternEurope_2022-08-01	OP536798	2022-08-01	Western Europe	United Kingdom	9000424
9000425_WesternEurope_2022-08-01	OP536799	2022-08-01	Western Europe	United Kingdom	9000425
9000426_WesternEurope_2022-08-01	OP536800	2022-08-01	Western Europe	United Kingdom	9000426
9000429_WesternEurope_2022-09-01	OP536801	2022-09-01	Western Europe	United Kingdom	9000429
9000430_WesternEurope_2022-09-01	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
9000431_WesternEurope_2022-09-01	OP536803	2022-09-01	Western Europe	United Kingdom	9000431
9000432_WesternEurope_2022-09-01	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
9000435_WesternEurope_2022-07-25	OP536805	2022-07-25	Western Europe	United Kingdom	9000435
9000437_WesternEurope_2022-08-25	OP536806	2022-08-25	Western Europe	United Kingdom	9000437
9000438_WesternEurope_2022-09-01	OP536807	2022-09-01	Western Europe	United Kingdom	9000438
9000442_WesternEurope_2022-08-25	OP536808	2022-08-25	Western Europe	United Kingdom	9000442
9000444_WesternEurope_2022-08-01	OP536809	2022-08-01	Western Europe	United Kingdom	9000444
9000445_WesternEurope_2022-08-01	OP536810	2022-08-01	Western Europe	United Kingdom	9000445
9000448_WesternEurope_2022-09-01	OP536811	2022-09-01	Western Europe	United Kingdom	9000448
9000451_WesternEurope_2022-09-01	OP536813	2022-09-01	Western Europe	United Kingdom	9000451
9000452_WesternEurope_2022-09-01	OP536814	2022-09-01	Western Europe	United Kingdom	9000452
9000453_WesternEurope_2022-09-01	OP536815	2022-09-01	Western Europe	United Kingdom	9000453
MPXV_USA_2021_MD_NorthAmerica_2021-11-04	ON676708	2021-11-04	North America	USA	MPXV_USA_2021_MD
CMIP-P0_WesternEurope_2022-06-14	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
CIBU-220035_WesternEurope_2022-06-08	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
MN-MDH-MPXV_0011_NorthAmerica_2022-07-12	OP597785	2022-07-12	North America	USA	MN-MDH-MPXV_0011
MPXV_USA_2022_WA0014_NorthAmerica_2022-07-01	OP752125	2022-07-01	North America	USA	MPXV_USA_2022_WA0014
Monkeypox/PT0337/2022_SouthernEurope_2022-05-26	OP414366	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0337/2022
MPXV_USA_2022_CT0003_NorthAmerica_2022-07-01	OP451008	2022-07-01	North America	USA	MPXV_USA_2022_CT0003
MpxV/human/CAN/UN-NML-2861/2022_NorthAmerica_2022-05-18	ON803427	2022-05-18	North America	Canada	MpxV/human/CAN/UN-NML-2861/2022
Monkeypox/PT0288/2022_SouthernEurope_2022-06-13	OP414323	2022-06-13	Southern Europe	Portugal	Monkeypox/PT0288/2022
MPXV/Germany/2022/ON/RKI605_WesternEurope_2022-09-01	OP863255	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI605
MPXV_UK_2022_6_WesternEurope_2022-05-01	OP022171	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_6
MPXV/Human/USA/CA-CDPH-MPX000033/2022_NorthAmerica_2022-08-01	OP587257	2022-08-01	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000033/2022
MPX/PT0084/2022_SouthernEurope_2022-07-22	OP245335	2022-07-22	Southern Europe	Portugal	MPX/PT0084/2022
MpxV/human/USA/WA-UW-071121/2022_NorthAmerica_2022-07-01	OP123047	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-071121/2022
Monkeypox/PT0016/2022_SouthernEurope_2022-05-23	ON649716	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0016/2022
Monkeypox/PT0289/2022_SouthernEurope_2022-06-12	OP414324	2022-06-12	Southern Europe	Portugal	Monkeypox/PT0289/2022
Monkeypox/PT0256/2022_SouthernEurope_2022-06-19	OP414297	2022-06-19	Southern Europe	Portugal	Monkeypox/PT0256/2022
MPX/PT0108/2022_SouthernEurope_2022-07-18	OP245342	2022-07-18	Southern Europe	Portugal	MPX/PT0108/2022
