	accession	date	region_coarse	country	strain
0	ON838940	2022-05-20	Southern Europe	Spain	4061
1	ON838939	2022-06-06	Southern Europe	Spain	8887
2	OP413713	2022-07-25	Western Europe	United Kingdom	9000231
3	OP413714	2022-08-01	Western Europe	United Kingdom	9000289
4	OP413715	2022-08-17	Western Europe	United Kingdom	9000327
5	OP413716	2022-08-01	Western Europe	United Kingdom	9000351
6	OP413717	2022-08-01	Western Europe	United Kingdom	9000353
7	OP536746	2022-08-01	Western Europe	United Kingdom	9000364
8	OP536747	2022-08-01	Western Europe	United Kingdom	9000365
9	OP536748	2022-08-01	Western Europe	United Kingdom	9000366
10	OP536749	2022-08-01	Western Europe	United Kingdom	9000368
11	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
12	OP536751	2022-08-01	Western Europe	United Kingdom	9000370
13	OP536752	2022-08-31	Western Europe	United Kingdom	9000372
14	OP536753	2022-08-29	Western Europe	United Kingdom	9000373
15	OP536754	2022-08-25	Western Europe	United Kingdom	9000374
16	OP536755	2022-08-31	Western Europe	United Kingdom	9000375
17	OP536756	2022-08-14	Western Europe	United Kingdom	9000376
18	OP536757	2022-08-01	Western Europe	United Kingdom	9000377
19	OP536758	2022-08-01	Western Europe	United Kingdom	9000378
20	OP536759	2022-08-01	Western Europe	United Kingdom	9000380
21	OP536760	2022-08-25	Western Europe	United Kingdom	9000381
22	OP536761	2022-08-25	Western Europe	United Kingdom	9000382
23	OP536762	2022-08-01	Western Europe	United Kingdom	9000383
24	OP536763	2022-08-17	Western Europe	United Kingdom	9000384
25	OP536764	2022-09-17	Western Europe	United Kingdom	9000385
26	OP536765	2022-08-15	Western Europe	United Kingdom	9000387
27	OP536766	2022-08-01	Western Europe	United Kingdom	9000388
28	OP536767	2022-08-01	Western Europe	United Kingdom	9000389
29	OP536768	2022-08-01	Western Europe	United Kingdom	9000390
30	OP536769	2022-08-01	Western Europe	United Kingdom	9000391
31	OP536770	2022-08-02	Western Europe	United Kingdom	9000392
32	OP536771	2022-08-25	Western Europe	United Kingdom	9000393
33	OP536772	2022-08-23	Western Europe	United Kingdom	9000394
34	OP536773	2022-08-01	Western Europe	United Kingdom	9000395
35	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
36	OP536775	2022-08-25	Western Europe	United Kingdom	9000397
37	OP536776	2022-09-01	Western Europe	United Kingdom	9000398
38	OP536777	2022-09-01	Western Europe	United Kingdom	9000399
39	OP536778	2022-09-30	Western Europe	United Kingdom	9000400
40	OP536779	2022-09-01	Western Europe	United Kingdom	9000403
41	OP536780	2022-08-01	Western Europe	United Kingdom	9000404
42	OP536781	2022-09-01	Western Europe	United Kingdom	9000405
43	OP536782	2022-09-01	Western Europe	United Kingdom	9000406
44	OP536783	2022-09-30	Western Europe	United Kingdom	9000407
45	OP536784	2022-09-01	Western Europe	United Kingdom	9000408
46	OP536785	2022-09-11	Western Europe	United Kingdom	9000409
47	OP536787	2022-08-01	Western Europe	United Kingdom	9000412
48	OP536788	2022-08-01	Western Europe	United Kingdom	9000413
49	OP536789	2022-08-24	Western Europe	United Kingdom	9000415
50	OP536790	2022-08-01	Western Europe	United Kingdom	9000416
51	OP536791	2022-08-25	Western Europe	United Kingdom	9000417
52	OP536792	2022-08-01	Western Europe	United Kingdom	9000418
53	OP536793	2022-08-01	Western Europe	United Kingdom	9000419
54	OP536794	2022-08-25	Western Europe	United Kingdom	9000420
55	OP536795	2022-08-01	Western Europe	United Kingdom	9000421
56	OP536796	2022-08-01	Western Europe	United Kingdom	9000422
57	OP536797	2022-08-24	Western Europe	United Kingdom	9000423
58	OP536798	2022-08-01	Western Europe	United Kingdom	9000424
59	OP536799	2022-08-01	Western Europe	United Kingdom	9000425
60	OP536800	2022-08-01	Western Europe	United Kingdom	9000426
61	OP536801	2022-09-01	Western Europe	United Kingdom	9000429
62	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
63	OP536803	2022-09-01	Western Europe	United Kingdom	9000431
64	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
65	OP536805	2022-07-25	Western Europe	United Kingdom	9000435
66	OP536806	2022-08-25	Western Europe	United Kingdom	9000437
67	OP536807	2022-09-01	Western Europe	United Kingdom	9000438
68	OP536808	2022-08-25	Western Europe	United Kingdom	9000442
69	OP536809	2022-08-01	Western Europe	United Kingdom	9000444
70	OP536810	2022-08-01	Western Europe	United Kingdom	9000445
71	OP536811	2022-09-01	Western Europe	United Kingdom	9000448
72	OP536813	2022-09-01	Western Europe	United Kingdom	9000451
73	OP536814	2022-09-01	Western Europe	United Kingdom	9000452
74	OP536815	2022-09-01	Western Europe	United Kingdom	9000453
75	ON676708	2021-11-04	North America	USA	MPXV_USA_2021_MD
76	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
77	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
78	OP597785	2022-07-12	North America	USA	MN-MDH-MPXV_0011
79	OP752125	2022-07-01	North America	USA	MPXV_USA_2022_WA0014
80	OP414366	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0337/2022
81	OP451008	2022-07-01	North America	USA	MPXV_USA_2022_CT0003
82	ON803427	2022-05-18	North America	Canada	MpxV/human/CAN/UN-NML-2861/2022
83	OP414323	2022-06-13	Southern Europe	Portugal	Monkeypox/PT0288/2022
84	OP863255	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI605
85	OP022171	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_6
86	OP587257	2022-08-01	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000033/2022
87	OP245335	2022-07-22	Southern Europe	Portugal	MPX/PT0084/2022
88	OP123047	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-071121/2022
89	ON649716	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0016/2022
90	OP414324	2022-06-12	Southern Europe	Portugal	Monkeypox/PT0289/2022
91	OP414297	2022-06-19	Southern Europe	Portugal	Monkeypox/PT0256/2022
92	OP245342	2022-07-18	Southern Europe	Portugal	MPX/PT0108/2022
93	OP245336	2022-07-21	Southern Europe	Portugal	MPX/PT0085/2022
94	OP687941	2022-08-01	North America	USA	MPXV_USA_2022_NY0031
95	OP355581	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI325
96	OP414343	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0309/2022
97	OP018590	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI181
98	OP752105	2022-07-01	North America	USA	MPXV_USA_2022_CA0038
99	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
100	OQ121042	2022-08-08	North America	USA	hMpxV/USA/CA-CDPH-1000089/2022
101	ON880543	2022-06-02	North America	Canada	MpxV/human/CAN/UN-NML-3357/2022
102	ON983161	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3530/2022
103	ON676705	2022-05-01	North America	USA	MPXV_USA_2022_UT001
104	ON959174	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI161
105	OP539931	2022-09-02	North America	USA	MPX/Human/USA/CA-LACPHL-MA00146/2022
106	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
107	OP764615	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI557
108	ON853679	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI077
109	OP205130	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000185
110	OP414313	2022-06-15	Southern Europe	Portugal	Monkeypox/PT0273/2022
111	ON803434	2022-05-20	North America	Canada	MpxV/human/CAN/UN-NML-2886/2022
112	ON959158	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI143
113	ON880518	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3486/2022
114	ON649711	2022-05-18	Southern Europe	Portugal	Monkeypox/PT0026/2022
115	OP378698	2022-06-01	North America	USA	MPXV_USA_2022_GA0007
116	OP722516	2022-07-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00257/2022
117	OP687940	2022-08-01	North America	USA	MPXV_USA_2022_NY0030
118	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
119	OP414301	2022-06-19	Southern Europe	Portugal	Monkeypox/PT0261/2022
120	ON880531	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3165/2022
121	OP414339	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0305/2022
122	OP324517	2022-06-22	Southern Europe	Portugal	Monkeypox/PT0207/2022
123	OP615264	2022-07-15	North America	USA	MPX/Human/USA/CA-LACPHL-MA00191/2022
124	ON619836	2022-05-15	Western Europe	United Kingdom	MPXV_UK_2022_2
125	OP536694	2022-06-15	North America	USA	MPXV-USA-IL-IDPH-033
126	OP689658	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI505
127	ON595760	2022-05-19	Western Europe	Switzerland	MPXV-CH-38134631/2022
128	OP324497	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0182/2022
129	OP680509	2022-10-04	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00231/2022
130	OP722510	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00251/2022
131	OP324489	2022-06-30	Southern Europe	Portugal	Monkeypox/PT0174/2022
132	ON929081	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI126
133	ON755241	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI035
134	OP524009	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI407
135	OP587258	2022-08-15	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000036/2022
136	OP680499	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00221/2022
137	OP414349	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0317/2022
138	OP324516	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0205/2022
139	OP257264	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-080976/2022
140	OP382483	2022-07-04	Western Europe	France	hMPXV-IHU00006
141	ON803436	2022-05-20	North America	Canada	MpxV/human/CAN/UN-NML-2894/2022
142	OP747053	2022-09-01	North America	USA	MpxV/human/USA/WA-UW-097661/2022
143	OP580602	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00169/2022
144	OP414378	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0349/2022
145	OP205104	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000140
146	OP414357	2022-06-03	Southern Europe	Portugal	Monkeypox/PT0325/2022
147	OP205125	2022-06-24	Western Europe	United Kingdom	MPXV_UK_2022_9000175
148	OP414381	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0354/2022
149	OP555519	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0434/2022
150	OP555494	2022-07-15	Southern Europe	Portugal	Monkeypox/PT0398/2022
151	OP414368	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0339/2022
152	OP205093	2022-06-14	Western Europe	United Kingdom	MPXV_UK_2022_9000105
153	OP722511	2022-07-14	North America	USA	MPX/Human/USA/CA-LACPHL-MA00252/2022
154	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
155	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
156	OP587248	2022-07-08	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000019/2022
157	OP442550	2022-07-13	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00083/2022
158	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
159	ON619835	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_1
