accession	strain_region_coarse_date
OP185715	MPXV_USA_2022_CO0002_NorthAmerica_2022-05-01	accession
ON880541	MpxV/human/CAN/UN-NML-3344/2022_NorthAmerica_2022-06-01	accession
ON649712	Monkeypox/PT0025/2022_SouthernEurope_2022-05-19	accession
ON745215	INMI-Pt2_SouthernEurope_2022-05-19	accession
OP414371	Monkeypox/PT0342/2022_SouthernEurope_2022-05-26	accession
ON682263	MPXV/Germany/2022/RKI03_WesternEurope_2022-05-01	accession
ON631241	2022/2SLO_CentralEurope_2022-05-24	accession
OP605571	Slovenia-MPXV-29-2022_CentralEurope_2022-07-01	accession
OP594208	MPXV/Germany/2022/RKI444_WesternEurope_2022-09-01	accession
OP594189	MPXV/Germany/2022/RKI425_WesternEurope_2022-09-01	accession
OP414373	Monkeypox/PT0344/2022_SouthernEurope_2022-05-25	accession
OP415196	MPX_96X1Vd_9000218_WesternEurope_2022-03-28	accession
OP215227	MPXV/Germany/2022/RKI242_WesternEurope_2022-08-01	accession
OP615323	MPXV/Germany/2022/ON/RKI447_WesternEurope_2022-09-01	accession
ON803440	MpxV/human/CAN/UN-NML-2954/2022_NorthAmerica_2022-05-22	accession
OP696841	MPXV/Germany/2022/RKI338_WesternEurope_2022-07-01	accession
OP605567	Slovenia-MPXV-25-2022_CentralEurope_2022-07-01	accession
ON755247	MPXV/Germany/2022/RKI041_WesternEurope_2022-06-07	accession
OP536675	MPXV-USA-IL-IDPH-014_NorthAmerica_2022-07-05	accession
OP605575	Slovenia-MPXV-33-2022_CentralEurope_2022-07-01	accession
ON959134	MPXV_USA_2022_NY003_NorthAmerica_2022-05-01	accession
ON619838	MPXV_UK_2022_4_WesternEurope_2022-05-15	accession
OX261748	RNA_vsay6o_CentralEurope_2022-07-13	accession
OP605565	Slovenia-MPXV-23-2022_CentralEurope_2022-07-01	accession
OP205124	MPXV_UK_2022_9000173_WesternEurope_2022-05-26	accession
ON843182	Monkeypox/PT0044/2022_SouthernEurope_2022-05-30	accession
OP743358	MPXV/Human/USA/UT-UPHL-82200023/2022_NorthAmerica_2022-05-21	accession
ON682264	MPXV/Germany/2022/RKI05_WesternEurope_2022-05-01	accession
OP414369	Monkeypox/PT0340/2022_SouthernEurope_2022-05-26	accession
ON880543	MpxV/human/CAN/UN-NML-3357/2022_NorthAmerica_2022-06-02	accession
OP310062	MpxV/human/USA/WA-UW-089836/2022_NorthAmerica_2022-08-01	accession
ON843168	Monkeypox/PT0032/2022_SouthernEurope_2022-05-26	accession
ON803419	MpxV/human/CAN/UN-NML-2844/2022_NorthAmerica_2022-05-14	accession
ON595760	MPXV-CH-38134631/2022_WesternEurope_2022-05-19	accession
OP605566	Slovenia-MPXV-24-2022_CentralEurope_2022-07-01	accession
OP605554	Slovenia-MPXV-11-2022_CentralEurope_2022-07-01	accession
OP245353	MPX/PT0120/2022_SouthernEurope_2022-07-13	accession
OX297403	RNA_6f81vv_CentralEurope_2022-08-09	accession
OX261749	RNA_pyesyu_CentralEurope_2022-07-20	accession
OP414370	Monkeypox/PT0341/2022_SouthernEurope_2022-05-27	accession
ON585036	Monkeypox/PT0010/2022_SouthernEurope_2022-05-15	accession
OP689663	MPXV/Germany/2022/ON/RKI510_WesternEurope_2022-10-01	accession
OP215237	MPXV/Germany/2022/RKI195_WesternEurope_2022-08-01	accession
OP422343	hMPXV/Austria/MUW1540386/2022_WesternEurope_2022-08-08	accession
OP422340	hMPXV/Austria/MUW1533948/2022_WesternEurope_2022-07-13	accession
OP215206	MPXV/Germany/2022/RKI243_WesternEurope_2022-08-01	accession
ON927243	MpxV/Spain/MD-HGUGM-6642566/2022_SouthernEurope_2022-06-21	accession
OP414341	Monkeypox/PT0307/2022_SouthernEurope_2022-06-07	accession
OP414285	Monkeypox/PT0241/2022_SouthernEurope_2022-06-21	accession
OP680496	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00218/2022_NorthAmerica_2022-10-05	accession
OP680489	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00211/2022_NorthAmerica_2022-09-30	accession
OP748950	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00264/2022_NorthAmerica_2022-09-07	accession
OP580156	MPXV/Human/USA/CA-CDPH-MPX000009/2022_NorthAmerica_2022-06-30	accession
OP555658	Monkeypox/PT0591/2022_SouthernEurope_2022-09-13	accession
OP324459	Monkeypox/PT0136/2022_SouthernEurope_2022-07-10	accession
OP615327	MPXV/Germany/2022/ON/RKI450_WesternEurope_2022-09-01	accession
OP494263	MPXV/Germany/2022/ON/RKI316_WesternEurope_2022-09-01	accession
OP555660	Monkeypox/PT0593/2022_SouthernEurope_2022-09-14	accession
OP484688	MPXV/Germany/2022/RKI367_WesternEurope_2022-09-30	accession
OP605574	Slovenia-MPXV-32-2022_CentralEurope_2022-07-25	accession
OP605563	Slovenia-MPXV-21-2022_CentralEurope_2022-07-25	accession
OP133004	hMPXV/Austria/MUW1533374/2022_WesternEurope_2022-07-11	accession
OP133005	hMPXV/Austria/MUW1531848/2022_WesternEurope_2022-07-05	accession
OP837354	MPXV/Germany/2022/RKI592_WesternEurope_2022-10-01	accession
OP764629	MPXV/Germany/2022/RKI571_WesternEurope_2022-10-01	accession
OP594194	MPXV/Germany/2022/RKI430_WesternEurope_2022-09-01	accession
OP215282	MPXV/Germany/2022/RKI263_WesternEurope_2022-08-24	accession
OP555513	Monkeypox/PT0426/2022_SouthernEurope_2022-07-31	accession
OP555469	Monkeypox/PT0373/2022_SouthernEurope_2022-07-05	accession
OX291435	RNA_613pzg_CentralEurope_2022-07-25	accession
OX291424	RNA_4137vi_CentralEurope_2022-07-25	accession
OX336038	RNA_3mjv89_CentralEurope_2022-08-31	accession
OX291694	RNA_1zagge_CentralEurope_2022-08-01	accession
OP555646	Monkeypox/PT0575/2022_SouthernEurope_2022-09-06	accession
OP555642	Monkeypox/PT0571/2022_SouthernEurope_2022-09-05	accession
OP555636	Monkeypox/PT0565/2022_SouthernEurope_2022-09-05	accession
OP615325	MPXV/Germany/2022/ON/RKI449_WesternEurope_2022-09-01	accession
OX291780	RNA_3es490_CentralEurope_2022-07-25	accession
OX291676	RNA_19d8oi_CentralEurope_2022-08-01	accession
OP414309	Monkeypox/PT0269/2022_SouthernEurope_2022-06-15	accession
OP324466	Monkeypox/PT0149/2022_SouthernEurope_2022-07-06	accession
OP324486	Monkeypox/PT0171/2022_SouthernEurope_2022-07-02	accession
OP820455	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022_NorthAmerica_2022-08-08	accession
OP536720	MPXV-USA-IL-IDPH-059_NorthAmerica_2022-07-06	accession
OP270476	MPXV/Germany/2022/RKI287_WesternEurope_2022-08-31	accession
OP687938	MPXV_USA_2022_NJ0005_NorthAmerica_2022-08-01	accession
OP414353	Monkeypox/PT0321/2022_SouthernEurope_2022-06-04	accession
ON585038	Monkeypox/PT0008/2022_SouthernEurope_2022-05-15	accession
OP339855	MPXV/Germany/2022/RKI298_WesternEurope_2022-08-31	accession
OP837344	MPXV/Germany/2022/RKI582_WesternEurope_2022-06-15	accession
ON853670	MPXV/Germany/2022/RKI090_WesternEurope_2022-06-25	accession
OP133007	hMPXV/Austria/MUW1536480/2022_WesternEurope_2022-07-22	accession
OP555613	Monkeypox/PT0542/2022_SouthernEurope_2022-08-23	accession
OP555584	Monkeypox/PT0512/2022_SouthernEurope_2022-08-16	accession
ON619837	MPXV_UK_2022_3_WesternEurope_2022-05-04	accession
OP013002	MpxV/human/CAN/UN-NML-3164/2022_NorthAmerica_2022-05-29	accession
OP013001	MpxV/human/CAN/UN-NML-2831/2022_NorthAmerica_2022-05-14	accession
OP743984	MpxV/human/USA/WA-UW-090134/2022_NorthAmerica_2022-09-01	accession
OP628472	MpxV/human/USA/WA-UW-087291/2022_NorthAmerica_2022-08-01	accession
OP747062	MpxV/human/USA/WA-UW-106624/2022_NorthAmerica_2022-10-01	accession
OP743976	MpxV/human/USA/WA-UW-096136/2022_NorthAmerica_2022-09-17	accession
OP394229	9000220_NCPV_1703_WesternEurope_2022-05-14	accession
OP415267	MPX_rYdyAi_9000329_WesternEurope_2022-08-01	accession
OP415212	MPX_UbfBKN_9000238_WesternEurope_2022-07-30	accession
OP626118	MPXV/Germany/2022/RKI480_WesternEurope_2022-07-01	accession
OP837334	MPXV/Germany/2022/RKI572_WesternEurope_2022-06-30	accession
OP215284	MPXV/Germany/2022/RKI265_WesternEurope_2022-08-01	accession
OP215231	MPXV/Germany/2022/RKI189_WesternEurope_2022-08-01	accession
OP890552	MPXV/Human/USA/CA-LACPHL-MA00294/2022_NorthAmerica_2022-10-06	accession
OP819952	VAC_INS_MPX_0958_L_SouthAmerica_2022-10-13	accession
OP837471	VAC_INS_MPX_1052_E_SouthAmerica_2022-10-25	accession
OP819956	VAC_INS_MPX_0965_EL_SouthAmerica_2022-10-12	accession
OP819957	VAC_INS_MPX_0965_HL_SouthAmerica_2022-10-12	accession
OP722494	MPX/Human/USA/CA-LACPHL-MA00235/2022_NorthAmerica_2022-07-13	accession
OP303797	MPXV_USA_2022_VA0003_NorthAmerica_2022-06-25	accession
OP743360	MPXV/Human/USA/UT-UPHL-82200060/2024_NorthAmerica_2022-07-08	accession
OP378710	MPXV_USA_2022_VA0007_NorthAmerica_2022-06-25	accession
OP378711	MPXV_USA_2022_VA0008_NorthAmerica_2022-06-25	accession
OP920684	MPXV/Human/USA/CA-LACPHL-MA00346/2022_NorthAmerica_2022-10-05	accession
OP555512	Monkeypox/PT0424/2022_SouthernEurope_2022-08-01	accession
OP555520	Monkeypox/PT0435/2022_SouthernEurope_2022-08-02	accession
OP555645	Monkeypox/PT0574/2022_SouthernEurope_2022-09-06	accession
OP555605	Monkeypox/PT0534/2022_SouthernEurope_2022-08-23	accession
OP144215	MPXV/ITM_pt_05/Belgium/30-May-2022_WesternEurope_2022-05-30	accession
OP144213	MPXV/ITM_pt_24/Belgium/16-Jun-2022_WesternEurope_2022-06-16	accession
OP144216	MPXV/ITM_pt_07/Belgium/30-May-2022_WesternEurope_2022-05-30	accession
OP144217	MPXV/ITM_pt_09/Belgium/2-Jun-2022_WesternEurope_2022-06-02	accession
OP144211	MPXV/ITM_pt_10/Belgium/1-Jun-2022_WesternEurope_2022-06-01	accession
ON720849	MpxV/Spain/MD-HGUGM-6532064/2022_SouthernEurope_2022-05-27	accession
ON622718	MPXV/ES0001/HUGTiP/2022_SouthernEurope_2022-05-20	accession
OP390194	hMpxV/UK/LMO-026a/2022_WesternEurope_2022-07-01	accession
OP215232	MPXV/Germany/2022/RKI190_WesternEurope_2022-08-01	accession
OP484679	MPXV/Germany/2022/RKI358_WesternEurope_2022-09-01	accession
ON929089	MPXV/Germany/2022/RKI134_WesternEurope_2022-07-01	accession
OP879758	NJ-MPXV-044_NorthAmerica_2022-07-21	accession
OP378701	MPXV_USA_2022_NY0028_NorthAmerica_2022-06-13	accession
OP270022	MpxV/human/CAN/UN-NML-3972/2022_NorthAmerica_2022-07-04	accession
OP382485	hMPXV-IHU00008_WesternEurope_2022-07-05	accession
OP303792	MPXV_USA_2022_NE0002_NorthAmerica_2022-07-01	accession
OP303791	MPXV_USA_2022_NE0001_NorthAmerica_2022-06-16	accession
ON780017	INMI-Pt4_SouthernEurope_2022-05-21	accession
OP150925	MPXV_USA_2022_GA001_NorthAmerica_2022-05-21	accession
OP783902	hMPXV-CH-38347314/2022_WesternEurope_2022-06-08	accession
ON792322	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022_WesternEurope_2022-06-02	accession
OP555650	Monkeypox/PT0579/2022_SouthernEurope_2022-09-10	accession
OP358276	SIC-AOUP-UNIPA_VL_9aug_SouthernEurope_2022-08-09	accession
ON959149	MPXV/Germany/2022/RKI140_WesternEurope_2022-07-31	accession
OP863229	hMpxV/USA/CA-CDPH-000055/2022_NorthAmerica_2022-10-07	accession
OP422341	hMPXV/Austria/MUW1538395/2022_WesternEurope_2022-08-01	accession
OP422342	hMPXV/Austria/MUW1539124/2022_WesternEurope_2022-08-02	accession
OP555651	Monkeypox/PT0580/2022_SouthernEurope_2022-09-09	accession
OP555638	Monkeypox/PT0567/2022_SouthernEurope_2022-09-03	accession
OP555649	Monkeypox/PT0578/2022_SouthernEurope_2022-09-12	accession
OP555639	Monkeypox/PT0568/2022_SouthernEurope_2022-09-02	accession
OP459211	ANT-LDSP-ANT-MPX-23596-O_SouthAmerica_2022-08-29	accession
OP390195	hMpxV/UK/LMO-029a/2022_WesternEurope_2022-07-07	accession
OP819959	SAN_INS_MPX_0971_L_SouthAmerica_2022-10-11	accession
OP693651	CUN_INS_MPX_0649_C_SouthAmerica_2022-08-23	accession
OP693647	DC_INS_MPX_0082_L_SouthAmerica_2022-08-08	accession
OP819953	VAC_INS_MPX_0960_L_SouthAmerica_2022-10-15	accession
OP837470	VAC_INS_MPX_1050_E_SouthAmerica_2022-10-26	accession
OP819951	VAC_INS_MPX_0957_HO_SouthAmerica_2022-10-15	accession
ON755039	MPXV_IRBA22-11_WesternEurope_2022-05-19	accession
OP838893	ID6821_SouthernEurope_2022-06-21	accession
OP382481	hMPXV-IHU00004_WesternEurope_2022-07-04	accession
OP270026	MpxV/human/CAN/UN-NML-4017/2022_NorthAmerica_2022-07-05	accession
OP382486	hMPXV-IHU00009_WesternEurope_2022-07-07	accession
OP494264	MPXV/Germany/2022/ON/RKI375_WesternEurope_2022-09-01	accession
ON959135	MPXV_USA_2022_NY004_NorthAmerica_2022-05-25	accession
ON694342	MPXV/Germany/2022/RKI011_WesternEurope_2022-05-24	accession
ON959133	MPXV_USA_2022_NY002_NorthAmerica_2022-05-24	accession
ON694330	MPXV/Germany/2022/RKI019_WesternEurope_2022-05-25	accession
OP555644	Monkeypox/PT0573/2022_SouthernEurope_2022-09-06	accession
OP605553	Slovenia-MPXV-10-2022_CentralEurope_2022-07-01	accession
OP382493	hMPXV-IHU00016_WesternEurope_2022-07-22	accession
OP382492	hMPXV-IHU00015_WesternEurope_2022-07-22	accession
OP890530	MPXV/Human/USA/CA-LACPHL-MA00296/2022_NorthAmerica_2022-10-04	accession
OP959063	BOL-UNIMOL-MPX-293633-L_SouthAmerica_2022-11-15	accession
OP587263	MPXV/Human/USA/CA-CDPH-MPX000042/2022_NorthAmerica_2022-07-28	accession
OP959062	BOL-UNIMOL-MPX-293614-L_SouthAmerica_2022-11-11	accession
OP959064	BOL-UNIMOL-MPX-293772-L_SouthAmerica_2022-11-17	accession
OP819960	SAN_INS_MPX_0973_L_SouthAmerica_2022-10-17	accession
OP743990	MpxV/human/USA/WA-UW-098408/2022_NorthAmerica_2022-09-12	accession
OP743974	MpxV/human/USA/WA-UW-092407/2022_NorthAmerica_2022-09-11	accession
OP743993	MpxV/human/USA/WA-UW-094603/2022_NorthAmerica_2022-09-13	accession
OP747058	MpxV/human/USA/WA-UW-109000/2022_NorthAmerica_2022-10-01	accession
OP580598	hMPX/USA/CA-LACPHL-MA00165/2022_NorthAmerica_2022-08-01	accession
ON694335	MPXV/Germany/2022/RKI018_WesternEurope_2022-05-31	accession
OP693654	DC_INS_MPX_0722_L_SouthAmerica_2022-08-23	accession
OP324453	Monkeypox/PT0129/2022_SouthernEurope_2022-07-12	accession
OP390175	BOL-UNIMOL-MPX-292803-L_SouthAmerica_2022-08-02	accession
OP623591	BOL-UNIMOL-MPX-293136-L_SouthAmerica_2022-09-06	accession
OP623589	BOL-UNIMOL-MPX-293064-O_SouthAmerica_2022-08-30	accession
OP623590	BOL-UNIMOL-MPX-293130-L_SouthAmerica_2022-09-03	accession
OP959066	CES-UNIMOL-MPX-202203848-L_SouthAmerica_2022-09-14	accession
OP819950	MET_INS_MPX_0956_C_SouthAmerica_2022-10-12	accession
OP019277	hMPXV/Austria/MUW1531254/2022_WesternEurope_2022-07-04	accession
OP013010	MpxV/human/CAN/UN-NML-3607/2022_NorthAmerica_2022-06-09	accession
