	accession	date	region_coarse	strain
0	ON838940	2022-05-20	Southern Europe	4061
1	ON838939	2022-06-06	Southern Europe	8887
2	OP413717	2022-08-01	Western Europe	9000353
3	OP536751	2022-08-01	Western Europe	9000370
4	OP536754	2022-08-01	Western Europe	9000374
5	OP536758	2022-08-01	Western Europe	9000378
6	OP536764	2022-09-08	Western Europe	9000385
7	OP536768	2022-08-01	Western Europe	9000390
8	OP536773	2022-08-01	Western Europe	9000395
9	OP536774	2022-09-03	Western Europe	9000396
10	OP536776	2022-09-01	Western Europe	9000398
11	OP536777	2022-09-01	Western Europe	9000399
12	OP536779	2022-09-24	Western Europe	9000403
13	OP536781	2022-09-17	Western Europe	9000405
14	OP536782	2022-09-17	Western Europe	9000406
15	OP536783	2022-09-30	Western Europe	9000407
16	OP536784	2022-09-01	Western Europe	9000408
17	OP536795	2022-08-01	Western Europe	9000421
18	OP536801	2022-09-11	Western Europe	9000429
19	OP536802	2022-09-01	Western Europe	9000430
20	OP536803	2022-09-01	Western Europe	9000431
21	OP536804	2022-09-01	Western Europe	9000432
22	OP536807	2022-09-30	Western Europe	9000438
23	OP536811	2022-09-01	Western Europe	9000448
24	ON676708	2021-11-24	North America	MPXV_USA_2021_MD
25	OP382483	2022-07-04	Western Europe	hMPXV-IHU00006
26	OP215204	2022-08-01	Western Europe	MPXV/Germany/2022/RKI188
27	OP727820	2022-07-29	Western Europe	PEV_case
28	OP693649	2022-07-29	South America	ANT_INS_MPX_0039_L
29	ON644344	2022-05-25	Southern Europe	MPXV_FVG-ITA_01_2022
30	ON843173	2022-05-27	Southern Europe	Monkeypox/PT0029/2022
31	ON622712	2022-05-19	Western Europe	MPX/UZ_REGA_1/Belgium/2022
32	OP605580	2022-08-01	Central Europe	Slovenia-MPXV-39-2022
33	OP019275	2022-06-10	Western Europe	hMPXV/Austria/MUW1525179/2022
34	ON808416	2022-05-15	Western Europe	CVR_MPXV1d
35	OP689665	2022-10-01	Western Europe	MPXV/Germany/2022/ON/RKI512
36	OP382478	2022-06-13	Western Europe	hMPXV-IHU00001
37	OP324543	2022-06-21	Southern Europe	Monkeypox/PT0235/2022
38	OP324514	2022-06-23	Southern Europe	Monkeypox/PT0203/2022
39	OP414355	2022-06-04	Southern Europe	Monkeypox/PT0323/2022
40	ON954773	2022-05-15	North America	MPXV_USA_2022_CA002
41	ON622713	2022-05-22	Western Europe	MPX/UZ_REGA_2/Belgium/2022
42	ON645312	2022-05-11	Western Europe	MPXV_GSTT_Patient1
43	OP642382	2022-09-09	South America	ANT-LDSP-ANT-MPX-24812-L
44	OP415191	2022-07-01	Western Europe	MPX_IMt4nT_9000212
45	OP205068	2022-06-05	Western Europe	MPXV_UK_2022_9000062
46	OP414336	2022-06-07	Southern Europe	Monkeypox/PT0302/2022
47	OP414379	2022-05-24	Southern Europe	Monkeypox/PT0350/2022
48	OP414305	2022-06-17	Southern Europe	Monkeypox/PT0265/2022
49	OP382484	2022-07-06	Western Europe	hMPXV-IHU00007
