	accession	date	region_coarse	strain
50	OP689656	2022-08-01	Western Europe	MPXV/Germany/2022/ON/RKI503
51	OP133006	2022-07-06	Western Europe	hMPXV/Austria/MUW1532243/2022
52	OP626113	2022-07-01	Western Europe	MPXV/Germany/2022/RKI475
53	ON694341	2022-05-01	Western Europe	MPXV/Germany/2022/RKI012
54	OP205104	2022-07-06	Western Europe	MPXV_UK_2022_9000140
55	OP205102	2022-07-07	Western Europe	MPXV_UK_2022_9000137
56	OP303794	2022-06-01	North America	MPXV_USA_2022_NY0023
57	OP539889	2022-08-11	North America	MPX/Human/USA/CA-LACPHL-MA00104/2022
58	ON682266	2022-05-01	Western Europe	MPXV/Germany/2022/RKI09
59	ON880422	2022-05-27	Western Europe	MPX/UZ_REGA_6/Belgium/2022
60	ON649725	2022-05-23	Southern Europe	Monkeypox/PT0011/2022
61	ON983166	2022-06-15	North America	MpxV/human/CAN/UN-NML-3702/2022
62	ON803437	2022-05-20	North America	MpxV/human/CAN/UN-NML-2896/2022
63	ON808414	2022-05-15	Western Europe	CVR_MPXV1b
64	OP382482	2022-07-04	Western Europe	hMPXV-IHU00005
65	OP382480	2022-07-04	Western Europe	hMPXV-IHU00003
66	OP018597	2022-07-01	Western Europe	MPXV/Germany/2022/RKI172
67	OP415195	2022-03-28	Western Europe	MPX_96X1Vd_9000217
68	OP205114	2022-05-16	Western Europe	MPXV_UK_2022_9000152
69	ON880419	2022-05-27	Western Europe	MPX/UZ_REGA_3/Belgium/2022
70	OP689666	2022-06-01	Western Europe	MPXV/Germany/2022/RKI513
71	ON880508	2022-05-30	North America	MpxV/human/CAN/UN-NML-3127/2022
72	ON959131	2022-05-01	North America	MPXV_USA_2022_IL001
73	ON755040	2022-05-20	Western Europe	MPXV_IRBA22-14
74	OP205139	2022-05-25	Western Europe	MPXV_UK_2022_9000090
75	ON880420	2022-05-27	Western Europe	MPX/UZ_REGA_4/Belgium/2022
76	ON676703	2022-05-01	North America	MPXV_USA_2022_CA001
77	ON649719	2022-05-23	Southern Europe	Monkeypox/PT0012/2022
78	ON853654	2022-06-01	Western Europe	MPXV/Germany/2022/RKI087
79	ON880516	2022-06-02	North America	MpxV/human/CAN/UN-NML-3472/2022
80	ON808417	2022-05-15	Western Europe	CVR_MPXV1e
81	ON880421	2022-05-27	Western Europe	MPX/UZ_REGA_5/Belgium/2022
82	ON627808	2022-05-20	North America	MPX/human/USA/UT-UPHL-82200022/2022
83	OP920692	2022-10-16	North America	MPXV/Human/USA/CA-LACPHL-MA00354/2022
84	OP920696	2022-11-05	North America	MPXV/Human/USA/CA-LACPHL-MA00358/2022
85	OP295383	2022-07-29	South America	INS-MPXV-0016-H1
86	OP390199	2022-07-14	Western Europe	hMpxV/UK/LMO-034a/2022
87	OP257261	2022-08-01	North America	MpxV/human/USA/WA-UW-084325/2022
88	ON676704	2022-05-15	North America	MPXV_USA_2022_FL002
89	ON808415	2022-05-15	Western Europe	CVR_MPXV1c
90	OP605559	2022-07-01	Central Europe	Slovenia-MPXV-17-2022
91	OP390197	2022-07-11	Western Europe	hMpxV/UK/LMO-032a/2022
92	ON959174	2022-07-01	Western Europe	MPXV/Germany/2022/RKI161
93	OP536683	2022-06-01	North America	MPXV-USA-IL-IDPH-022
94	OP555536	2022-08-04	Southern Europe	Monkeypox/PT0455/2022
95	OP414349	2022-06-06	Southern Europe	Monkeypox/PT0317/2022
96	OP390202	2022-07-17	Western Europe	hMpxV/UK/LMO-040a/2022
97	OP245336	2022-07-21	Southern Europe	MPX/PT0085/2022
98	ON676705	2022-05-01	North America	MPXV_USA_2022_UT001
99	OP555494	2022-07-15	Southern Europe	Monkeypox/PT0398/2022
100	OP245343	2022-07-18	Southern Europe	MPX/PT0109/2022
101	OP605584	2022-08-01	Central Europe	Slovenia-MPXV-43-2022
102	OP715829	2022-06-01	Western Europe	MPXV/Germany/2022/RKI549
103	OP727823	2022-10-09	Western Europe	PrEV_case_4
104	ON880536	2022-05-31	North America	MpxV/human/CAN/UN-NML-3272/2022
105	OP536727	2022-06-28	North America	MPXV-USA-IL-IDPH-066
106	OP382494	2022-07-22	Western Europe	hMPXV-IHU00017
107	OX336004	2022-08-26	Central Europe	RNA
108	OP324460	2022-07-11	Southern Europe	Monkeypox/PT0139/2022
109	OP382491	2022-07-22	Western Europe	hMPXV-IHU00014
110	OP414363	2022-05-27	Southern Europe	Monkeypox/PT0332/2022
111	OP415275	2022-08-01	Western Europe	MPX_o3VuSh_9000348
112	OP555530	2022-08-03	Southern Europe	Monkeypox/PT0449/2022
113	OP414348	2022-06-03	Southern Europe	Monkeypox/PT0315/2022
114	OP382490	2022-07-20	Western Europe	hMPXV-IHU00013
115	OP062230	2022-06-22	North America	MpxV/human/CAN/UN-NML-3864/2022
116	ON880524	2022-05-26	North America	MpxV/human/CAN/UN-NML-3080/2022
117	ON880542	2022-05-31	North America	MpxV/human/CAN/UN-NML-3348/2022
118	OP205105	2022-06-15	Western Europe	MPXV_UK_2022_9000142
119	ON843177	2022-06-02	Southern Europe	Monkeypox/PT0047/2022
120	OP555657	2022-08-24	Southern Europe	Monkeypox/PT0589/2022
121	ON682269	2022-05-01	Western Europe	MPXV/Germany/2022/RKI07
122	OP415226	2022-08-01	Western Europe	MPX_k9tr7U_9000256
123	ON682270	2022-05-01	Western Europe	MPXV/Germany/2022/RKI06
124	OP205075	2022-06-11	Western Europe	MPXV_UK_2022_9000069
125	OP743969	2022-09-30	North America	MpxV/human/USA/WA-UW-099881/2022
126	OP722515	2022-07-13	North America	MPX/Human/USA/CA-LACPHL-MA00256/2022
127	OP422245	2022-05-30	Western Europe	hMPXV-CH-38212023/2022
128	ON614676	2022-05-18	Southern Europe	INMI-Pt1
129	OP555647	2022-09-05	Southern Europe	Monkeypox/PT0576/2022
130	OP415194	2022-03-28	Western Europe	MPX_96X1Vd_9000216
131	OP920688	2022-10-11	North America	MPXV/Human/USA/CA-LACPHL-MA00350/2022
132	OP628440	2022-08-01	North America	MpxV/human/USA/WA-UW-080994/2022
133	OP890532	2022-09-30	North America	MPXV/Human/USA/CA-LACPHL-MA00298/2022
134	OP743357	2022-05-21	North America	MPXV/Human/USA/UT-UPHL-82200022/2022
135	ON780016	2022-05-19	Southern Europe	INMI-Pt3
136	OP642390	2022-09-06	South America	ANT-LDSP-ANT-MPX-24387-C
137	OP324527	2022-06-23	Southern Europe	Monkeypox/PT0217/2022
138	OP062232	2022-06-27	North America	MpxV/human/CAN/UN-NML-3909/2022
139	ON745225	2022-05-27	Southern Europe	MpxV/Spain/MD-HGUGM-66649483/2022
140	OP605558	2022-07-01	Central Europe	Slovenia-MPXV-16-2022
141	OP587248	2022-07-08	North America	MPXV/Human/USA/CA-CDPH-MPX000019/2022
142	OP324465	2022-07-07	Southern Europe	Monkeypox/PT0148/2022
143	OP597780	2022-06-29	North America	MN-MDH-MPXV_0006
144	ON619836	2022-05-15	Western Europe	MPXV_UK_2022_2
145	ON676706	2022-05-01	North America	MPXV_USA_2022_UT002
146	OP382487	2022-07-18	Western Europe	hMPXV-IHU00010
147	OP580155	2022-06-21	North America	MPXV/Human/USA/CA-CDPH-MPX000007/2022
148	OP555656	2022-08-16	Southern Europe	Monkeypox/PT0588/2022
149	ON803425	2022-05-19	North America	MpxV/human/CAN/UN-NML-2853/2022
150	OP451004	2022-06-01	North America	MPXV_USA_2022_MN0005
151	OP837355	2022-10-01	Western Europe	MPXV/Germany/2022/RKI593
152	ON880527	2022-05-27	North America	MpxV/human/CAN/UN-NML-3141/2022
153	OP245306	2022-08-01	Southern Europe	MPX/PT0049/2022
154	OP605582	2022-08-01	Central Europe	Slovenia-MPXV-41-2022
155	OP605569	2022-07-01	Central Europe	Slovenia-MPXV-27-2022
156	ON622720	2022-05-24	Western Europe	MPXV-CH-38156923/2022
157	OP587250	2022-07-07	North America	MPXV/Human/USA/CA-CDPH-MPX000021/2022
158	OP415263	2022-08-01	Western Europe	MPX_1bN2W6_9000324
159	OP185715	2022-05-01	North America	MPXV_USA_2022_CO0002
160	ON880541	2022-06-01	North America	MpxV/human/CAN/UN-NML-3344/2022
161	ON649712	2022-05-19	Southern Europe	Monkeypox/PT0025/2022
162	ON745215	2022-05-19	Southern Europe	INMI-Pt2
163	OP414371	2022-05-26	Southern Europe	Monkeypox/PT0342/2022
164	ON682263	2022-05-01	Western Europe	MPXV/Germany/2022/RKI03
165	ON631241	2022-05-24	Central Europe	2022/2 SLO
166	OP605571	2022-07-01	Central Europe	Slovenia-MPXV-29-2022
167	OP594208	2022-09-01	Western Europe	MPXV/Germany/2022/RKI444
168	OP594189	2022-09-01	Western Europe	MPXV/Germany/2022/RKI425
169	OP414373	2022-05-25	Southern Europe	Monkeypox/PT0344/2022
170	OP415196	2022-03-28	Western Europe	MPX_96X1Vd_9000218
171	OP215227	2022-08-01	Western Europe	MPXV/Germany/2022/RKI242
172	OP615323	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI447
173	ON803440	2022-05-22	North America	MpxV/human/CAN/UN-NML-2954/2022
174	OP696841	2022-07-01	Western Europe	MPXV/Germany/2022/RKI338
175	OP605567	2022-07-01	Central Europe	Slovenia-MPXV-25-2022
176	ON755247	2022-06-07	Western Europe	MPXV/Germany/2022/RKI041
177	OP536675	2022-07-05	North America	MPXV-USA-IL-IDPH-014
178	OP605575	2022-07-01	Central Europe	Slovenia-MPXV-33-2022
179	ON959134	2022-05-01	North America	MPXV_USA_2022_NY003
180	ON619838	2022-05-15	Western Europe	MPXV_UK_2022_4
181	OX261748	2022-07-13	Central Europe	RNA_vsay6o
182	OP605565	2022-07-01	Central Europe	Slovenia-MPXV-23-2022
183	OP205124	2022-05-26	Western Europe	MPXV_UK_2022_9000173
184	ON843182	2022-05-30	Southern Europe	Monkeypox/PT0044/2022
185	OP743358	2022-05-21	North America	MPXV/Human/USA/UT-UPHL-82200023/2022
186	ON682264	2022-05-01	Western Europe	MPXV/Germany/2022/RKI05
187	OP414369	2022-05-26	Southern Europe	Monkeypox/PT0340/2022
188	ON880543	2022-06-02	North America	MpxV/human/CAN/UN-NML-3357/2022
189	OP310062	2022-08-01	North America	MpxV/human/USA/WA-UW-089836/2022
190	ON843168	2022-05-26	Southern Europe	Monkeypox/PT0032/2022
191	ON803419	2022-05-14	North America	MpxV/human/CAN/UN-NML-2844/2022
192	ON595760	2022-05-19	Western Europe	MPXV-CH-38134631/2022
193	OP605566	2022-07-01	Central Europe	Slovenia-MPXV-24-2022
194	OP605554	2022-07-01	Central Europe	Slovenia-MPXV-11-2022
195	OP245353	2022-07-13	Southern Europe	MPX/PT0120/2022
196	OX297403	2022-08-09	Central Europe	RNA_6f81vv
197	OX261749	2022-07-20	Central Europe	RNA_pyesyu
198	OP414370	2022-05-27	Southern Europe	Monkeypox/PT0341/2022
199	ON585036	2022-05-15	Southern Europe	Monkeypox/PT0010/2022
200	OP689663	2022-10-01	Western Europe	MPXV/Germany/2022/ON/RKI510
201	OP215237	2022-08-01	Western Europe	MPXV/Germany/2022/RKI195
202	OP422343	2022-08-08	Western Europe	hMPXV/Austria/MUW1540386/2022
203	OP422340	2022-07-13	Western Europe	hMPXV/Austria/MUW1533948/2022
204	OP215206	2022-08-01	Western Europe	MPXV/Germany/2022/RKI243
205	ON927243	2022-06-21	Southern Europe	MpxV/Spain/MD-HGUGM-6642566/2022
206	OP414341	2022-06-07	Southern Europe	Monkeypox/PT0307/2022
207	OP414285	2022-06-21	Southern Europe	Monkeypox/PT0241/2022
208	OP680496	2022-10-05	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00218/2022
209	OP680489	2022-09-30	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00211/2022
210	OP748950	2022-09-07	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00264/2022
211	OP580156	2022-06-30	North America	MPXV/Human/USA/CA-CDPH-MPX000009/2022
212	OP555658	2022-09-13	Southern Europe	Monkeypox/PT0591/2022
213	OP324459	2022-07-10	Southern Europe	Monkeypox/PT0136/2022
214	OP615327	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI450
215	OP494263	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI316
216	OP555660	2022-09-14	Southern Europe	Monkeypox/PT0593/2022
217	OP484688	2022-09-30	Western Europe	MPXV/Germany/2022/RKI367
218	OP605574	2022-07-25	Central Europe	Slovenia-MPXV-32-2022
219	OP605563	2022-07-25	Central Europe	Slovenia-MPXV-21-2022
220	OP133004	2022-07-11	Western Europe	hMPXV/Austria/MUW1533374/2022
221	OP133005	2022-07-05	Western Europe	hMPXV/Austria/MUW1531848/2022
222	OP837354	2022-10-01	Western Europe	MPXV/Germany/2022/RKI592
223	OP764629	2022-10-01	Western Europe	MPXV/Germany/2022/RKI571
224	OP594194	2022-09-01	Western Europe	MPXV/Germany/2022/RKI430
225	OP215282	2022-08-24	Western Europe	MPXV/Germany/2022/RKI263
226	OP555513	2022-07-31	Southern Europe	Monkeypox/PT0426/2022
227	OP555469	2022-07-05	Southern Europe	Monkeypox/PT0373/2022
228	OX291435	2022-07-25	Central Europe	RNA_613pzg
229	OX291424	2022-07-25	Central Europe	RNA_4137vi
230	OX336038	2022-08-31	Central Europe	RNA_3mjv89
231	OX291694	2022-08-01	Central Europe	RNA_1zagge
232	OP555646	2022-09-06	Southern Europe	Monkeypox/PT0575/2022
233	OP555642	2022-09-05	Southern Europe	Monkeypox/PT0571/2022
234	OP555636	2022-09-05	Southern Europe	Monkeypox/PT0565/2022
235	OP615325	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI449
236	OX291780	2022-07-25	Central Europe	RNA_3es490
237	OX291676	2022-08-01	Central Europe	RNA_19d8oi
238	OP414309	2022-06-15	Southern Europe	Monkeypox/PT0269/2022
239	OP324466	2022-07-06	Southern Europe	Monkeypox/PT0149/2022
240	OP324486	2022-07-02	Southern Europe	Monkeypox/PT0171/2022
241	OP820455	2022-08-08	North America	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022
242	OP536720	2022-07-06	North America	MPXV-USA-IL-IDPH-059
243	OP270476	2022-08-31	Western Europe	MPXV/Germany/2022/RKI287
244	OP687938	2022-08-01	North America	MPXV_USA_2022_NJ0005
245	OP414353	2022-06-04	Southern Europe	Monkeypox/PT0321/2022
246	ON585038	2022-05-15	Southern Europe	Monkeypox/PT0008/2022
247	OP339855	2022-08-31	Western Europe	MPXV/Germany/2022/RKI298
248	OP837344	2022-06-15	Western Europe	MPXV/Germany/2022/RKI582
249	ON853670	2022-06-25	Western Europe	MPXV/Germany/2022/RKI090
250	OP133007	2022-07-22	Western Europe	hMPXV/Austria/MUW1536480/2022
251	OP555613	2022-08-23	Southern Europe	Monkeypox/PT0542/2022
252	OP555584	2022-08-16	Southern Europe	Monkeypox/PT0512/2022
253	ON619837	2022-05-04	Western Europe	MPXV_UK_2022_3
254	OP013002	2022-05-29	North America	MpxV/human/CAN/UN-NML-3164/2022
255	OP013001	2022-05-14	North America	MpxV/human/CAN/UN-NML-2831/2022
256	OP743984	2022-09-01	North America	MpxV/human/USA/WA-UW-090134/2022
257	OP628472	2022-08-01	North America	MpxV/human/USA/WA-UW-087291/2022
258	OP747062	2022-10-01	North America	MpxV/human/USA/WA-UW-106624/2022
259	OP743976	2022-09-17	North America	MpxV/human/USA/WA-UW-096136/2022
260	OP394229	2022-05-14	Western Europe	9000220_NCPV_1703
261	OP415267	2022-08-01	Western Europe	MPX_rYdyAi_9000329
262	OP415212	2022-07-30	Western Europe	MPX_UbfBKN_9000238
263	OP626118	2022-07-01	Western Europe	MPXV/Germany/2022/RKI480
264	OP837334	2022-06-30	Western Europe	MPXV/Germany/2022/RKI572
265	OP215284	2022-08-01	Western Europe	MPXV/Germany/2022/RKI265
266	OP215231	2022-08-01	Western Europe	MPXV/Germany/2022/RKI189
267	OP890552	2022-10-06	North America	MPXV/Human/USA/CA-LACPHL-MA00294/2022
268	OP819952	2022-10-13	South America	VAC_INS_MPX_0958_L
269	OP837471	2022-10-25	South America	VAC_INS_MPX_1052_E
270	OP819956	2022-10-12	South America	VAC_INS_MPX_0965_EL
271	OP819957	2022-10-12	South America	VAC_INS_MPX_0965_HL
272	OP722494	2022-07-13	North America	MPX/Human/USA/CA-LACPHL-MA00235/2022
273	OP303797	2022-06-25	North America	MPXV_USA_2022_VA0003
274	OP743360	2022-07-08	North America	MPXV/Human/USA/UT-UPHL-82200060/2024
275	OP378710	2022-06-25	North America	MPXV_USA_2022_VA0007
276	OP378711	2022-06-25	North America	MPXV_USA_2022_VA0008
277	OP920684	2022-10-05	North America	MPXV/Human/USA/CA-LACPHL-MA00346/2022
278	OP555512	2022-08-01	Southern Europe	Monkeypox/PT0424/2022
279	OP555520	2022-08-02	Southern Europe	Monkeypox/PT0435/2022
280	OP555645	2022-09-06	Southern Europe	Monkeypox/PT0574/2022
281	OP555605	2022-08-23	Southern Europe	Monkeypox/PT0534/2022
282	OP144215	2022-05-30	Western Europe	MPXV/ITM_pt_05/Belgium/30-May-2022
283	OP144213	2022-06-16	Western Europe	MPXV/ITM_pt_24/Belgium/16-Jun-2022
284	OP144216	2022-05-30	Western Europe	MPXV/ITM_pt_07/Belgium/30-May-2022
285	OP144217	2022-06-02	Western Europe	MPXV/ITM_pt_09/Belgium/2-Jun-2022
286	OP144211	2022-06-01	Western Europe	MPXV/ITM_pt_10/Belgium/1-Jun-2022
287	ON720849	2022-05-27	Southern Europe	MpxV/Spain/MD-HGUGM-6532064/2022
288	ON622718	2022-05-20	Southern Europe	MPXV/ES0001/HUGTiP/2022
289	OP390194	2022-07-01	Western Europe	hMpxV/UK/LMO-026a/2022
290	OP215232	2022-08-01	Western Europe	MPXV/Germany/2022/RKI190
291	OP484679	2022-09-01	Western Europe	MPXV/Germany/2022/RKI358
292	ON929089	2022-07-01	Western Europe	MPXV/Germany/2022/RKI134
293	OP879758	2022-07-21	North America	NJ-MPXV-044
294	OP378701	2022-06-13	North America	MPXV_USA_2022_NY0028
295	OP270022	2022-07-04	North America	MpxV/human/CAN/UN-NML-3972/2022
296	OP382485	2022-07-05	Western Europe	hMPXV-IHU00008
297	OP303792	2022-07-01	North America	MPXV_USA_2022_NE0002
298	OP303791	2022-06-16	North America	MPXV_USA_2022_NE0001
299	ON780017	2022-05-21	Southern Europe	INMI-Pt4
300	OP150925	2022-05-21	North America	MPXV_USA_2022_GA001
301	OP783902	2022-06-08	Western Europe	hMPXV-CH-38347314/2022
302	ON792322	2022-06-02	Western Europe	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022
303	OP555650	2022-09-10	Southern Europe	Monkeypox/PT0579/2022
304	OP358276	2022-08-09	Southern Europe	SIC-AOUP-UNIPA_VL_9aug
305	ON959149	2022-07-31	Western Europe	MPXV/Germany/2022/RKI140
306	OP863229	2022-10-07	North America	hMpxV/USA/CA-CDPH-000055/2022
307	OP422341	2022-08-01	Western Europe	hMPXV/Austria/MUW1538395/2022
308	OP422342	2022-08-02	Western Europe	hMPXV/Austria/MUW1539124/2022
309	OP555651	2022-09-09	Southern Europe	Monkeypox/PT0580/2022
310	OP555638	2022-09-03	Southern Europe	Monkeypox/PT0567/2022
311	OP555649	2022-09-12	Southern Europe	Monkeypox/PT0578/2022
312	OP555639	2022-09-02	Southern Europe	Monkeypox/PT0568/2022
313	OP459211	2022-08-29	South America	ANT-LDSP-ANT-MPX-23596-O
314	OP390195	2022-07-07	Western Europe	hMpxV/UK/LMO-029a/2022
315	OP819959	2022-10-11	South America	SAN_INS_MPX_0971_L
316	OP693651	2022-08-23	South America	CUN_INS_MPX_0649_C
317	OP693647	2022-08-08	South America	DC_INS_MPX_0082_L
318	OP819953	2022-10-15	South America	VAC_INS_MPX_0960_L
319	OP837470	2022-10-26	South America	VAC_INS_MPX_1050_E
320	OP819951	2022-10-15	South America	VAC_INS_MPX_0957_HO
321	ON755039	2022-05-19	Western Europe	MPXV_IRBA22-11
322	OP838893	2022-06-21	Southern Europe	ID6821
323	OP382481	2022-07-04	Western Europe	hMPXV-IHU00004
324	OP270026	2022-07-05	North America	MpxV/human/CAN/UN-NML-4017/2022
325	OP382486	2022-07-07	Western Europe	hMPXV-IHU00009
326	OP494264	2022-09-01	Western Europe	MPXV/Germany/2022/ON/RKI375
327	ON959135	2022-05-25	North America	MPXV_USA_2022_NY004
328	ON694342	2022-05-24	Western Europe	MPXV/Germany/2022/RKI011
329	ON959133	2022-05-24	North America	MPXV_USA_2022_NY002
330	ON694330	2022-05-25	Western Europe	MPXV/Germany/2022/RKI019
331	OP555644	2022-09-06	Southern Europe	Monkeypox/PT0573/2022
332	OP605553	2022-07-01	Central Europe	Slovenia-MPXV-10-2022
333	OP382493	2022-07-22	Western Europe	hMPXV-IHU00016
334	OP382492	2022-07-22	Western Europe	hMPXV-IHU00015
335	OP890530	2022-10-04	North America	MPXV/Human/USA/CA-LACPHL-MA00296/2022
336	OP959063	2022-11-15	South America	BOL-UNIMOL-MPX-293633-L
337	OP587263	2022-07-28	North America	MPXV/Human/USA/CA-CDPH-MPX000042/2022
338	OP959062	2022-11-11	South America	BOL-UNIMOL-MPX-293614-L
339	OP959064	2022-11-17	South America	BOL-UNIMOL-MPX-293772-L
340	OP819960	2022-10-17	South America	SAN_INS_MPX_0973_L
341	OP743990	2022-09-12	North America	MpxV/human/USA/WA-UW-098408/2022
342	OP743974	2022-09-11	North America	MpxV/human/USA/WA-UW-092407/2022
343	OP743993	2022-09-13	North America	MpxV/human/USA/WA-UW-094603/2022
344	OP747058	2022-10-01	North America	MpxV/human/USA/WA-UW-109000/2022
345	OP580598	2022-08-01	North America	hMPX/USA/CA-LACPHL-MA00165/2022
346	ON694335	2022-05-31	Western Europe	MPXV/Germany/2022/RKI018
347	OP693654	2022-08-23	South America	DC_INS_MPX_0722_L
348	OP324453	2022-07-12	Southern Europe	Monkeypox/PT0129/2022
349	OP390175	2022-08-02	South America	BOL-UNIMOL-MPX-292803-L
350	OP623591	2022-09-06	South America	BOL-UNIMOL-MPX-293136-L
351	OP623589	2022-08-30	South America	BOL-UNIMOL-MPX-293064-O
352	OP623590	2022-09-03	South America	BOL-UNIMOL-MPX-293130-L
353	OP959066	2022-09-14	South America	CES-UNIMOL-MPX-202203848-L
354	OP819950	2022-10-12	South America	MET_INS_MPX_0956_C
355	OP019277	2022-07-04	Western Europe	hMPXV/Austria/MUW1531254/2022
356	OP013010	2022-06-09	North America	MpxV/human/CAN/UN-NML-3607/2022
357	OP062231	2022-06-27	North America	MpxV/human/CAN/UN-NML-3907/2022
358	ON880549	2022-06-03	North America	MpxV/human/CAN/UN-NML-3450/2022
359	OP013006	2022-06-07	North America	MpxV/human/CAN/UN-NML-3542/2022
360	OP062229	2022-06-16	North America	MpxV/human/CAN/UN-NML-3817/2022
361	OP279046	2022-07-05	North America	MpxV/human/CAN/UN-NML-4150/2022
362	OP270025	2022-07-05	North America	MpxV/human/CAN/UN-NML-4014/2022
363	OP270023	2022-07-04	North America	MpxV/human/CAN/UN-NML-3975/2022
364	OP270021	2022-07-04	North America	MpxV/human/CAN/UN-NML-3971/2022
365	OP226139	2022-07-11	North America	MpxV/human/CAN/UN-NML-4050/2022
366	OP442539	2022-08-05	North America	hMPX/Human/USA/CA-LACPHL-MA00078/2022
367	OP890563	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00335/2022
368	OP890564	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00336/2022
369	OP890569	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00312/2022
370	OP890561	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00333/2022
371	OP890572	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00315/2022
372	OP890554	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00326/2022
373	OP748945	2022-10-13	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00259/2022
374	OP890555	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00327/2022
375	OP890575	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00318/2022
376	OP890560	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00332/2022
377	OP890576	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00319/2022
378	OP890565	2022-11-09	North America	MPXV/Human/USA/CA-LACPHL-MA00308/2022
379	OP819947	2022-10-14	South America	CUN_INS_MPX_0951_C
380	OP642385	2022-09-09	South America	ANT-LDSP-ANT-MPX-24910-O
381	OP320553	2022-07-08	South America	LIM-INS-013
382	OP289782	2022-06-25	South America	LIM-INS-001
383	OP320554	2022-07-09	South America	LIM-INS-016
384	OP320549	2022-07-02	South America	LIM-INS-010
385	OP837476	2022-09-20	South America	DC_INS_MPX_0984_L
