strain_region_coarse_date	accession	date	region_coarse	strain
4061_SouthernEurope_2022-05-20	ON838940	2022-05-20	Southern Europe	4061
8887_SouthernEurope_2022-06-06	ON838939	2022-06-06	Southern Europe	8887
9000353_WesternEurope_2022-08-01	OP413717	2022-08-01	Western Europe	9000353
9000370_WesternEurope_2022-08-01	OP536751	2022-08-01	Western Europe	9000370
9000374_WesternEurope_2022-08-01	OP536754	2022-08-01	Western Europe	9000374
9000378_WesternEurope_2022-08-01	OP536758	2022-08-01	Western Europe	9000378
9000385_WesternEurope_2022-09-08	OP536764	2022-09-08	Western Europe	9000385
9000390_WesternEurope_2022-08-01	OP536768	2022-08-01	Western Europe	9000390
9000395_WesternEurope_2022-08-01	OP536773	2022-08-01	Western Europe	9000395
9000396_WesternEurope_2022-09-03	OP536774	2022-09-03	Western Europe	9000396
9000398_WesternEurope_2022-09-01	OP536776	2022-09-01	Western Europe	9000398
9000399_WesternEurope_2022-09-01	OP536777	2022-09-01	Western Europe	9000399
9000403_WesternEurope_2022-09-24	OP536779	2022-09-24	Western Europe	9000403
9000405_WesternEurope_2022-09-17	OP536781	2022-09-17	Western Europe	9000405
9000406_WesternEurope_2022-09-17	OP536782	2022-09-17	Western Europe	9000406
9000407_WesternEurope_2022-09-30	OP536783	2022-09-30	Western Europe	9000407
9000408_WesternEurope_2022-09-01	OP536784	2022-09-01	Western Europe	9000408
9000421_WesternEurope_2022-08-01	OP536795	2022-08-01	Western Europe	9000421
9000429_WesternEurope_2022-09-11	OP536801	2022-09-11	Western Europe	9000429
9000430_WesternEurope_2022-09-01	OP536802	2022-09-01	Western Europe	9000430
9000431_WesternEurope_2022-09-01	OP536803	2022-09-01	Western Europe	9000431
9000432_WesternEurope_2022-09-01	OP536804	2022-09-01	Western Europe	9000432
9000438_WesternEurope_2022-09-30	OP536807	2022-09-30	Western Europe	9000438
9000448_WesternEurope_2022-09-01	OP536811	2022-09-01	Western Europe	9000448
MPXV_USA_2021_MD_NorthAmerica_2021-11-24	ON676708	2021-11-24	North America	MPXV_USA_2021_MD
hMPXV-IHU00006_WesternEurope_2022-07-04	OP382483	2022-07-04	Western Europe	hMPXV-IHU00006
MPXV/Germany/2022/RKI188_WesternEurope_2022-08-01	OP215204	2022-08-01	Western Europe	MPXV/Germany/2022/RKI188
PEV_case_WesternEurope_2022-07-29	OP727820	2022-07-29	Western Europe	PEV_case
ANT_INS_MPX_0039_L_SouthAmerica_2022-07-29	OP693649	2022-07-29	South America	ANT_INS_MPX_0039_L
MPXV_FVG-ITA_01_2022_SouthernEurope_2022-05-25	ON644344	2022-05-25	Southern Europe	MPXV_FVG-ITA_01_2022
Monkeypox/PT0029/2022_SouthernEurope_2022-05-27	ON843173	2022-05-27	Southern Europe	Monkeypox/PT0029/2022
MPX/UZ_REGA_1/Belgium/2022_WesternEurope_2022-05-19	ON622712	2022-05-19	Western Europe	MPX/UZ_REGA_1/Belgium/2022
Slovenia-MPXV-39-2022_CentralEurope_2022-08-01	OP605580	2022-08-01	Central Europe	Slovenia-MPXV-39-2022
hMPXV/Austria/MUW1525179/2022_WesternEurope_2022-06-10	OP019275	2022-06-10	Western Europe	hMPXV/Austria/MUW1525179/2022
CVR_MPXV1d_WesternEurope_2022-05-15	ON808416	2022-05-15	Western Europe	CVR_MPXV1d
MPXV/Germany/2022/ON/RKI512_WesternEurope_2022-10-01	OP689665	2022-10-01	Western Europe	MPXV/Germany/2022/ON/RKI512
hMPXV-IHU00001_WesternEurope_2022-06-13	OP382478	2022-06-13	Western Europe	hMPXV-IHU00001
Monkeypox/PT0235/2022_SouthernEurope_2022-06-21	OP324543	2022-06-21	Southern Europe	Monkeypox/PT0235/2022
Monkeypox/PT0203/2022_SouthernEurope_2022-06-23	OP324514	2022-06-23	Southern Europe	Monkeypox/PT0203/2022
Monkeypox/PT0323/2022_SouthernEurope_2022-06-04	OP414355	2022-06-04	Southern Europe	Monkeypox/PT0323/2022
MPXV_USA_2022_CA002_NorthAmerica_2022-05-15	ON954773	2022-05-15	North America	MPXV_USA_2022_CA002
MPX/UZ_REGA_2/Belgium/2022_WesternEurope_2022-05-22	ON622713	2022-05-22	Western Europe	MPX/UZ_REGA_2/Belgium/2022
MPXV_GSTT_Patient1_WesternEurope_2022-05-11	ON645312	2022-05-11	Western Europe	MPXV_GSTT_Patient1
ANT-LDSP-ANT-MPX-24812-L_SouthAmerica_2022-09-09	OP642382	2022-09-09	South America	ANT-LDSP-ANT-MPX-24812-L
MPX_IMt4nT_9000212_WesternEurope_2022-07-01	OP415191	2022-07-01	Western Europe	MPX_IMt4nT_9000212
MPXV_UK_2022_9000062_WesternEurope_2022-06-05	OP205068	2022-06-05	Western Europe	MPXV_UK_2022_9000062
Monkeypox/PT0302/2022_SouthernEurope_2022-06-07	OP414336	2022-06-07	Southern Europe	Monkeypox/PT0302/2022
Monkeypox/PT0350/2022_SouthernEurope_2022-05-24	OP414379	2022-05-24	Southern Europe	Monkeypox/PT0350/2022
Monkeypox/PT0265/2022_SouthernEurope_2022-06-17	OP414305	2022-06-17	Southern Europe	Monkeypox/PT0265/2022
hMPXV-IHU00007_WesternEurope_2022-07-06	OP382484	2022-07-06	Western Europe	hMPXV-IHU00007
MPXV/Germany/2022/ON/RKI503_WesternEurope_2022-08-01	OP689656	2022-08-01	Western Europe	MPXV/Germany/2022/ON/RKI503
hMPXV/Austria/MUW1532243/2022_WesternEurope_2022-07-06	OP133006	2022-07-06	Western Europe	hMPXV/Austria/MUW1532243/2022
MPXV/Germany/2022/RKI475_WesternEurope_2022-07-01	OP626113	2022-07-01	Western Europe	MPXV/Germany/2022/RKI475
MPXV/Germany/2022/RKI012_WesternEurope_2022-05-01	ON694341	2022-05-01	Western Europe	MPXV/Germany/2022/RKI012
MPXV_UK_2022_9000140_WesternEurope_2022-07-06	OP205104	2022-07-06	Western Europe	MPXV_UK_2022_9000140
MPXV_UK_2022_9000137_WesternEurope_2022-07-07	OP205102	2022-07-07	Western Europe	MPXV_UK_2022_9000137
MPXV_USA_2022_NY0023_NorthAmerica_2022-06-01	OP303794	2022-06-01	North America	MPXV_USA_2022_NY0023
MPX/Human/USA/CA-LACPHL-MA00104/2022_NorthAmerica_2022-08-11	OP539889	2022-08-11	North America	MPX/Human/USA/CA-LACPHL-MA00104/2022
MPXV/Germany/2022/RKI09_WesternEurope_2022-05-01	ON682266	2022-05-01	Western Europe	MPXV/Germany/2022/RKI09
