strain_country_date	accession	date	region_coarse	country	strain
4061_Spain_2022-05-20	ON838940	2022-05-20	Southern Europe	Spain	4061
8887_Spain_2022-06-06	ON838939	2022-06-06	Southern Europe	Spain	8887
9000231_UnitedKingdom_2022-07-31	OP413713	2022-07-31	Western Europe	United Kingdom	9000231
9000289_UnitedKingdom_2022-08-01	OP413714	2022-08-01	Western Europe	United Kingdom	9000289
9000369_UnitedKingdom_2022-08-01	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
9000377_UnitedKingdom_2022-08-01	OP536757	2022-08-01	Western Europe	United Kingdom	9000377
9000382_UnitedKingdom_2022-08-01	OP536761	2022-08-01	Western Europe	United Kingdom	9000382
9000385_UnitedKingdom_2022-09-01	OP536764	2022-09-01	Western Europe	United Kingdom	9000385
9000387_UnitedKingdom_2022-08-17	OP536765	2022-08-17	Western Europe	United Kingdom	9000387
9000392_UnitedKingdom_2022-08-08	OP536770	2022-08-08	Western Europe	United Kingdom	9000392
9000393_UnitedKingdom_2022-08-09	OP536771	2022-08-09	Western Europe	United Kingdom	9000393
9000394_UnitedKingdom_2022-08-12	OP536772	2022-08-12	Western Europe	United Kingdom	9000394
9000396_UnitedKingdom_2022-09-01	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
9000398_UnitedKingdom_2022-09-01	OP536776	2022-09-01	Western Europe	United Kingdom	9000398
9000399_UnitedKingdom_2022-09-01	OP536777	2022-09-01	Western Europe	United Kingdom	9000399
9000400_UnitedKingdom_2022-09-01	OP536778	2022-09-01	Western Europe	United Kingdom	9000400
9000403_UnitedKingdom_2022-09-01	OP536779	2022-09-01	Western Europe	United Kingdom	9000403
9000405_UnitedKingdom_2022-09-02	OP536781	2022-09-02	Western Europe	United Kingdom	9000405
9000406_UnitedKingdom_2022-09-02	OP536782	2022-09-02	Western Europe	United Kingdom	9000406
9000407_UnitedKingdom_2022-09-30	OP536783	2022-09-30	Western Europe	United Kingdom	9000407
9000408_UnitedKingdom_2022-09-01	OP536784	2022-09-01	Western Europe	United Kingdom	9000408
9000409_UnitedKingdom_2022-09-01	OP536785	2022-09-01	Western Europe	United Kingdom	9000409
9000415_UnitedKingdom_2022-08-31	OP536789	2022-08-31	Western Europe	United Kingdom	9000415
9000417_UnitedKingdom_2022-08-31	OP536791	2022-08-31	Western Europe	United Kingdom	9000417
9000420_UnitedKingdom_2022-08-31	OP536794	2022-08-31	Western Europe	United Kingdom	9000420
9000424_UnitedKingdom_2022-08-01	OP536798	2022-08-01	Western Europe	United Kingdom	9000424
9000426_UnitedKingdom_2022-08-01	OP536800	2022-08-01	Western Europe	United Kingdom	9000426
9000429_UnitedKingdom_2022-09-01	OP536801	2022-09-01	Western Europe	United Kingdom	9000429
9000430_UnitedKingdom_2022-09-01	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
9000431_UnitedKingdom_2022-09-02	OP536803	2022-09-02	Western Europe	United Kingdom	9000431
9000432_UnitedKingdom_2022-09-01	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
9000435_UnitedKingdom_2022-07-24	OP536805	2022-07-24	Western Europe	United Kingdom	9000435
9000437_UnitedKingdom_2022-08-01	OP536806	2022-08-01	Western Europe	United Kingdom	9000437
9000438_UnitedKingdom_2022-09-30	OP536807	2022-09-30	Western Europe	United Kingdom	9000438
9000442_UnitedKingdom_2022-08-31	OP536808	2022-08-31	Western Europe	United Kingdom	9000442
9000445_UnitedKingdom_2022-08-01	OP536810	2022-08-01	Western Europe	United Kingdom	9000445
9000448_UnitedKingdom_2022-09-01	OP536811	2022-09-01	Western Europe	United Kingdom	9000448
9000451_UnitedKingdom_2022-09-01	OP536813	2022-09-01	Western Europe	United Kingdom	9000451
9000452_UnitedKingdom_2022-09-01	OP536814	2022-09-01	Western Europe	United Kingdom	9000452
9000453_UnitedKingdom_2022-09-01	OP536815	2022-09-01	Western Europe	United Kingdom	9000453
MPXV_USA_2021_MD_USA_2021-11-25	ON676708	2021-11-25	North America	USA	MPXV_USA_2021_MD
CIBU-220035_France_2022-06-08	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
CMIP-P0_France_2022-06-14	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
MPX/Human/USA/CA-LACPHL-MA00251/2022_USA_2022-07-20	OP722510	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00251/2022
Monkeypox/PT0421/2022_Portugal_2022-07-28	OP555511	2022-07-28	Southern Europe	Portugal	Monkeypox/PT0421/2022
hMPXV-IHU00010_France_2022-07-18	OP382487	2022-07-18	Western Europe	France	hMPXV-IHU00010
MPXV/Germany/2022/RKI150_Germany_2022-07-01	ON959164	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI150
MPXV/Germany/2022/ON/RKI512_Germany_2022-10-01	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
Monkeypox/PT0399/2022_Portugal_2022-07-18	OP555495	2022-07-18	Southern Europe	Portugal	Monkeypox/PT0399/2022
MPX/PT0118/2022_Portugal_2022-07-13	OP245351	2022-07-13	Southern Europe	Portugal	MPX/PT0118/2022
Monkeypox/PT0523/2022_Portugal_2022-08-17	OP555594	2022-08-17	Southern Europe	Portugal	Monkeypox/PT0523/2022
Monkeypox/PT0357/2022_Portugal_2022-06-21	OP414384	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0357/2022
MPXV/Human/USA/CA-CDPH-MPX000013/2022_USA_2022-06-30	OP587243	2022-06-30	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000013/2022
hMPXV/Austria/MUW1532243/2022_Austria_2022-07-06	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
CVR_MPXV1d_UnitedKingdom_2022-05-15	ON808416	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1d
MpxV/human/CAN/UN-NML-3530/2022_Canada_2022-06-03	ON983161	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3530/2022
