accession	strain_country_date
ON838940	4061_Spain_2022-05-20	accession
ON838939	8887_Spain_2022-06-06	accession
OP413713	9000231_UnitedKingdom_2022-07-31	accession
OP413714	9000289_UnitedKingdom_2022-08-01	accession
OP536750	9000369_UnitedKingdom_2022-08-01	accession
OP536757	9000377_UnitedKingdom_2022-08-01	accession
OP536761	9000382_UnitedKingdom_2022-08-01	accession
OP536764	9000385_UnitedKingdom_2022-09-01	accession
OP536765	9000387_UnitedKingdom_2022-08-17	accession
OP536770	9000392_UnitedKingdom_2022-08-08	accession
OP536771	9000393_UnitedKingdom_2022-08-09	accession
OP536772	9000394_UnitedKingdom_2022-08-12	accession
OP536774	9000396_UnitedKingdom_2022-09-01	accession
OP536776	9000398_UnitedKingdom_2022-09-01	accession
OP536777	9000399_UnitedKingdom_2022-09-01	accession
OP536778	9000400_UnitedKingdom_2022-09-01	accession
OP536779	9000403_UnitedKingdom_2022-09-01	accession
OP536781	9000405_UnitedKingdom_2022-09-02	accession
OP536782	9000406_UnitedKingdom_2022-09-02	accession
OP536783	9000407_UnitedKingdom_2022-09-30	accession
OP536784	9000408_UnitedKingdom_2022-09-01	accession
OP536785	9000409_UnitedKingdom_2022-09-01	accession
OP536789	9000415_UnitedKingdom_2022-08-31	accession
OP536791	9000417_UnitedKingdom_2022-08-31	accession
OP536794	9000420_UnitedKingdom_2022-08-31	accession
OP536798	9000424_UnitedKingdom_2022-08-01	accession
OP536800	9000426_UnitedKingdom_2022-08-01	accession
OP536801	9000429_UnitedKingdom_2022-09-01	accession
OP536802	9000430_UnitedKingdom_2022-09-01	accession
OP536803	9000431_UnitedKingdom_2022-09-02	accession
OP536804	9000432_UnitedKingdom_2022-09-01	accession
OP536805	9000435_UnitedKingdom_2022-07-24	accession
OP536806	9000437_UnitedKingdom_2022-08-01	accession
OP536807	9000438_UnitedKingdom_2022-09-30	accession
OP536808	9000442_UnitedKingdom_2022-08-31	accession
OP536810	9000445_UnitedKingdom_2022-08-01	accession
OP536811	9000448_UnitedKingdom_2022-09-01	accession
OP536813	9000451_UnitedKingdom_2022-09-01	accession
OP536814	9000452_UnitedKingdom_2022-09-01	accession
OP536815	9000453_UnitedKingdom_2022-09-01	accession
ON676708	MPXV_USA_2021_MD_USA_2021-11-25	accession
OQ249660	CIBU-220035_France_2022-06-08	accession
OQ249661	CMIP-P0_France_2022-06-14	accession
OP722510	MPX/Human/USA/CA-LACPHL-MA00251/2022_USA_2022-07-20	accession
OP555511	Monkeypox/PT0421/2022_Portugal_2022-07-28	accession
OP382487	hMPXV-IHU00010_France_2022-07-18	accession
ON959164	MPXV/Germany/2022/RKI150_Germany_2022-07-01	accession
OP689665	MPXV/Germany/2022/ON/RKI512_Germany_2022-10-01	accession
OP555495	Monkeypox/PT0399/2022_Portugal_2022-07-18	accession
OP245351	MPX/PT0118/2022_Portugal_2022-07-13	accession
OP555594	Monkeypox/PT0523/2022_Portugal_2022-08-17	accession
OP414384	Monkeypox/PT0357/2022_Portugal_2022-06-21	accession
OP587243	MPXV/Human/USA/CA-CDPH-MPX000013/2022_USA_2022-06-30	accession
OP133006	hMPXV/Austria/MUW1532243/2022_Austria_2022-07-06	accession
ON808416	CVR_MPXV1d_UnitedKingdom_2022-05-15	accession
ON983161	MpxV/human/CAN/UN-NML-3530/2022_Canada_2022-06-03	accession
OP415275	MPX_o3VuSh_9000348_UnitedKingdom_2022-08-01	accession
ON803428	MpxV/human/CAN/UN-NML-2869/2022_Canada_2022-05-21	accession
OP205130	MPXV_UK_2022_9000185_UnitedKingdom_2022-06-29	accession
ON929086	MPXV/Germany/2022/RKI131_Germany_2022-07-01	accession
OP205135	MPXV_UK_2022_9000190_UnitedKingdom_2022-07-06	accession
ON959134	MPXV_USA_2022_NY003_USA_2022-05-01	accession
OP539931	MPX/Human/USA/CA-LACPHL-MA00146/2022_USA_2022-09-02	accession
OP245322	MPX/PT0068/2022_Portugal_2022-07-25	accession
OX261748	RNA_Slovakia_2022-07-13	accession
OP555612	Monkeypox/PT0541/2022_Portugal_2022-08-23	accession
