date	location	median_R	R_upper_80	R_lower_80
2022-05-07	Western Europe	15.350703	15.970606	14.856801
2022-05-08	Western Europe	14.309429	14.8594	13.862485
2022-05-09	Western Europe	13.3536415	13.84106	12.949375
2022-05-10	Western Europe	12.476653	12.906902	12.102924
2022-05-11	Western Europe	11.672797	12.049124	11.32421
2022-05-12	Western Europe	10.928755	11.260712	10.6089945
2022-05-13	Western Europe	10.245328	10.537961	9.954472
2022-05-14	Western Europe	9.613077	9.869091	9.346627
2022-05-15	Western Europe	9.028992	9.251609	8.783789
2022-05-16	Western Europe	8.491825	8.683359	8.26275
2022-05-17	Western Europe	7.993956	8.162304	7.780747
2022-05-18	Western Europe	7.5340457	7.680613	7.334261
2022-05-19	Western Europe	7.1057563	7.233962	6.9220943
2022-05-20	Western Europe	6.703788	6.8176446	6.5370245
2022-05-21	Western Europe	6.3352757	6.4328513	6.179701
2022-05-22	Western Europe	5.9933968	6.081687	5.8481083
2022-05-23	Western Europe	5.6730275	5.752322	5.5387025
2022-05-24	Western Europe	5.3741655	5.442551	5.2507224
2022-05-25	Western Europe	5.096968	5.1604	4.982917
2022-05-26	Western Europe	4.840131	4.8954506	4.7334676
2022-05-27	Western Europe	4.5989323	4.6477237	4.500713
2022-05-28	Western Europe	4.372752	4.417043	4.282441
2022-05-29	Western Europe	4.162259	4.2038097	4.0795107
2022-05-30	Western Europe	3.9641044	4.004627	3.8891459
2022-05-31	Western Europe	3.7796664	3.816982	3.7104716
2022-06-01	Western Europe	3.6052542	3.6440845	3.5420227
2022-06-02	Western Europe	3.4441266	3.4820576	3.385039
2022-06-03	Western Europe	3.293106	3.3291047	3.2384334
2022-06-04	Western Europe	3.1493335	3.1856446	3.1014628
2022-06-05	Western Europe	3.0158017	3.0509424	2.9714088
2022-06-06	Western Europe	2.8902335	2.9248102	2.8498583
2022-06-07	Western Europe	2.7732432	2.8067393	2.734938
2022-06-08	Western Europe	2.6636605	2.6942813	2.6277792
2022-06-09	Western Europe	2.5597825	2.588452	2.5254228
2022-06-10	Western Europe	2.4612465	2.4897082	2.429343
2022-06-11	Western Europe	2.3684833	2.397231	2.3382092
2022-06-12	Western Europe	2.280817	2.3091664	2.2530584
2022-06-13	Western Europe	2.1989894	2.226217	2.1724386
2022-06-14	Western Europe	2.1215863	2.1475434	2.0964234
2022-06-15	Western Europe	2.048218	2.0736392	2.023393
2022-06-16	Western Europe	1.9794288	2.0036728	1.9540205
2022-06-17	Western Europe	1.9143488	1.9375657	1.8893156
2022-06-18	Western Europe	1.8520997	1.8750538	1.8280706
2022-06-19	Western Europe	1.7938247	1.8158709	1.7694758
2022-06-20	Western Europe	1.7385925	1.7601068	1.7137932
2022-06-21	Western Europe	1.6862398	1.7072058	1.6612171
2022-06-22	Western Europe	1.6369581	1.6572521	1.6115482
2022-06-23	Western Europe	1.589781	1.6097095	1.5642548
2022-06-24	Western Europe	1.544791	1.5646566	1.5195725
2022-06-25	Western Europe	1.5023469	1.5219826	1.477075
2022-06-26	Western Europe	1.462319	1.4813519	1.4370742
2022-06-27	Western Europe	1.4240924	1.4426006	1.3991225
2022-06-28	Western Europe	1.387629	1.4058295	1.3627857
2022-06-29	Western Europe	1.3530725	1.3708905	1.3280425
2022-06-30	Western Europe	1.3203458	1.3376093	1.2950352
2022-07-01	Western Europe	1.2890712	1.3058274	1.2637787
2022-07-02	Western Europe	1.2595127	1.275544	1.2343754
2022-07-03	Western Europe	1.2313404	1.24681	1.2064228
2022-07-04	Western Europe	1.2044508	1.2194415	1.1798247
2022-07-05	Western Europe	1.1791513	1.1933674	1.1545093
2022-07-06	Western Europe	1.1547166	1.1685197	1.1304084
2022-07-07	Western Europe	1.1314433	1.1448354	1.1072936
2022-07-08	Western Europe	1.1091814	1.1225864	1.0851183
2022-07-09	Western Europe	1.0879126	1.1011828	1.0639776
2022-07-10	Western Europe	1.0677903	1.0808431	1.0437977
2022-07-11	Western Europe	1.0485862	1.0613018	1.0246251
2022-07-12	Western Europe	1.0306001	1.0426557	1.0062724
2022-07-13	Western Europe	1.0130101	1.0248616	0.9890182
