date	location	median_prev	prev_upper_80	prev_lower_80
2022-05-23	Austria	5.6229863	5.622998	5.622973
2022-05-24	Austria	8.523548	8.523566	8.523528
2022-05-25	Austria	11.359486	11.359509	11.359459
2022-05-26	Austria	14.11215	14.112182	14.112118
2022-05-27	Austria	16.765558	16.765598	16.76552
2022-05-28	Austria	19.301918	19.301966	19.301874
2022-05-29	Austria	21.695887	21.695942	21.695839
2022-05-30	Austria	23.910961	23.911026	23.91091
2022-05-31	Austria	25.90092	25.900993	25.900864
2022-06-01	Austria	27.61645	27.61653	27.616386
2022-06-02	Austria	29.014393	29.014479	29.014328
2022-06-03	Austria	30.066227	30.066319	30.066164
2022-06-04	Austria	30.763199	30.763298	30.763132
2022-06-05	Austria	31.11721	31.117311	31.117144
2022-06-06	Austria	31.158165	31.158276	31.158098
2022-06-07	Austria	30.929163	30.929274	30.929096
2022-06-08	Austria	30.481245	30.48136	30.481174
2022-06-09	Austria	29.869053	29.869165	29.868979
2022-06-10	Austria	29.148209	29.148323	29.148132
2022-06-11	Austria	28.374788	28.374905	28.374714
2022-06-12	Austria	27.606556	27.60667	27.606483
2022-06-13	Austria	26.905361	26.905483	26.905289
2022-06-14	Austria	26.339691	26.339808	26.339615
2022-06-15	Austria	25.986214	25.986332	25.98613
2022-06-16	Austria	25.929482	25.929604	25.929396
2022-06-17	Austria	26.259232	26.259357	26.259136
2022-06-18	Austria	27.065098	27.06523	27.064997
2022-06-19	Austria	28.429436	28.429575	28.429321
2022-06-20	Austria	30.419123	30.419275	30.418991
2022-06-21	Austria	33.0776	33.077774	33.077446
2022-06-22	Austria	36.41828	36.418476	36.418106
2022-06-23	Austria	40.420265	40.42049	40.42006
2022-06-24	Austria	45.026905	45.027157	45.02666
2022-06-25	Austria	50.147354	50.147636	50.14707
2022-06-26	Austria	55.660873	55.661194	55.660553
2022-06-27	Austria	61.42328	61.423645	61.422913
2022-06-28	Austria	67.27499	67.27539	67.274574
2022-06-29	Austria	73.0495	73.04995	73.04903
2022-06-30	Austria	78.58229	78.58279	78.58178
2022-07-01	Austria	83.71896	83.719505	83.7184
2022-07-02	Austria	88.32243	88.32301	88.32183
2022-07-03	Austria	92.27874	92.27936	92.2781
2022-07-04	Austria	95.50128	95.50193	95.50062
2022-07-05	Austria	97.93347	97.934135	97.93276
2022-07-06	Austria	99.54976	99.55046	99.54903
2022-07-07	Austria	100.35524	100.35593	100.35448
2022-07-08	Austria	100.3839	100.38461	100.38312
2022-07-09	Austria	99.69588	99.696556	99.695076
2022-07-10	Austria	98.37379	98.37447	98.37298
2022-07-11	Austria	96.51863	96.51932	96.517815
2022-07-12	Austria	94.24524	94.24589	94.24442
2022-07-13	Austria	91.67754	91.67821	91.67674
2022-07-14	Austria	88.944	88.94465	88.94318
2022-07-15	Austria	86.172905	86.17354	86.17209
2022-07-16	Austria	83.488106	83.48874	83.4873
2022-07-17	Austria	81.00498	81.00561	81.00418
2022-07-18	Austria	78.82672	78.82732	78.82591
2022-07-19	Austria	77.04107	77.04167	77.04026
2022-07-20	Austria	75.7177	75.71831	75.71688
2022-07-21	Austria	74.906075	74.9067	74.90525
2022-07-22	Austria	74.63404	74.63469	74.6332
2022-07-23	Austria	74.90724	74.907906	74.90638
2022-07-24	Austria	75.70923	75.70994	75.70834
2022-07-25	Austria	77.002525	77.00325	77.001625
2022-07-26	Austria	78.730286	78.73104	78.72934
2022-07-27	Austria	80.819145	80.81995	80.81816
2022-07-28	Austria	83.18227	83.1831	83.181244
2022-07-29	Austria	85.72299	85.72386	85.721924
2022-07-30	Austria	88.33891	88.33982	88.33781
2022-07-31	Austria	90.92602	90.92696	90.92487
2022-08-01	Austria	93.38278	93.383766	93.3816
2022-08-02	Austria	95.61405	95.61507	95.61282
2022-08-03	Austria	97.534485	97.53554	97.53323
2022-08-04	Austria	99.07143	99.072495	99.07014
2022-08-05	Austria	100.16714	100.16823	100.16582
2022-08-06	Austria	100.78031	100.78142	100.77899
2022-08-07	Austria	100.886795	100.88791	100.885475
2022-08-08	Austria	100.479675	100.48079	100.47835
2022-08-09	Austria	99.56847	99.56957	99.56714
2022-08-10	Austria	98.17797	98.17907	98.176636
2022-08-11	Austria	96.346375	96.34747	96.34508
2022-08-12	Austria	94.12314	94.12421	94.12186
2022-08-13	Austria	91.56644	91.56749	91.565186
2022-08-14	Austria	88.74066	88.74168	88.739426
2022-08-15	Austria	85.713615	85.71461	85.71242
2022-08-16	Austria	82.55411	82.555084	82.55295
2022-08-17	Austria	79.329445	79.330376	79.32832
2022-08-18	Austria	76.10329	76.10417	76.10219
2022-08-19	Austria	72.9338	72.934654	72.93274
2022-08-20	Austria	69.872154	69.872986	69.87114
2022-08-21	Austria	66.9614	66.962204	66.960434
2022-08-22	Austria	64.23572	64.236496	64.234764
2022-08-23	Austria	61.71999	61.72075	61.719063
2022-08-24	Austria	59.429855	59.430584	59.428947
2022-08-25	Austria	57.371964	57.372677	57.37108
2022-08-26	Austria	55.54461	55.545307	55.543747
2022-08-27	Austria	53.93853	53.93921	53.93768
2022-08-28	Austria	52.537933	52.53861	52.537106
2022-08-29	Austria	51.32171	51.322372	51.320892
2022-08-30	Austria	50.26463	50.26528	50.26382
2022-08-31	Austria	49.33865	49.339294	49.33784
