date	location	median_I_smooth	I_smooth_upper_80	I_smooth_lower_80
2022-05-23	Austria	0.22464602	0.22464651	0.2246455
2022-05-24	Austria	0.23260532	0.23260581	0.23260477
2022-05-25	Austria	0.37375006	0.37375087	0.3737492
2022-05-26	Austria	1.3805373	1.3805403	1.380534
2022-05-27	Austria	2.4757133	2.4757185	2.4757075
2022-05-28	Austria	2.8976815	2.8976882	2.897675
2022-05-29	Austria	2.9535851	2.9535923	2.9535785
2022-05-30	Austria	2.8989625	2.8989701	2.8989558
2022-05-31	Austria	2.812907	2.812915	2.8129008
2022-06-01	Austria	2.7149386	2.714947	2.714933
2022-06-02	Austria	2.611143	2.6111515	2.6111376
2022-06-03	Austria	2.5050545	2.5050633	2.5050492
2022-06-04	Austria	2.3990493	2.3990579	2.3990436
2022-06-05	Austria	2.2950368	2.2950454	2.295031
2022-06-06	Austria	2.1945202	2.1945288	2.1945145
2022-06-07	Austria	2.0986595	2.098668	2.0986538
2022-06-08	Austria	2.0083385	2.008347	2.008333
2022-06-09	Austria	1.9242443	1.9242529	1.9242388
2022-06-10	Austria	1.846988	1.8469963	1.8469824
2022-06-11	Austria	1.7773077	1.7773161	1.7773021
2022-06-12	Austria	1.7164071	1.7164153	1.7164013
2022-06-13	Austria	1.666443	1.666451	1.666437
2022-06-14	Austria	1.6311343	1.6311423	1.6311283
2022-06-15	Austria	1.6163584	1.6163664	1.6163522
2022-06-16	Austria	1.6305363	1.6305443	1.6305298
2022-06-17	Austria	1.6845617	1.6845701	1.6845548
2022-06-18	Austria	1.791079	1.7910882	1.7910713
2022-06-19	Austria	1.9630582	1.9630685	1.9630492
2022-06-20	Austria	2.211834	2.2118452	2.2118232
2022-06-21	Austria	2.5448813	2.5448952	2.5448687
2022-06-22	Austria	2.9637923	2.9638085	2.9637766
2022-06-23	Austria	3.4629056	3.462925	3.4628868
2022-06-24	Austria	4.028918	4.0289407	4.028896
2022-06-25	Austria	4.641576	4.641603	4.641549
2022-06-26	Austria	5.275371	5.2754025	5.275339
2022-06-27	Austria	5.9019394	5.9019756	5.9019012
2022-06-28	Austria	6.4927683	6.492809	6.4927263
2022-06-29	Austria	7.0217996	7.0218444	7.021753
2022-06-30	Austria	7.467574	7.467623	7.4675236
2022-07-01	Austria	7.814672	7.814724	7.814617
2022-07-02	Austria	8.054384	8.054439	8.054328
