date	location	median_R	R_upper_80	R_lower_80
2022-05-23	Austria	27.442268	27.442268	27.442268
2022-05-24	Austria	25.977226	25.977226	25.977215
2022-05-25	Austria	24.597794	24.5978	24.597782
2022-05-26	Austria	23.298615	23.298626	23.298592
2022-05-27	Austria	22.074657	22.074673	22.074635
2022-05-28	Austria	20.921268	20.921288	20.921242
2022-05-29	Austria	19.834076	19.834095	19.834047
2022-05-30	Austria	18.808996	18.809017	18.808964
2022-05-31	Austria	17.842205	17.842232	17.842173
2022-06-01	Austria	16.93015	16.930174	16.930115
2022-06-02	Austria	16.069498	16.069525	16.069462
2022-06-03	Austria	15.257136	15.257162	15.257099
2022-06-04	Austria	14.490135	14.490163	14.490096
2022-06-05	Austria	13.765766	13.765795	13.765729
2022-06-06	Austria	13.08148	13.0815115	13.081442
2022-06-07	Austria	12.434886	12.434916	12.434847
2022-06-08	Austria	11.823735	11.823767	11.823696
2022-06-09	Austria	11.245937	11.245968	11.245897
2022-06-10	Austria	10.699518	10.699549	10.699479
2022-06-11	Austria	10.1826515	10.18268	10.182613
2022-06-12	Austria	9.69359	9.693618	9.693552
2022-06-13	Austria	9.230722	9.230751	9.230684
2022-06-14	Austria	8.792532	8.79256	8.792496
2022-06-15	Austria	8.37759	8.377618	8.377553
2022-06-16	Austria	7.9845576	7.9845843	7.9845214
2022-06-17	Austria	7.6121845	7.612211	7.612149
2022-06-18	Austria	7.2592893	7.259315	7.259254
2022-06-19	Austria	6.92477	6.9247947	6.9247355
2022-06-20	Austria	6.607581	6.607606	6.6075478
2022-06-21	Austria	6.3067503	6.3067737	6.3067174
2022-06-22	Austria	6.021356	6.0213795	6.0213246
2022-06-23	Austria	5.7505403	5.7505627	5.7505097
2022-06-24	Austria	5.4934926	5.4935145	5.493463
2022-06-25	Austria	5.249446	5.249468	5.249418
2022-06-26	Austria	5.0176864	5.0177064	5.017658
2022-06-27	Austria	4.7975388	4.7975583	4.797511
2022-06-28	Austria	4.588365	4.588385	4.5883384
2022-06-29	Austria	4.38957	4.3895893	4.389545
2022-06-30	Austria	4.200593	4.200611	4.200568
2022-07-01	Austria	4.020897	4.0209146	4.0208735
2022-07-02	Austria	3.849991	3.8500082	3.849968
2022-07-03	Austria	3.687399	3.6874151	3.687377
2022-07-04	Austria	3.5326793	3.5326953	3.532658
2022-07-05	Austria	3.3854148	3.3854303	3.385394
2022-07-06	Austria	3.2452097	3.2452247	3.2451897
2022-07-07	Austria	3.1116936	3.111708	3.1116748
2022-07-08	Austria	2.9845161	2.9845297	2.9844975
2022-07-09	Austria	2.8633444	2.863358	2.8633268
2022-07-10	Austria	2.74787	2.7478833	2.7478528
2022-07-11	Austria	2.6377954	2.6378078	2.637779
2022-07-12	Austria	2.532843	2.532855	2.5328271
2022-07-13	Austria	2.4327512	2.4327626	2.4327357
2022-07-14	Austria	2.3372698	2.3372808	2.3372548
2022-07-15	Austria	2.2461665	2.2461772	2.246152
2022-07-16	Austria	2.1592178	2.159228	2.1592042
2022-07-17	Austria	2.0762162	2.0762258	2.0762026
2022-07-18	Austria	1.9969625	1.996972	1.9969498
2022-07-19	Austria	1.9212694	1.9212786	1.921257
2022-07-20	Austria	1.8489599	1.8489687	1.8489481
2022-07-21	Austria	1.7798673	1.7798758	1.7798558
2022-07-22	Austria	1.7138312	1.7138394	1.7138203
2022-07-23	Austria	1.6507037	1.6507115	1.6506933
2022-07-24	Austria	1.5903411	1.5903486	1.590331
2022-07-25	Austria	1.5326095	1.5326166	1.5325998
2022-07-26	Austria	1.4773817	1.4773886	1.4773722
2022-07-27	Austria	1.4245362	1.4245429	1.4245272
2022-07-28	Austria	1.3739591	1.3739655	1.3739505
2022-07-29	Austria	1.325542	1.3255482	1.3255336
2022-07-30	Austria	1.2791824	1.2791883	1.2791744
2022-07-31	Austria	1.2347822	1.234788	1.2347745
2022-08-01	Austria	1.1922493	1.1922548	1.192242
2022-08-02	Austria	1.1514962	1.1515013	1.151489
2022-08-03	Austria	1.1124396	1.1124448	1.1124328
2022-08-04	Austria	1.0750005	1.0750053	1.074994
2022-08-05	Austria	1.039104	1.0391086	1.0390978
2022-08-06	Austria	1.0046792	1.0046836	1.0046732
2022-08-07	Austria	0.9716586	0.9716629	0.9716528
2022-08-08	Austria	0.93997735	0.93998146	0.93997186
2022-08-09	Austria	0.90957546	0.9095794	0.90957016
2022-08-10	Austria	0.88039434	0.8803981	0.8803892
2022-08-11	Austria	0.85237956	0.85238326	0.85237473
2022-08-12	Austria	0.8254783	0.8254818	0.82547367
2022-08-13	Austria	0.799641	0.7996443	0.7996365
2022-08-14	Austria	0.77482045	0.77482355	0.7748161
2022-08-15	Austria	0.7509717	0.7509747	0.75096756
2022-08-16	Austria	0.7280518	0.72805476	0.72804785
2022-08-17	Austria	0.7060201	0.706023	0.7060163
2022-08-18	Austria	0.68483794	0.68484056	0.6848343
2022-08-19	Austria	0.6644683	0.6644709	0.66446483
2022-08-20	Austria	0.6448761	0.64487857	0.6448727
2022-08-21	Austria	0.62602794	0.6260303	0.6260247
2022-08-22	Austria	0.6078919	0.6078942	0.6078888
2022-08-23	Austria	0.59043777	0.59044	0.5904348
2022-08-24	Austria	0.5736364	0.5736385	0.5736337
2022-08-25	Austria	0.5574604	0.5574624	0.55745775
2022-08-26	Austria	0.54188335	0.5418853	0.5418808
2022-08-27	Austria	0.5268805	0.52688235	0.526878
2022-08-28	Austria	0.51242757	0.51242936	0.51242524
2022-08-29	Austria	0.498502	0.49850368	0.49849972
2022-08-30	Austria	0.485082	0.48508364	0.48507985
2022-08-31	Austria	0.47214687	0.4721484	0.47214475
2022-09-01	Austria	0.45967686	0.45967835	0.4596749
2022-09-02	Austria	0.4476529	0.44765434	0.447651
2022-09-03	Austria	0.4360571	0.43605846	0.43605527
2022-09-04	Austria	0.42487216	0.42487347	0.42487043
2022-09-05	Austria	0.4140818	0.41408306	0.4140801
2022-09-06	Austria	0.40367	0.4036712	0.40366837
2022-09-07	Austria	0.39362204	0.39362317	0.3936205
2022-09-08	Austria	0.38392335	0.38392445	0.3839219
2022-09-09	Austria	0.37456048	0.3745615	0.37455904
2022-09-10	Austria	0.36552003	0.365521	0.3655187
2022-09-11	Austria	0.35678962	0.3567906	0.35678834
2022-09-12	Austria	0.34835723	0.34835815	0.348356
2022-09-13	Austria	0.34021154	0.34021243	0.34021032
2022-09-14	Austria	0.3323413	0.33234218	0.33234018
2022-09-15	Austria	0.3247363	0.32473713	0.32473522
2022-09-16	Austria	0.31738636	0.3173871	0.31738532
2022-09-17	Austria	0.3102819	0.31028265	0.31028095
2022-09-18	Austria	0.30341366	0.30341434	0.30341274
2022-09-19	Austria	0.2967729	0.29677358	0.296772
2022-09-20	Austria	0.2903512	0.29035187	0.29035035
2022-09-21	Austria	0.2841405	0.2841411	0.2841397
2022-09-22	Austria	0.27813292	0.2781335	0.27813214
2022-09-23	Austria	0.27232116	0.27232173	0.27232042
2022-09-24	Austria	0.26669815	0.2666987	0.26669744
2022-09-25	Austria	0.26125705	0.26125756	0.26125637
2022-09-26	Austria	0.2559911	0.2559916	0.25599045
2022-09-27	Austria	0.25089422	0.2508947	0.25089353
2022-09-28	Austria	0.24595992	0.24596038	0.24595933
2022-09-29	Austria	0.2411824	0.24118283	0.24118182
2022-09-30	Austria	0.23655614	0.23655654	0.23655559
2022-10-01	Austria	0.23207563	0.23207605	0.2320751
2022-10-02	Austria	0.22773561	0.227736	0.22773513
2022-10-03	Austria	0.22353128	0.2235316	0.2235308
2022-10-04	Austria	0.21945776	0.21945807	0.21945728
2022-10-05	Austria	0.21551044	0.21551076	0.21551
2022-10-06	Austria	0.21168506	0.21168539	0.21168464
2022-10-07	Austria	0.20797725	0.20797755	0.20797685
2022-10-08	Austria	0.20438313	0.2043834	0.20438273
2022-10-09	Austria	0.20089875	0.20089903	0.20089838
2022-10-10	Austria	0.19752032	0.19752061	0.19751999
2022-10-11	Austria	0.19424443	0.19424468	0.19424409
2022-10-12	Austria	0.19106749	0.19106771	0.19106716
2022-10-13	Austria	0.18798628	0.18798652	0.18798599
2022-10-14	Austria	0.18499765	0.18499786	0.18499735
2022-10-15	Austria	0.18209848	0.1820987	0.18209822
2022-10-16	Austria	0.17928594	0.17928615	0.17928568
2022-10-17	Austria	0.17655715	0.17655735	0.17655692
2022-10-18	Austria	0.17390946	0.17390962	0.1739092
2022-10-19	Austria	0.17134024	0.17134042	0.17134002
2022-10-20	Austria	0.16884698	0.16884716	0.16884676
2022-10-21	Austria	0.16642733	0.16642748	0.1664271
2022-10-22	Austria	0.16407895	0.1640791	0.16407874
2022-10-23	Austria	0.16179967	0.16179982	0.16179948
2022-10-24	Austria	0.15958723	0.15958737	0.15958704
2022-10-25	Austria	0.15743968	0.1574398	0.15743947
2022-10-26	Austria	0.15535504	0.15535516	0.15535486
2022-10-27	Austria	0.15333135	0.15333147	0.15333119
2022-10-28	Austria	0.15136683	0.15136695	0.15136668
2022-10-29	Austria	0.14945972	0.14945984	0.14945956
2022-10-30	Austria	0.14760825	0.14760837	0.14760812
2022-10-31	Austria	0.14581084	0.14581095	0.14581071
2022-11-01	Austria	0.14406595	0.14406604	0.14406581
2022-11-02	Austria	0.14237194	0.14237203	0.1423718
2022-11-03	Austria	0.14072749	0.14072756	0.14072737
2022-11-04	Austria	0.13913108	0.13913117	0.13913098
2022-11-05	Austria	0.13758144	0.13758151	0.13758135
2022-11-06	Austria	0.13607718	0.13607724	0.13607708
2022-11-07	Austria	0.13461708	0.13461716	0.13461697
2022-11-08	Austria	0.13319995	0.1332	0.13319984
