strain_region_coarse_date	accession	date	region_coarse	country	strain
4061_SouthernEurope_2022-05-20	ON838940	2022-05-20	Southern Europe	Spain	4061
8887_SouthernEurope_2022-06-06	ON838939	2022-06-06	Southern Europe	Spain	8887
9000369_WesternEurope_2022-08-01	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
9000385_WesternEurope_2022-09-19	OP536764	2022-09-19	Western Europe	United Kingdom	9000385
9000396_WesternEurope_2022-09-01	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
9000407_WesternEurope_2022-09-18	OP536783	2022-09-18	Western Europe	United Kingdom	9000407
9000430_WesternEurope_2022-09-01	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
9000431_WesternEurope_2022-09-01	OP536803	2022-09-01	Western Europe	United Kingdom	9000431
9000432_WesternEurope_2022-09-01	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
MPXV_USA_2021_MD_NorthAmerica_2021-11-01	ON676708	2021-11-01	North America	USA	MPXV_USA_2021_MD
CIBU-220035_WesternEurope_2022-06-08	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
CMIP-P0_WesternEurope_2022-06-14	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
MPXV/Germany/2022/RKI07_WesternEurope_2022-05-01	ON682269	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI07
MPXV_UK_2022_9000177_WesternEurope_2022-06-26	OP205126	2022-06-26	Western Europe	United Kingdom	MPXV_UK_2022_9000177
MpxV/human/CAN/UN-NML-3921/2022_NorthAmerica_2022-06-29	OP062234	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-3921/2022
MPXV/Germany/2022/RKI194_WesternEurope_2022-08-01	OP215236	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI194
PrEV_case_4_WesternEurope_2022-10-09	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
MPXV/Germany/2022/RKI390_WesternEurope_2022-09-01	OP523992	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI390
Monkeypox/PT0305/2022_SouthernEurope_2022-06-06	OP414339	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0305/2022
MPXV_UK_2022_9000167_WesternEurope_2022-06-30	OP205123	2022-06-30	Western Europe	United Kingdom	MPXV_UK_2022_9000167
hMPXV-IHU00017_WesternEurope_2022-07-22	OP382494	2022-07-22	Western Europe	France	hMPXV-IHU00017
MP03CHUAC_SouthernEurope_2022-06-01	OP120938	2022-06-01	Southern Europe	Spain	MP03CHUAC
MPXV-CH-38134631/2022_WesternEurope_2022-05-19	ON595760	2022-05-19	Western Europe	Switzerland	MPXV-CH-38134631/2022
MPX_Qjmiyl_9000330_WesternEurope_2022-08-01	OP415268	2022-08-01	Western Europe	United Kingdom	MPX_Qjmiyl_9000330
MPX_96X1Vd_9000218_WesternEurope_2022-03-28	OP415196	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000218
MPXV-USA-IL-IDPH-036_NorthAmerica_2022-06-17	OP536697	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-036
CVR_MPXV1d_WesternEurope_2022-05-15	ON808416	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1d
hMPXV-IHU00006_WesternEurope_2022-07-04	OP382483	2022-07-04	Western Europe	France	hMPXV-IHU00006
MPXV_FVG-ITA_01_2022_SouthernEurope_2022-05-25	ON644344	2022-05-25	Southern Europe	Italy	MPXV_FVG-ITA_01_2022
MPXV/Germany/2022/ON/RKI505_WesternEurope_2022-08-01	OP689658	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI505
MPXV_USA_2022_NY0022_NorthAmerica_2022-07-01	OP603008	2022-07-01	North America	USA	MPXV_USA_2022_NY0022
MPXV_GSTT_Patient1_WesternEurope_2022-05-11	ON645312	2022-05-11	Western Europe	United Kingdom	MPXV_GSTT_Patient1
RNA_CentralEurope_2022-07-13	OX261748	2022-07-13	Central Europe	Slovakia	RNA
hMPXV-IHU00013_WesternEurope_2022-07-20	OP382490	2022-07-20	Western Europe	France	hMPXV-IHU00013
MPXV-USA-IL-IDPH-069_NorthAmerica_2022-06-28	OP536730	2022-06-28	North America	USA	MPXV-USA-IL-IDPH-069
MPXV_USA_2022_HI0003_NorthAmerica_2022-06-01	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
MPXV-CH-38156923/2022_WesternEurope_2022-05-24	ON622720	2022-05-24	Western Europe	Switzerland	MPXV-CH-38156923/2022
hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022_NorthAmerica_2022-09-07	OP820454	2022-09-07	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022
MPXV/Germany/2022/RKI123_WesternEurope_2022-07-13	ON929078	2022-07-13	Western Europe	Germany	MPXV/Germany/2022/RKI123
MPX/PT0084/2022_SouthernEurope_2022-07-22	OP245335	2022-07-22	Southern Europe	Portugal	MPX/PT0084/2022
MPXV/Germany/2022/ON/RKI510_WesternEurope_2022-10-01	OP689663	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI510
hMPXV/Austria/MUW1525179/2022_WesternEurope_2022-06-10	OP019275	2022-06-10	Western Europe	Austria	hMPXV/Austria/MUW1525179/2022
ANT_INS_MPX_0039_L_SouthAmerica_2022-07-29	OP693649	2022-07-29	South America	Colombia	ANT_INS_MPX_0039_L
hMPXV-IHU00018_WesternEurope_2022-07-22	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
MP01CHUAC_SouthernEurope_2022-05-01	OP120937	2022-05-01	Southern Europe	Spain	MP01CHUAC
MPXV/Germany/2022/RKI424_WesternEurope_2022-09-01	OP594188	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI424
Monkeypox/PT0006/2022_SouthernEurope_2022-05-15	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
MPXV_USA_2022_CA002_NorthAmerica_2022-05-16	ON954773	2022-05-16	North America	USA	MPXV_USA_2022_CA002
2022/2SLO_CentralEurope_2022-05-24	ON631241	2022-05-24	Central Europe	Slovenia	2022/2 SLO
hMPXV-IHU00001_WesternEurope_2022-06-13	OP382478	2022-06-13	Western Europe	France	hMPXV-IHU00001
MPX/PT0128/2022_SouthernEurope_2022-07-12	OP245361	2022-07-12	Southern Europe	Portugal	MPX/PT0128/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00387/2022_NorthAmerica_2022-12-05	OQ330979	2022-12-05	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00232/2022_NorthAmerica_2022-07-15	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
Monkeypox/PT0591/2022_SouthernEurope_2022-09-13	OP555658	2022-09-13	Southern Europe	Portugal	Monkeypox/PT0591/2022
Monkeypox/PT0355/2022_SouthernEurope_2022-05-22	OP414382	2022-05-22	Southern Europe	Portugal	Monkeypox/PT0355/2022
Monkeypox/PT0308/2022_SouthernEurope_2022-06-06	OP414342	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0308/2022
hMPXV-CH-38212023/2022_WesternEurope_2022-05-30	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
MpxV/human/CAN/UN-NML-3080/2022_NorthAmerica_2022-05-26	ON880524	2022-05-26	North America	Canada	MpxV/human/CAN/UN-NML-3080/2022
MPXV_UK_2022_4_WesternEurope_2022-05-16	ON619838	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_4
MpxV/Spain/MD-HGUGM-6642566/2022_SouthernEurope_2022-06-21	ON927243	2022-06-21	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6642566/2022
MPX/UZ_REGA_2/Belgium/2022_WesternEurope_2022-05-22	ON622713	2022-05-22	Western Europe	Belgium	MPX/UZ_REGA_2/Belgium/2022
MPXV_UK_2022_2_WesternEurope_2022-05-16	ON619836	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_2
MPX/Human/USA/CA-LACPHL-MA00136/2022_NorthAmerica_2022-08-08	OP539921	2022-08-08	North America	USA	MPX/Human/USA/CA-LACPHL-MA00136/2022
Monkeypox/PT0382/2022_SouthernEurope_2022-07-12	OP555478	2022-07-12	Southern Europe	Portugal	Monkeypox/PT0382/2022
MPXV/Germany/2022/RKI557_WesternEurope_2022-06-01	OP764615	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI557
INMI-Pt2_SouthernEurope_2022-05-19	ON745215	2022-05-19	Southern Europe	Italy	INMI-Pt2
MPXV/Germany/2022/RKI576_WesternEurope_2022-06-30	OP837338	2022-06-30	Western Europe	Germany	MPXV/Germany/2022/RKI576
hMpxV/Human/USA/IL-RIPHL-MPXV_10003/2022_NorthAmerica_2022-08-06	OP820452	2022-08-06	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10003/2022
MPXV/Germany/2022/RKI582_WesternEurope_2022-06-01	OP837344	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI582
PEV_case_WesternEurope_2022-07-29	OP727820	2022-07-29	Western Europe	Belgium	PEV_case
MPXV/Germany/2022/RKI593_WesternEurope_2022-10-01	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
Monkeypox/PT0475/2022_SouthernEurope_2022-08-08	OP555554	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0475/2022
