strain_region_coarse_date	accession	date	region_coarse	country	strain
hMPXV/Austria/MUW1532243/2022_WesternEurope_2022-07-06	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
hMPX/USA/CA-LACPHL-MA00154/2022_NorthAmerica_2022-08-05	OP580587	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00154/2022
Monkeypox/PT0290/2022_SouthernEurope_2022-06-14	OP414325	2022-06-14	Southern Europe	Portugal	Monkeypox/PT0290/2022
MPX_BhVKjm_9000233_WesternEurope_2022-07-13	OP415207	2022-07-13	Western Europe	United Kingdom	MPX_BhVKjm_9000233
MpxV/human/CAN/UN-NML-3549/2022_NorthAmerica_2022-06-07	OP013007	2022-06-07	North America	Canada	MpxV/human/CAN/UN-NML-3549/2022
MpxV/human/CAN/UN-NML-3137/2022_NorthAmerica_2022-05-29	ON880509	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3137/2022
LBMB-UTP_MP-025_VAC_SouthAmerica_2022-11-15	OQ148474	2022-11-15	South America	Colombia	LBMB-UTP_MP-025_VAC
Slovenia-MPXV-39-2022_CentralEurope_2022-08-01	OP605580	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-39-2022
Monkeypox/PT0019/2022_SouthernEurope_2022-05-21	ON649717	2022-05-21	Southern Europe	Portugal	Monkeypox/PT0019/2022
MPXV/Germany/2022/ON/RKI512_WesternEurope_2022-10-01	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
INMI-Pt3_SouthernEurope_2022-05-19	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
RNA_5bspwe_CentralEurope_2022-08-26	OX336004	2022-08-26	Central Europe	Slovakia	RNA_5bspwe
Monkeypox/PT0333/2022_SouthernEurope_2022-05-27	OP414364	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0333/2022
INS-MPXV-0016-H1_SouthAmerica_2022-07-29	OP295383	2022-07-29	South America	Colombia	INS-MPXV-0016-H1
MpxV/human/CAN/UN-NML-3476/2022_NorthAmerica_2022-05-27	ON880517	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3476/2022
MPX_96X1Vd_9000216_WesternEurope_2022-03-28	OP415194	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000216
Monkeypox/PT0235/2022_SouthernEurope_2022-06-21	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
Monkeypox/PT0577/2022_SouthernEurope_2022-09-09	OP555648	2022-09-09	Southern Europe	Portugal	Monkeypox/PT0577/2022
Monkeypox/PT0346/2022_SouthernEurope_2022-05-26	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
MPXV/Germany/2022/RKI03_WesternEurope_2022-05-01	ON682263	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI03
MPXV/Germany/2022/RKI526_WesternEurope_2022-06-01	OP689679	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI526
Slovenia-MPXV-41-2022_CentralEurope_2022-08-01	OP605582	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-41-2022
MPX/UZ_REGA_3/Belgium/2022_WesternEurope_2022-05-27	ON880419	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_3/Belgium/2022
MPXV_USA_2022_CA001_NorthAmerica_2022-05-01	ON676703	2022-05-01	North America	USA	MPXV_USA_2022_CA001
MPXV_UK_2022_9000144_WesternEurope_2022-06-16	OP205107	2022-06-16	Western Europe	United Kingdom	MPXV_UK_2022_9000144
MPX_96X1Vd_9000217_WesternEurope_2022-03-28	OP415195	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000217
MPX/UZ_REGA_5/Belgium/2022_WesternEurope_2022-05-27	ON880421	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_5/Belgium/2022
MPXV_IRBA22-14_WesternEurope_2022-05-20	ON755040	2022-05-20	Western Europe	France	MPXV_IRBA22-14
MpxV/human/USA/WA-UW-083179/2022_NorthAmerica_2022-08-01	OP257266	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-083179/2022
MPX/UZ_REGA_4/Belgium/2022_WesternEurope_2022-05-27	ON880420	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_4/Belgium/2022
MpxV/human/USA/WA-UW-071246/2022_NorthAmerica_2022-07-01	OP123044	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-071246/2022
MPXV_UK_2022_9000152_WesternEurope_2022-05-16	OP205114	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_9000152
MpxV/human/USA/WA-UW-077836/2022_NorthAmerica_2022-07-01	OP123043	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-077836/2022
MPXV/Germany/2022/RKI010_WesternEurope_2022-05-01	ON682267	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI010
MpxV/human/CAN/UN-NML-3531/2022_NorthAmerica_2022-06-03	ON983162	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3531/2022
hMPXV-IHU00005_WesternEurope_2022-07-04	OP382482	2022-07-04	Western Europe	France	hMPXV-IHU00005
MPX/human/USA/UT-UPHL-82200022/2022_NorthAmerica_2022-05-20	ON627808	2022-05-20	North America	USA	MPX/human/USA/UT-UPHL-82200022/2022
hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022_NorthAmerica_2022-08-08	OP820455	2022-08-08	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022
Monkeypox/PT0437/2022_SouthernEurope_2022-08-02	OP555521	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0437/2022
Monkeypox/PT0155/2022_SouthernEurope_2022-07-06	OP324472	2022-07-06	Southern Europe	Portugal	Monkeypox/PT0155/2022
MpxV/human/CAN/UN-NML-3141/2022_NorthAmerica_2022-05-27	ON880527	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3141/2022
RNA_1n65mx_CentralEurope_2022-07-25	OX291435	2022-07-25	Central Europe	Slovakia	RNA_1n65mx
RNA_40uloh_CentralEurope_2022-07-25	OX291424	2022-07-25	Central Europe	Slovakia	RNA_40uloh
BOL-UNIMOL-MPX-293165-L_SouthAmerica_2022-08-09	OP623592	2022-08-09	South America	Colombia	BOL-UNIMOL-MPX-293165-L
Slovenia-MPXV-43-2022_CentralEurope_2022-08-09	OP605584	2022-08-09	Central Europe	Slovenia	Slovenia-MPXV-43-2022
Monkeypox/PT0469/2022_SouthernEurope_2022-08-08	OP555548	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0469/2022
hMPXV/Austria/MUW1536480/2022_WesternEurope_2022-07-22	OP133007	2022-07-22	Western Europe	Austria	hMPXV/Austria/MUW1536480/2022
RNA_3vulpn_CentralEurope_2022-08-31	OX336038	2022-08-31	Central Europe	Slovakia	RNA_3vulpn
RNA_1bp4xw_CentralEurope_2022-08-01	OX291694	2022-08-01	Central Europe	Slovakia	RNA_1bp4xw
RNA_2cx9dr_CentralEurope_2022-08-01	OX291676	2022-08-01	Central Europe	Slovakia	RNA_2cx9dr
RNA_4xpo03_CentralEurope_2022-07-25	OX291780	2022-07-25	Central Europe	Slovakia	RNA_4xpo03
hMPXV/Austria/MUW1540386/2022_WesternEurope_2022-08-08	OP422343	2022-08-08	Western Europe	Austria	hMPXV/Austria/MUW1540386/2022
hMPXV/Austria/MUW1533948/2022_WesternEurope_2022-07-13	OP422340	2022-07-13	Western Europe	Austria	hMPXV/Austria/MUW1533948/2022
RNA_67xdvf_CentralEurope_2022-07-20	OX261749	2022-07-20	Central Europe	Slovakia	RNA_67xdvf
RNA_61uldk_CentralEurope_2022-08-09	OX297403	2022-08-09	Central Europe	Slovakia	RNA_61uldk
MPXV/Human/USA/MA-USAFSAM-M0002/2022_NorthAmerica_2022-09-13	OP598104	2022-09-13	North America	USA	MPXV/Human/USA/MA-USAFSAM-M0002/2022
MPXV_USA_2022_SC0003_NorthAmerica_2022-07-01	OP603005	2022-07-01	North America	USA	MPXV_USA_2022_SC0003
MPXV/Germany/2022/RKI592_WesternEurope_2022-10-01	OP837354	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI592
MPXV/Germany/2022/RKI571_WesternEurope_2022-10-01	OP764629	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI571
MPXV/Germany/2022/RKI558_WesternEurope_2022-06-30	OP764616	2022-06-30	Western Europe	Germany	MPXV/Germany/2022/RKI558
MPXV_USA_2022_NY004_NorthAmerica_2022-05-31	ON959135	2022-05-31	North America	USA	MPXV_USA_2022_NY004
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00370/2022_NorthAmerica_2022-10-26	OQ330977	2022-10-26	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00370/2022
MPXV_USA_2022_VA0003_NorthAmerica_2022-06-29	OP303797	2022-06-29	North America	USA	MPXV_USA_2022_VA0003
hMPXV/Austria/MUW1531848/2022_WesternEurope_2022-07-05	OP133005	2022-07-05	Western Europe	Austria	hMPXV/Austria/MUW1531848/2022
hMPXV/Austria/MUW1533374/2022_WesternEurope_2022-07-11	OP133004	2022-07-11	Western Europe	Austria	hMPXV/Austria/MUW1533374/2022
Monkeypox/PT0229/2022_SouthernEurope_2022-06-22	OP324538	2022-06-22	Southern Europe	Portugal	Monkeypox/PT0229/2022
Monkeypox/PT0045/2022_SouthernEurope_2022-06-06	ON843181	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0045/2022
MPX_ElGfGw_9000328_WesternEurope_2022-08-01	OP415266	2022-08-01	Western Europe	United Kingdom	MPX_ElGfGw_9000328
MPXV_UK_2022_5_WesternEurope_2022-05-16	OP022170	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_5
Monkeypox/PT0571/2022_SouthernEurope_2022-09-05	OP555642	2022-09-05	Southern Europe	Portugal	Monkeypox/PT0571/2022
Monkeypox/PT0566/2022_SouthernEurope_2022-08-31	OP555637	2022-08-31	Southern Europe	Portugal	Monkeypox/PT0566/2022
Monkeypox/PT0347/2022_SouthernEurope_2022-05-26	OP414376	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0347/2022
hMpxV/UK/LMO-040a/2022_WesternEurope_2022-07-17	OP390202	2022-07-17	Western Europe	United Kingdom	hMpxV/UK/LMO-040a/2022
hMpxV/UK/LMO-004a/2022_WesternEurope_2022-06-20	OP390186	2022-06-20	Western Europe	United Kingdom	hMpxV/UK/LMO-004a/2022
MPXV/ITM_pt_09/Belgium/2-Jun-2022_WesternEurope_2022-06-02	OP144217	2022-06-02	Western Europe	Belgium	MPXV/ITM_pt_09/Belgium/2-Jun-2022
MPXV/ITM_pt_24/Belgium/16-Jun-2022_WesternEurope_2022-06-16	OP144213	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_24/Belgium/16-Jun-2022
MPXV/ITM_pt_07/Belgium/30-May-2022_WesternEurope_2022-05-30	OP144216	2022-05-30	Western Europe	Belgium	MPXV/ITM_pt_07/Belgium/30-May-2022
MPXV/ITM_pt_10/Belgium/1-Jun-2022_WesternEurope_2022-06-01	OP144211	2022-06-01	Western Europe	Belgium	MPXV/ITM_pt_10/Belgium/1-Jun-2022
LBMB-UTP_MP-013_VAC_SouthAmerica_2022-11-11	OQ148469	2022-11-11	South America	Colombia	LBMB-UTP_MP-013_VAC
BOL-UNIMOL-MPX-293772-L_SouthAmerica_2022-11-17	OP959064	2022-11-17	South America	Colombia	BOL-UNIMOL-MPX-293772-L
ANT-LDSP-ANT-MPX-25390E_SouthAmerica_2022-09-12	OP642416	2022-09-12	South America	Colombia	ANT-LDSP-ANT-MPX-25390E
MPX/Human/USA/CA-LACPHL-MA00206/2022_NorthAmerica_2022-09-13	OP615279	2022-09-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00206/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00400/2022_NorthAmerica_2022-12-19	OQ330998	2022-12-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00400/2022
MPXV/Human/USA/CA-LACPHL-MA00327/2022_NorthAmerica_2022-11-09	OP890555	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00327/2022
MPXV/Human/USA/CA-LACPHL-MA00336/2022_NorthAmerica_2022-11-09	OP890564	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00336/2022
MPXV/Human/USA/CA-LACPHL-MA00330/2022_NorthAmerica_2022-11-09	OP890558	2022-11-09	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00330/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00399/2022_NorthAmerica_2022-12-30	OQ331008	2022-12-30	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00397/2023_NorthAmerica_2023-01-03	OQ331006	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00397/2023
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00396/2023_NorthAmerica_2023-01-03	OQ331005	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00396/2023
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00398/2023_NorthAmerica_2023-01-03	OQ331007	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00398/2023
MPX/Human/USA/CA-LACPHL-MA00254/2022_NorthAmerica_2022-10-11	OP722513	2022-10-11	North America	USA	MPX/Human/USA/CA-LACPHL-MA00254/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00394/2022_NorthAmerica_2022-12-23	OQ330973	2022-12-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022
MPXV/Human/USA/CA-LACPHL-MA00362/2022_NorthAmerica_2022-10-28	OP920700	2022-10-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00362/2022
MPXV/Human/USA/CA-LACPHL-MA00357/2022_NorthAmerica_2022-11-08	OP920695	2022-11-08	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00357/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00374/2022_NorthAmerica_2022-11-23	OQ331002	2022-11-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00374/2022
MPXV/Human/USA/CA-LACPHL-MA00321/2022_NorthAmerica_2022-10-27	OP890525	2022-10-27	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00321/2022
MPXV_IRBA22-11_WesternEurope_2022-05-19	ON755039	2022-05-19	Western Europe	France	MPXV_IRBA22-11
hMPXV-IHU00004_WesternEurope_2022-07-04	OP382481	2022-07-04	Western Europe	France	hMPXV-IHU00004
ID6821_SouthernEurope_2022-06-21	OP838893	2022-06-21	Southern Europe	Italy	ID6821
MPXV-1047_WesternEurope_2022-06-07	OQ172215	2022-06-07	Western Europe	France	MPXV-1047
MPXV22/human/USA-NE-25_NorthAmerica_2022-06-25	OP171919	2022-06-25	North America	USA	MPXV22/human/USA-NE-25
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00393/2022_NorthAmerica_2022-12-13	OQ331004	2022-12-13	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00393/2022
hMpxV/USA/CA-CDPH-000055/2022_NorthAmerica_2022-10-07	OP863229	2022-10-07	North America	USA	hMpxV/USA/CA-CDPH-000055/2022
Monkeypox/PT0578/2022_SouthernEurope_2022-09-12	OP555649	2022-09-12	Southern Europe	Portugal	Monkeypox/PT0578/2022
hMPXV/Austria/MUW1539124/2022_WesternEurope_2022-08-02	OP422342	2022-08-02	Western Europe	Austria	hMPXV/Austria/MUW1539124/2022
hMPXV/Austria/MUW1538395/2022_WesternEurope_2022-08-01	OP422341	2022-08-01	Western Europe	Austria	hMPXV/Austria/MUW1538395/2022
hMPXV/Austria/MUW1531254/2022_WesternEurope_2022-07-04	OP019277	2022-07-04	Western Europe	Austria	hMPXV/Austria/MUW1531254/2022
Monkeypox/PT0395/2022_SouthernEurope_2022-07-13	OP555491	2022-07-13	Southern Europe	Portugal	Monkeypox/PT0395/2022
MPX/PT0065/2022_SouthernEurope_2022-07-27	OP245319	2022-07-27	Southern Europe	Portugal	MPX/PT0065/2022
MpxV/human/CAN/UN-NML-3976/2022_NorthAmerica_2022-07-04	OP270024	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3976/2022
MpxV/human/CAN/UN-NML-4024/2022_NorthAmerica_2022-07-05	OP270027	2022-07-05	North America	Canada	MpxV/human/CAN/UN-NML-4024/2022
MpxV/human/CAN/UN-NML-3975/2022_NorthAmerica_2022-07-04	OP270023	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3975/2022
MpxV/human/CAN/UN-NML-3257/2022_NorthAmerica_2022-05-30	ON880533	2022-05-30	North America	Canada	MpxV/human/CAN/UN-NML-3257/2022
MPXV/Germany/2022/RKI396_WesternEurope_2022-09-01	OP523999	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI396
PatientMPXV_WesternEurope_2022-06-10	OP204840	2022-06-10	Western Europe	France	PatientMPXV
MPX/Human/USA/CA-LACPHL-MA00116/2022_NorthAmerica_2022-09-14	OP539901	2022-09-14	North America	USA	MPX/Human/USA/CA-LACPHL-MA00116/2022
MPX_bSkpM3_9000334_WesternEurope_2022-08-31	OP415272	2022-08-31	Western Europe	United Kingdom	MPX_bSkpM3_9000334
MPXV_USA_2022_FL0011_NorthAmerica_2022-06-30	OP225967	2022-06-30	North America	USA	MPXV_USA_2022_FL0011
PrEV_case_2_WesternEurope_2022-10-02	OP727822	2022-10-02	Western Europe	Belgium	PrEV_case_2
hMpxV/UK/LMO-029a/2022_WesternEurope_2022-07-07	OP390195	2022-07-07	Western Europe	United Kingdom	hMpxV/UK/LMO-029a/2022
SAN_INS_MPX_0971_L_SouthAmerica_2022-10-11	OP819959	2022-10-11	South America	Colombia	SAN_INS_MPX_0971_L
CUN_INS_MPX_0649_C_SouthAmerica_2022-08-23	OP693651	2022-08-23	South America	Colombia	CUN_INS_MPX_0649_C
VAC_INS_MPX_0960_C_SouthAmerica_2022-10-15	OP819954	2022-10-15	South America	Colombia	VAC_INS_MPX_0960_C
LBMB-UTP_MP-021_VAC_SouthAmerica_2022-11-11	OQ148473	2022-11-11	South America	Colombia	LBMB-UTP_MP-021_VAC
