accession	strain_region_coarse_date
OQ330998	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00400/2022_NorthAmerica_2022-12-19	accession
OP890555	MPXV/Human/USA/CA-LACPHL-MA00327/2022_NorthAmerica_2022-11-09	accession
OP890564	MPXV/Human/USA/CA-LACPHL-MA00336/2022_NorthAmerica_2022-11-09	accession
OP890558	MPXV/Human/USA/CA-LACPHL-MA00330/2022_NorthAmerica_2022-11-09	accession
OQ331008	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00399/2022_NorthAmerica_2022-12-30	accession
OQ331006	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00397/2023_NorthAmerica_2023-01-03	accession
OQ331005	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00396/2023_NorthAmerica_2023-01-03	accession
OQ331007	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00398/2023_NorthAmerica_2023-01-03	accession
OP722513	MPX/Human/USA/CA-LACPHL-MA00254/2022_NorthAmerica_2022-10-11	accession
OQ330973	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00394/2022_NorthAmerica_2022-12-23	accession
OP920700	MPXV/Human/USA/CA-LACPHL-MA00362/2022_NorthAmerica_2022-10-28	accession
OP920695	MPXV/Human/USA/CA-LACPHL-MA00357/2022_NorthAmerica_2022-11-08	accession
OQ331002	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00374/2022_NorthAmerica_2022-11-23	accession
OP890525	MPXV/Human/USA/CA-LACPHL-MA00321/2022_NorthAmerica_2022-10-27	accession
ON755039	MPXV_IRBA22-11_WesternEurope_2022-05-19	accession
OP382481	hMPXV-IHU00004_WesternEurope_2022-07-04	accession
OP838893	ID6821_SouthernEurope_2022-06-21	accession
OQ172215	MPXV-1047_WesternEurope_2022-06-07	accession
OP171919	MPXV22/human/USA-NE-25_NorthAmerica_2022-06-25	accession
OQ331004	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00393/2022_NorthAmerica_2022-12-13	accession
OP863229	hMpxV/USA/CA-CDPH-000055/2022_NorthAmerica_2022-10-07	accession
OP555649	Monkeypox/PT0578/2022_SouthernEurope_2022-09-12	accession
OP422342	hMPXV/Austria/MUW1539124/2022_WesternEurope_2022-08-02	accession
OP422341	hMPXV/Austria/MUW1538395/2022_WesternEurope_2022-08-01	accession
OP019277	hMPXV/Austria/MUW1531254/2022_WesternEurope_2022-07-04	accession
OP555491	Monkeypox/PT0395/2022_SouthernEurope_2022-07-13	accession
OP245319	MPX/PT0065/2022_SouthernEurope_2022-07-27	accession
OP270024	MpxV/human/CAN/UN-NML-3976/2022_NorthAmerica_2022-07-04	accession
OP270027	MpxV/human/CAN/UN-NML-4024/2022_NorthAmerica_2022-07-05	accession
OP270023	MpxV/human/CAN/UN-NML-3975/2022_NorthAmerica_2022-07-04	accession
ON880533	MpxV/human/CAN/UN-NML-3257/2022_NorthAmerica_2022-05-30	accession
OP523999	MPXV/Germany/2022/RKI396_WesternEurope_2022-09-01	accession
OP204840	PatientMPXV_WesternEurope_2022-06-10	accession
OP539901	MPX/Human/USA/CA-LACPHL-MA00116/2022_NorthAmerica_2022-09-14	accession
OP415272	MPX_bSkpM3_9000334_WesternEurope_2022-08-31	accession
OP225967	MPXV_USA_2022_FL0011_NorthAmerica_2022-06-30	accession
OP727822	PrEV_case_2_WesternEurope_2022-10-02	accession
OP390195	hMpxV/UK/LMO-029a/2022_WesternEurope_2022-07-07	accession
OP819959	SAN_INS_MPX_0971_L_SouthAmerica_2022-10-11	accession
OP693651	CUN_INS_MPX_0649_C_SouthAmerica_2022-08-23	accession
OP819954	VAC_INS_MPX_0960_C_SouthAmerica_2022-10-15	accession
OQ148473	LBMB-UTP_MP-021_VAC_SouthAmerica_2022-11-11	accession
OP642378	ANT-LDSP-ANT-MPX-24594-L_SouthAmerica_2022-09-07	accession
OP819949	VAC_INS_MPX_0955_C_SouthAmerica_2022-10-11	accession
OP819955	VAC_INS_MPX_0962_C_SouthAmerica_2022-10-13	accession
OP442553	hMPX/Human/USA/CA-LACPHL-MA00086/2022_NorthAmerica_2022-08-01	accession
ON880519	MpxV/human/CAN/UN-NML-2833/2022_NorthAmerica_2022-05-13	accession
OP279041	MpxV/human/CAN/UN-NML-4125/2022_NorthAmerica_2022-06-29	accession
OP013008	MpxV/human/CAN/UN-NML-3582/2022_NorthAmerica_2022-06-08	accession
ON983167	MpxV/human/CAN/UN-NML-3725/2022_NorthAmerica_2022-06-16	accession
OP279045	MpxV/human/CAN/UN-NML-4144/2022_NorthAmerica_2022-07-04	accession
OP279035	MpxV/human/CAN/UN-NML-4103/2022_NorthAmerica_2022-07-04	accession
OP279034	MpxV/human/CAN/UN-NML-4097/2022_NorthAmerica_2022-07-04	accession
ON792321	hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022_WesternEurope_2022-06-02	accession
OQ159028	MPXV/Germany/2022/RKI633_WesternEurope_2022-11-01	accession
OP018605	MPXV/Germany/2022/RKI182_WesternEurope_2022-07-01	accession
OP715831	MPXV/Germany/2022/RKI551_WesternEurope_2022-06-01	accession
ON694332	MPXV/Germany/2022/RKI023_WesternEurope_2022-05-31	accession
OP594201	MPXV/Germany/2022/RKI437_WesternEurope_2022-09-01	accession
OP555641	Monkeypox/PT0570/2022_SouthernEurope_2022-09-02	accession
OP484695	MPXV/Germany/2022/RKI342_WesternEurope_2022-09-01	accession
OP019276	hMPXV/Austria/MUW1527495/2022_WesternEurope_2022-06-21	accession
OP320553	LIM-INS-013_SouthAmerica_2022-07-08	accession
OP289783	LIM-INS-003_SouthAmerica_2022-06-27	accession
OP693655	CUN_INS_MPX_0748_L_SouthAmerica_2022-09-03	accession
OP320554	LIM-INS-016_SouthAmerica_2022-07-09	accession
OP320552	LIM-INS-012_SouthAmerica_2022-07-06	accession
OP320555	LIM-INS-021_SouthAmerica_2022-07-09	accession
OP320551	LIM-INS-018_SouthAmerica_2022-07-09	accession
OP320548	LIM-INS008_SouthAmerica_2022-07-01	accession
OP289782	LIM-INS-001_SouthAmerica_2022-06-25	accession
ON720849	MpxV/Spain/MD-HGUGM-6532064/2022_SouthernEurope_2022-05-27	accession
ON622718	MPXV/ES0001/HUGTiP/2022_SouthernEurope_2022-05-20	accession
OP681774	MpxV/human/USA/WA-UW-092889/2022_NorthAmerica_2022-09-04	accession
OP459214	ANT-LDSP-ANT-MPX-23631-L_SouthAmerica_2022-08-30	accession
OP390194	hMpxV/UK/LMO-026a/2022_WesternEurope_2022-07-01	accession
OQ159039	MPXV/Germany/2022/ON/RKI644_WesternEurope_2022-08-01	accession
OP215232	MPXV/Germany/2022/RKI190_WesternEurope_2022-08-01	accession
OP215211	MPXV/Germany/2022/RKI203_WesternEurope_2022-08-01	accession
OP018602	MPXV/Germany/2022/RKI177_WesternEurope_2022-07-01	accession
OP689682	MPXV/Germany/2022/RKI529_WesternEurope_2022-07-31	accession
OP358276	SIC-AOUP-UNIPA_VL_9aug_SouthernEurope_2022-08-09	accession
ON792322	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022_WesternEurope_2022-06-02	accession
ON780017	INMI-Pt4_SouthernEurope_2022-05-21	accession
OQ274886	MPXV/Germany/2022/ON/RKI667_WesternEurope_2022-05-19	accession
OQ274883	MPXV/Germany/2022/ON/RKI664_WesternEurope_2022-05-19	accession
OP150925	MPXV_USA_2022_GA001_NorthAmerica_2022-05-19	accession
OP783902	hMPXV-CH-38347314/2022_WesternEurope_2022-06-08	accession
OP555598	Monkeypox/PT0527/2022_SouthernEurope_2022-08-19	accession
OP555586	Monkeypox/PT0515/2022_SouthernEurope_2022-08-16	accession
OP642388	ANT-LDSP-ANT-MPX-24915-L_SouthAmerica_2022-09-09	accession
OP431401	ANT-LDSP-ANT-MPX-22769-L_SouthAmerica_2022-08-17	accession
OP642412	ANT-LDSP-ANT-MPX-25340L_SouthAmerica_2022-09-13	accession
OP689664	MPXV/Germany/2022/ON/RKI511_WesternEurope_2022-10-01	accession
OQ261704	ANT-LDSP-ANT-MPX-28299E_SouthAmerica_2022-10-13	accession
OQ148472	LBMB-UTP_MP-019_VAC_SouthAmerica_2022-11-11	accession
OP295382	INS-MPXV-0015-L1_SouthAmerica_2022-07-21	accession
OP477446	ANT-LDSP-ANT-MPX-22980_SouthAmerica_2022-08-19	accession
OP459219	ANT-LDSP-ANT-MPX-23683-L_SouthAmerica_2022-08-30	accession
OP642381	ANT-LDSP-ANT-MPX-24728-L_SouthAmerica_2022-09-08	accession
OP959057	SUC-UNIMOL-MPX-293401-L_SouthAmerica_2022-11-10	accession
OP819958	QUI_INS_MPX_0967_L_SouthAmerica_2022-10-15	accession
OP205078	MPXV_UK_2022_9000072_WesternEurope_2022-06-09	accession
OP150927	MPXV_USA_2022_WA001_NorthAmerica_2022-05-19	accession
OP205088	MPXV_UK_2022_9000100_WesternEurope_2022-06-09	accession
OP263636	MPXV/Germany/2022/RKI281_WesternEurope_2022-08-01	accession
OP018592	MPXV/Germany/2022/RKI166_WesternEurope_2022-07-31	accession
OQ159027	MPXV/Germany/2022/RKI632_WesternEurope_2022-11-30	accession
OP890528	MPXV/Human/USA/CA-LACPHL-MA00295/2022_NorthAmerica_2022-11-01	accession
ON959151	MPXV/Germany/2022/RKI160_WesternEurope_2022-07-17	accession
OP820460	hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022_NorthAmerica_2022-09-10	accession
OQ330997	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00390/2022_NorthAmerica_2022-12-14	accession
OQ330988	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00382/2022_NorthAmerica_2022-10-14	accession
OP605583	Slovenia-MPXV-42-2022_CentralEurope_2022-08-09	accession
OP415234	MPX_L6rBi6_9000265_WesternEurope_2022-08-31	accession
OP605571	Slovenia-MPXV-29-2022_CentralEurope_2022-07-12	accession
ON614676	INMI-Pt1_SouthernEurope_2022-05-18	accession
OP171924	MPXV22/human/USA-NE-63_NorthAmerica_2022-07-25	accession
OP727821	PrEV_case_1_WesternEurope_2022-08-27	accession
OP605569	Slovenia-MPXV-27-2022_CentralEurope_2022-07-08	accession
OP605559	Slovenia-MPXV-17-2022_CentralEurope_2022-07-01	accession
OP605565	Slovenia-MPXV-23-2022_CentralEurope_2022-07-01	accession
OP205116	MPXV_UK_2022_9000158_WesternEurope_2022-07-07	accession
OP415229	MPX_0MZd8B_9000260_WesternEurope_2022-08-01	accession
ON782055	MPXV/Spain/HUNSC_ITER_0001b/2022_SouthernEurope_2022-05-31	accession
ON792320	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022_WesternEurope_2022-06-01	accession
OP390204	hMpxV/UK/LMO-043a/2022_WesternEurope_2022-07-20	accession
ON622722	MPXV_FR_HCL0001_2022_WesternEurope_2022-05-22	accession
ON838178	SI2022_S7_CentralEurope_2022-06-01	accession
OP605552	Slovenia-MPXV-09-2022_CentralEurope_2022-06-01	accession
OP605551	Slovenia-MPXV-08-2022_CentralEurope_2022-06-01	accession
ON754986	MPXV_SI2022_S5_CentralEurope_2022-06-01	accession
OX248696	RNA_1x0q6v_CentralEurope_2022-07-04	accession
OP605568	Slovenia-MPXV-26-2022_CentralEurope_2022-07-18	accession
ON782054	MPXV/Spain/HUNSC_ITER_0001a/2022_SouthernEurope_2022-05-31	accession
OP605562	Slovenia-MPXV-20-2022_CentralEurope_2022-07-31	accession
OP555633	Monkeypox/PT0562/2022_SouthernEurope_2022-09-01	accession
ON754985	MPXV_SI2022_S4_CentralEurope_2022-06-01	accession
ON754984	MPXV_SI2022_S3_CentralEurope_2022-06-01	accession
ON754987	MPXV_SI2022_S1_VEROE6_CentralEurope_2022-05-23	accession
ON609725	SLO_CentralEurope_2022-05-23	accession
OP605585	Slovenia-MPXV-44-2022_CentralEurope_2022-08-24	accession
OP605581	Slovenia-MPXV-40-2022_CentralEurope_2022-08-23	accession
ON950045	MPXV/ITM_pt_31/Belgium/27-May-2022_WesternEurope_2022-05-27	accession
OP144214	MPXV/ITM_pt_25/Belgium/16-Jun-2022_WesternEurope_2022-06-16	accession
OP144212	MPXV/ITM_pt_16/Belgium/10-Jun-2022_WesternEurope_2022-06-10	accession
