,CentralEurope,NorthAmerica,SouthAmerica,SouthernEurope,WesternEurope
CentralEurope,0.0,8119.8612832226845,6394.01057759663,1208.5865620737823,800.1933229195591
NorthAmerica,8119.8612832226845,0.0,1844.6077350645764,6969.682719036016,7327.164206998904
SouthAmerica,6394.01057759663,1844.6077350645764,0.0,5199.556793093634,5636.332332021278
SouthernEurope,1208.5865620737823,6969.682719036016,5199.556793093634,0.0,618.6901578947965
WesternEurope,800.1933229195591,7327.164206998904,5636.332332021278,618.6901578947965,0.0
