	accession	date	region_coarse	country	strain
0	ON838940	2022-05-20	Southern Europe	Spain	4061
1	ON838939	2022-06-06	Southern Europe	Spain	8887
2	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
3	OP536764	2022-09-19	Western Europe	United Kingdom	9000385
4	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
5	OP536783	2022-09-18	Western Europe	United Kingdom	9000407
6	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
7	OP536803	2022-09-01	Western Europe	United Kingdom	9000431
8	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
9	ON676708	2021-11-01	North America	USA	MPXV_USA_2021_MD
10	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
11	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
12	ON682269	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI07
13	OP205126	2022-06-26	Western Europe	United Kingdom	MPXV_UK_2022_9000177
14	OP062234	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-3921/2022
15	OP215236	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI194
16	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
17	OP523992	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI390
18	OP414339	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0305/2022
19	OP205123	2022-06-30	Western Europe	United Kingdom	MPXV_UK_2022_9000167
20	OP382494	2022-07-22	Western Europe	France	hMPXV-IHU00017
21	OP120938	2022-06-01	Southern Europe	Spain	MP03CHUAC
22	ON595760	2022-05-19	Western Europe	Switzerland	MPXV-CH-38134631/2022
23	OP415268	2022-08-01	Western Europe	United Kingdom	MPX_Qjmiyl_9000330
24	OP415196	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000218
25	OP536697	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-036
26	ON808416	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1d
27	OP382483	2022-07-04	Western Europe	France	hMPXV-IHU00006
28	ON644344	2022-05-25	Southern Europe	Italy	MPXV_FVG-ITA_01_2022
29	OP689658	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI505
30	OP603008	2022-07-01	North America	USA	MPXV_USA_2022_NY0022
31	ON645312	2022-05-11	Western Europe	United Kingdom	MPXV_GSTT_Patient1
32	OX261748	2022-07-13	Central Europe	Slovakia	RNA
33	OP382490	2022-07-20	Western Europe	France	hMPXV-IHU00013
34	OP536730	2022-06-28	North America	USA	MPXV-USA-IL-IDPH-069
35	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
36	ON622720	2022-05-24	Western Europe	Switzerland	MPXV-CH-38156923/2022
37	OP820454	2022-09-07	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022
38	ON929078	2022-07-13	Western Europe	Germany	MPXV/Germany/2022/RKI123
39	OP245335	2022-07-22	Southern Europe	Portugal	MPX/PT0084/2022
40	OP689663	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI510
41	OP019275	2022-06-10	Western Europe	Austria	hMPXV/Austria/MUW1525179/2022
42	OP693649	2022-07-29	South America	Colombia	ANT_INS_MPX_0039_L
43	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
44	OP120937	2022-05-01	Southern Europe	Spain	MP01CHUAC
45	OP594188	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI424
46	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
47	ON954773	2022-05-16	North America	USA	MPXV_USA_2022_CA002
48	ON631241	2022-05-24	Central Europe	Slovenia	2022/2 SLO
49	OP382478	2022-06-13	Western Europe	France	hMPXV-IHU00001
50	OP245361	2022-07-12	Southern Europe	Portugal	MPX/PT0128/2022
51	OQ330979	2022-12-05	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022
52	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
53	OP555658	2022-09-13	Southern Europe	Portugal	Monkeypox/PT0591/2022
54	OP414382	2022-05-22	Southern Europe	Portugal	Monkeypox/PT0355/2022
55	OP414342	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0308/2022
56	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
57	ON880524	2022-05-26	North America	Canada	MpxV/human/CAN/UN-NML-3080/2022
58	ON619838	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_4
59	ON927243	2022-06-21	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6642566/2022
60	ON622713	2022-05-22	Western Europe	Belgium	MPX/UZ_REGA_2/Belgium/2022
61	ON619836	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_2
62	OP539921	2022-08-08	North America	USA	MPX/Human/USA/CA-LACPHL-MA00136/2022
63	OP555478	2022-07-12	Southern Europe	Portugal	Monkeypox/PT0382/2022
64	OP764615	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI557
65	ON745215	2022-05-19	Southern Europe	Italy	INMI-Pt2
66	OP837338	2022-06-30	Western Europe	Germany	MPXV/Germany/2022/RKI576
67	OP820452	2022-08-06	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10003/2022
68	OP837344	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI582
69	OP727820	2022-07-29	Western Europe	Belgium	PEV_case
70	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
71	OP555554	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0475/2022
72	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
73	OP580587	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00154/2022
74	OP414325	2022-06-14	Southern Europe	Portugal	Monkeypox/PT0290/2022
75	OP415207	2022-07-13	Western Europe	United Kingdom	MPX_BhVKjm_9000233
76	OP013007	2022-06-07	North America	Canada	MpxV/human/CAN/UN-NML-3549/2022
77	ON880509	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3137/2022
78	OQ148474	2022-11-15	South America	Colombia	LBMB-UTP_MP-025_VAC
79	OP605580	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-39-2022
80	ON649717	2022-05-21	Southern Europe	Portugal	Monkeypox/PT0019/2022
81	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
82	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
83	OX336004	2022-08-26	Central Europe	Slovakia	RNA_5bspwe
84	OP414364	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0333/2022
85	OP295383	2022-07-29	South America	Colombia	INS-MPXV-0016-H1
86	ON880517	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3476/2022
87	OP415194	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000216
88	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
89	OP555648	2022-09-09	Southern Europe	Portugal	Monkeypox/PT0577/2022
90	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
91	ON682263	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI03
92	OP689679	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI526
93	OP605582	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-41-2022
94	ON880419	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_3/Belgium/2022
95	ON676703	2022-05-01	North America	USA	MPXV_USA_2022_CA001
96	OP205107	2022-06-16	Western Europe	United Kingdom	MPXV_UK_2022_9000144
97	OP415195	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000217
98	ON880421	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_5/Belgium/2022
99	ON755040	2022-05-20	Western Europe	France	MPXV_IRBA22-14
100	OP257266	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-083179/2022
101	ON880420	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_4/Belgium/2022
102	OP123044	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-071246/2022
103	OP205114	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_9000152
104	OP123043	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-077836/2022
105	ON682267	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI010
106	ON983162	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3531/2022
107	OP382482	2022-07-04	Western Europe	France	hMPXV-IHU00005
108	ON627808	2022-05-20	North America	USA	MPX/human/USA/UT-UPHL-82200022/2022
109	OP820455	2022-08-08	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022
110	OP555521	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0437/2022
111	OP324472	2022-07-06	Southern Europe	Portugal	Monkeypox/PT0155/2022
112	ON880527	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3141/2022
113	OX291435	2022-07-25	Central Europe	Slovakia	RNA_1n65mx
114	OX291424	2022-07-25	Central Europe	Slovakia	RNA_40uloh
115	OP623592	2022-08-09	South America	Colombia	BOL-UNIMOL-MPX-293165-L
116	OP605584	2022-08-09	Central Europe	Slovenia	Slovenia-MPXV-43-2022
117	OP555548	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0469/2022
118	OP133007	2022-07-22	Western Europe	Austria	hMPXV/Austria/MUW1536480/2022
119	OX336038	2022-08-31	Central Europe	Slovakia	RNA_3vulpn
120	OX291694	2022-08-01	Central Europe	Slovakia	RNA_1bp4xw
121	OX291676	2022-08-01	Central Europe	Slovakia	RNA_2cx9dr
122	OX291780	2022-07-25	Central Europe	Slovakia	RNA_4xpo03
123	OP422343	2022-08-08	Western Europe	Austria	hMPXV/Austria/MUW1540386/2022
124	OP422340	2022-07-13	Western Europe	Austria	hMPXV/Austria/MUW1533948/2022
125	OX261749	2022-07-20	Central Europe	Slovakia	RNA_67xdvf
126	OX297403	2022-08-09	Central Europe	Slovakia	RNA_61uldk
127	OP598104	2022-09-13	North America	USA	MPXV/Human/USA/MA-USAFSAM-M0002/2022
128	OP603005	2022-07-01	North America	USA	MPXV_USA_2022_SC0003
129	OP837354	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI592
130	OP764629	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI571
131	OP764616	2022-06-30	Western Europe	Germany	MPXV/Germany/2022/RKI558
132	ON959135	2022-05-31	North America	USA	MPXV_USA_2022_NY004
133	OQ330977	2022-10-26	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00370/2022
134	OP303797	2022-06-29	North America	USA	MPXV_USA_2022_VA0003
135	OP133005	2022-07-05	Western Europe	Austria	hMPXV/Austria/MUW1531848/2022
136	OP133004	2022-07-11	Western Europe	Austria	hMPXV/Austria/MUW1533374/2022
137	OP324538	2022-06-22	Southern Europe	Portugal	Monkeypox/PT0229/2022
138	ON843181	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0045/2022
139	OP415266	2022-08-01	Western Europe	United Kingdom	MPX_ElGfGw_9000328
140	OP022170	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_5
141	OP555642	2022-09-05	Southern Europe	Portugal	Monkeypox/PT0571/2022
142	OP555637	2022-08-31	Southern Europe	Portugal	Monkeypox/PT0566/2022
143	OP414376	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0347/2022
144	OP390202	2022-07-17	Western Europe	United Kingdom	hMpxV/UK/LMO-040a/2022
145	OP390186	2022-06-20	Western Europe	United Kingdom	hMpxV/UK/LMO-004a/2022
