Month,Orig Country,Dest Country,Total Market Pax
9,United Kingdom,United Kingdom,1009863
9,United Kingdom,United States,619862
9,United States,Austria,40554
9,United States,Belgium,44553
9,United States,Canada,921574
9,United States,Colombia,165406
9,United States,France,260008
9,United States,Germany,446790
9,United States,Italy,279508
9,United States,Peru,57891
9,United States,Portugal,81017
9,United States,Slovakia,828
9,United States,Slovenia,1358
9,United States,Spain,221788
9,United States,Switzerland,94870
9,United States,United Kingdom,665588
9,United States,United States,44808478
