Month,Orig Country,Dest Country,Total Market Pax
11,Austria,Austria,5117
11,Austria,Belgium,18967
11,Austria,Canada,3289
11,Austria,Colombia,720
11,Austria,France,34125
11,Austria,Germany,128175
11,Austria,Italy,60307
11,Austria,Peru,672
11,Austria,Portugal,13795
11,Austria,Slovakia,641
11,Austria,Slovenia,42
11,Austria,Spain,68089
11,Austria,Switzerland,28588
11,Austria,United Kingdom,61850
11,Austria,United States,22473
11,Belgium,Austria,20146
11,Belgium,Belgium,1
11,Belgium,Canada,3621
11,Belgium,Colombia,691
11,Belgium,France,46302
11,Belgium,Germany,30662
11,Belgium,Italy,110930
11,Belgium,Peru,379
11,Belgium,Portugal,37539
11,Belgium,Slovakia,1431
11,Belgium,Slovenia,1703
11,Belgium,Spain,149828
11,Belgium,Switzerland,29406
11,Belgium,United Kingdom,39516
11,Belgium,United States,31863
11,Canada,Austria,3631
11,Canada,Belgium,3842
11,Canada,Canada,2259439
11,Canada,Colombia,10829
11,Canada,France,40479
11,Canada,Germany,25778
11,Canada,Italy,10374
11,Canada,Peru,3942
11,Canada,Portugal,14488
11,Canada,Slovakia,44
11,Canada,Slovenia,56
11,Canada,Spain,9286
11,Canada,Switzerland,6503
11,Canada,United Kingdom,59484
11,Canada,United States,973936
11,Colombia,Austria,681
11,Colombia,Belgium,673
11,Colombia,Canada,8032
11,Colombia,Colombia,2488370
11,Colombia,France,4949
11,Colombia,Germany,4231
11,Colombia,Italy,3119
11,Colombia,Peru,34886
11,Colombia,Portugal,909
11,Colombia,Spain,59649
11,Colombia,Switzerland,1443
11,Colombia,United Kingdom,5487
11,Colombia,United States,176287
11,France,Austria,35516
11,France,Belgium,47017
11,France,Canada,38933
11,France,Colombia,6067
11,France,France,1285869
11,France,Germany,121930
11,France,Italy,352207
11,France,Peru,4159
11,France,Portugal,260839
11,France,Slovakia,95
11,France,Slovenia,1753
11,France,Spain,360725
11,France,Switzerland,92533
11,France,United Kingdom,247450
11,France,United States,208135
11,Germany,Austria,128232
11,Germany,Belgium,29307
11,Germany,Canada,28946
11,Germany,Colombia,4630
11,Germany,France,117371
11,Germany,Germany,412040
11,Germany,Italy,243930
11,Germany,Peru,2287
11,Germany,Portugal,115760
11,Germany,Slovakia,708
11,Germany,Slovenia,2732
11,Germany,Spain,600538
11,Germany,Switzerland,101336
11,Germany,United Kingdom,323635
11,Germany,United States,283543
11,Italy,Austria,61438
11,Italy,Belgium,110587
11,Italy,Canada,13766
11,Italy,Colombia,3578
11,Italy,France,355912
11,Italy,Germany,259791
11,Italy,Italy,2150257
11,Italy,Peru,6816
11,Italy,Portugal,92229
11,Italy,Slovakia,5028
11,Italy,Slovenia,144
11,Italy,Spain,395558
