	accession	date	region_coarse	country	strain
0	ON838940	2022-05-20	Southern Europe	Spain	4061
1	ON838939	2022-06-06	Southern Europe	Spain	8887
2	OP413713	2022-07-31	Western Europe	United Kingdom	9000231
3	OP413714	2022-08-01	Western Europe	United Kingdom	9000289
4	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
5	OP536757	2022-08-01	Western Europe	United Kingdom	9000377
6	OP536761	2022-08-01	Western Europe	United Kingdom	9000382
7	OP536764	2022-09-01	Western Europe	United Kingdom	9000385
8	OP536765	2022-08-17	Western Europe	United Kingdom	9000387
9	OP536770	2022-08-08	Western Europe	United Kingdom	9000392
10	OP536771	2022-08-09	Western Europe	United Kingdom	9000393
11	OP536772	2022-08-12	Western Europe	United Kingdom	9000394
12	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
13	OP536776	2022-09-01	Western Europe	United Kingdom	9000398
14	OP536777	2022-09-01	Western Europe	United Kingdom	9000399
15	OP536778	2022-09-01	Western Europe	United Kingdom	9000400
16	OP536779	2022-09-01	Western Europe	United Kingdom	9000403
17	OP536781	2022-09-02	Western Europe	United Kingdom	9000405
18	OP536782	2022-09-02	Western Europe	United Kingdom	9000406
19	OP536783	2022-09-30	Western Europe	United Kingdom	9000407
20	OP536784	2022-09-01	Western Europe	United Kingdom	9000408
21	OP536785	2022-09-01	Western Europe	United Kingdom	9000409
22	OP536789	2022-08-31	Western Europe	United Kingdom	9000415
23	OP536791	2022-08-31	Western Europe	United Kingdom	9000417
24	OP536794	2022-08-31	Western Europe	United Kingdom	9000420
25	OP536798	2022-08-01	Western Europe	United Kingdom	9000424
26	OP536800	2022-08-01	Western Europe	United Kingdom	9000426
27	OP536801	2022-09-01	Western Europe	United Kingdom	9000429
28	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
29	OP536803	2022-09-02	Western Europe	United Kingdom	9000431
30	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
31	OP536805	2022-07-24	Western Europe	United Kingdom	9000435
32	OP536806	2022-08-01	Western Europe	United Kingdom	9000437
33	OP536807	2022-09-30	Western Europe	United Kingdom	9000438
34	OP536808	2022-08-31	Western Europe	United Kingdom	9000442
35	OP536810	2022-08-01	Western Europe	United Kingdom	9000445
36	OP536811	2022-09-01	Western Europe	United Kingdom	9000448
37	OP536813	2022-09-01	Western Europe	United Kingdom	9000451
38	OP536814	2022-09-01	Western Europe	United Kingdom	9000452
39	OP536815	2022-09-01	Western Europe	United Kingdom	9000453
40	ON676708	2021-11-25	North America	USA	MPXV_USA_2021_MD
41	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
42	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
43	OP722510	2022-07-20	North America	USA	MPX/Human/USA/CA-LACPHL-MA00251/2022
44	OP555511	2022-07-28	Southern Europe	Portugal	Monkeypox/PT0421/2022
45	OP382487	2022-07-18	Western Europe	France	hMPXV-IHU00010
46	ON959164	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI150
47	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
48	OP555495	2022-07-18	Southern Europe	Portugal	Monkeypox/PT0399/2022
49	OP245351	2022-07-13	Southern Europe	Portugal	MPX/PT0118/2022
50	OP555594	2022-08-17	Southern Europe	Portugal	Monkeypox/PT0523/2022
51	OP414384	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0357/2022
52	OP587243	2022-06-30	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000013/2022
53	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
54	ON808416	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1d
55	ON983161	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3530/2022
56	OP415275	2022-08-01	Western Europe	United Kingdom	MPX_o3VuSh_9000348
57	ON803428	2022-05-21	North America	Canada	MpxV/human/CAN/UN-NML-2869/2022
58	OP205130	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000185
59	ON929086	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI131
60	OP205135	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000190
61	ON959134	2022-05-01	North America	USA	MPXV_USA_2022_NY003
62	OP539931	2022-09-02	North America	USA	MPX/Human/USA/CA-LACPHL-MA00146/2022
63	OP245322	2022-07-25	Southern Europe	Portugal	MPX/PT0068/2022
64	OX261748	2022-07-13	Central Europe	Slovakia	RNA
65	OP555612	2022-08-23	Southern Europe	Portugal	Monkeypox/PT0541/2022
66	ON880525	2022-05-25	North America	Canada	MpxV/human/CAN/UN-NML-3086/2022
67	OP205074	2022-06-07	Western Europe	United Kingdom	MPXV_UK_2022_9000068
68	ON880531	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3165/2022
69	OP415196	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000218
70	ON676704	2022-05-16	North America	USA	MPXV_USA_2022_FL002
71	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
72	OP603008	2022-07-01	North America	USA	MPXV_USA_2022_NY0022
73	OP150926	2022-05-01	North America	USA	MPXV_USA_2022_PA001
74	OP270028	2022-07-07	North America	Canada	MpxV/human/CAN/UN-NML-4038/2022
75	OP555526	2022-08-03	Southern Europe	Portugal	Monkeypox/PT0445/2022
76	OP414379	2022-05-24	Southern Europe	Portugal	Monkeypox/PT0350/2022
77	OP414361	2022-06-01	Southern Europe	Portugal	Monkeypox/PT0330/2022
78	OP215204	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI188
79	OQ159050	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI655
80	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
81	OP120937	2022-05-01	Southern Europe	Spain	MP01CHUAC
82	OP687934	2022-08-01	North America	USA	MPXV_USA_2022_MN0007
83	OP604522	2022-06-01	North America	USA	MPXV_USA_2022_PA0008
84	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
85	OP414369	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0340/2022
86	ON649717	2022-05-21	Southern Europe	Portugal	Monkeypox/PT0019/2022
87	ON682264	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI05
88	OP415281	2022-08-01	Western Europe	United Kingdom	MPX_hSAaEl_9000356
89	OP440555	2022-07-25	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00047/2022
90	ON694341	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI012
91	OP605575	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-33-2022
92	ON745215	2022-05-19	Southern Europe	Italy	INMI-Pt2
93	OP722515	2022-07-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00256/2022
94	OP414332	2022-06-08	Southern Europe	Portugal	Monkeypox/PT0298/2022
95	OP324465	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0148/2022
96	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
97	ON803444	2022-05-24	North America	Canada	MpxV/human/CAN/UN-NML-2969/2022
98	ON682270	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI06
99	OP392536	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-080292/2022
100	ON622720	2022-05-24	Western Europe	Switzerland	MPXV-CH-38156923/2022
101	OP605580	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-39-2022
102	OP605558	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-16-2022
103	OP555524	2022-08-03	Southern Europe	Portugal	Monkeypox/PT0442/2022
104	ON880524	2022-05-26	North America	Canada	MpxV/human/CAN/UN-NML-3080/2022
105	OP743357	2022-05-21	North America	USA	MPXV/Human/USA/UT-UPHL-82200022/2022
106	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
107	OP205125	2022-06-24	Western Europe	United Kingdom	MPXV_UK_2022_9000175
108	OP451013	2022-06-01	North America	USA	MPXV_USA_2022_CA0057
109	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
110	OP414381	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0354/2022
111	OP555499	2022-07-19	Southern Europe	Portugal	Monkeypox/PT0403/2022
112	OP414360	2022-05-31	Southern Europe	Portugal	Monkeypox/PT0328/2022
113	OP390199	2022-07-14	Western Europe	United Kingdom	hMpxV/UK/LMO-034a/2022
114	ON585035	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0009/2022
115	ON880520	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2857/2022
116	ON803426	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2856/2022
117	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
118	ON645312	2022-05-11	Western Europe	United Kingdom	MPXV_GSTT_Patient1
119	OP715827	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI547
120	ON843180	2022-06-03	Southern Europe	Portugal	Monkeypox/PT0042/2022
121	OP415194	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000216
122	OP727820	2022-07-29	Western Europe	Belgium	PEV_case
123	OQ121019	2022-07-12	North America	USA	hMpxV/USA/CA-CDPH-1000065/2022
124	OP414365	2022-05-29	Southern Europe	Portugal	Monkeypox/PT0335/2022
125	OP555660	2022-09-14	Southern Europe	Portugal	Monkeypox/PT0593/2022
126	OP555648	2022-09-09	Southern Europe	Portugal	Monkeypox/PT0577/2022
127	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
128	ON803440	2022-05-22	North America	Canada	MpxV/human/CAN/UN-NML-2954/2022
129	OP605563	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-21-2022
130	OP414337	2022-06-07	Southern Europe	Portugal	Monkeypox/PT0303/2022
131	ON619835	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_1
132	OQ330979	2022-12-05	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022
133	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
134	OP536695	2022-06-16	North America	USA	MPXV-USA-IL-IDPH-034
135	ON627808	2022-05-20	North America	USA	MPX/human/USA/UT-UPHL-82200022/2022
136	ON676706	2022-05-01	North America	USA	MPXV_USA_2022_UT002
137	OP450994	2022-06-01	North America	USA	MPXV_USA_2022_IL0045
138	OP215236	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI194
139	OP382490	2022-07-20	Western Europe	France	hMPXV-IHU00013
140	OP245328	2022-07-27	Southern Europe	Portugal	MPX/PT0074/2022
141	OP555555	2022-08-09	Southern Europe	Portugal	Monkeypox/PT0476/2022
142	OP414364	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0333/2022
143	OP205134	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000189
144	OP555470	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0374/2022
145	ON959174	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI161
146	OP215220	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI224
147	OP605559	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-17-2022
148	OP324532	2022-06-24	Southern Europe	Portugal	Monkeypox/PT0222/2022
149	OP605571	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-29-2022
150	OP414372	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0343/2022
151	ON682263	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI03
152	OP295383	2022-07-29	South America	Colombia	INS-MPXV-0016-H1
