accession	strain_region_coarse_date
OP920696	MPXV/Human/USA/CA-LACPHL-MA00358/2022_NorthAmerica_2022-11-05	accession
OP890541	MPXV/Human/USA/CA-LACPHL-MA00307/2022_NorthAmerica_2022-09-28	accession
OP890535	MPXV/Human/USA/CA-LACPHL-MA00301/2022_NorthAmerica_2022-09-27	accession
OP890545	MPXV/Human/USA/CA-LACPHL-MA00287/2022_NorthAmerica_2022-10-04	accession
OP415271	MPX_Mfh7qh_9000333_WesternEurope_2022-08-15	accession
OP523992	MPXV/Germany/2022/RKI390_WesternEurope_2022-09-01	accession
OP215246	MPXV/Germany/2022/RKI210_WesternEurope_2022-08-01	accession
OQ148466	LBMB-UTP_MP-009_TOL_SouthAmerica_2022-09-13	accession
ON880537	MpxV/human/CAN/UN-NML-3273/2022_NorthAmerica_2022-05-31	accession
OP422343	hMPXV/Austria/MUW1540386/2022_WesternEurope_2022-08-08	accession
OP422340	hMPXV/Austria/MUW1533948/2022_WesternEurope_2022-07-13	accession
OP205136	MPXV_UK_2022_9000191_WesternEurope_2022-07-04	accession
OP415185	MPX_wQMHV0_9000204_WesternEurope_2022-07-01	accession
OP324502	Monkeypox/PT0188/2022_SouthernEurope_2022-06-28	accession
OP523991	MPXV/Germany/2022/RKI389_WesternEurope_2022-09-01	accession
OP215244	MPXV/Germany/2022/RKI207_WesternEurope_2022-08-01	accession
OP018596	MPXV/Germany/2022/RKI171_WesternEurope_2022-07-31	accession
OP594196	MPXV/Germany/2022/RKI432_WesternEurope_2022-09-01	accession
OP594197	MPXV/Germany/2022/RKI433_WesternEurope_2022-09-01	accession
OP215286	MPXV/Germany/2022/RKI267_WesternEurope_2022-08-25	accession
OP920692	MPXV/Human/USA/CA-LACPHL-MA00354/2022_NorthAmerica_2022-10-16	accession
OP588274	MPXV/Germany/2022/ON/RKI411_WesternEurope_2022-09-01	accession
OP494259	MPXV/Germany/2022/ON/RKI376_WesternEurope_2022-09-01	accession
OP604533	MPXV_USA_2022_CA0035_NorthAmerica_2022-06-24	accession
OP339851	MPXV/Germany/2022/RKI294_WesternEurope_2022-08-24	accession
OP339852	MPXV/Germany/2022/RKI295_WesternEurope_2022-08-24	accession
OP555624	Monkeypox/PT0553/2022_SouthernEurope_2022-08-26	accession
OP555626	Monkeypox/PT0555/2022_SouthernEurope_2022-08-29	accession
OP555616	Monkeypox/PT0545/2022_SouthernEurope_2022-08-26	accession
OP415245	MPX_jW1uT9_9000283_WesternEurope_2022-08-01	accession
OP205096	MPXV_UK_2022_9000108_WesternEurope_2022-06-14	accession
OP205092	MPXV_UK_2022_9000104_WesternEurope_2022-06-12	accession
OP539930	MPX/Human/USA/CA-LACPHL-MA00145/2022_NorthAmerica_2022-08-30	accession
OP415209	MPX_Fap1fz_9000235_WesternEurope_2022-07-24	accession
OP415208	MPX_Fap1fz_9000234_WesternEurope_2022-07-24	accession
ON622713	MPX/UZ_REGA_2/Belgium/2022_WesternEurope_2022-05-22	accession
OQ159044	MPXV/Germany/2022/ON/RKI649_WesternEurope_2022-08-24	accession
OP484690	MPXV/Germany/2022/RKI369_WesternEurope_2022-09-03	accession
OP555660	Monkeypox/PT0593/2022_SouthernEurope_2022-09-14	accession
OP494260	MPXV/Germany/2022/ON/RKI308_WesternEurope_2022-09-10	accession
OP484688	MPXV/Germany/2022/RKI367_WesternEurope_2022-09-30	accession
OP339856	MPXV/Germany/2022/RKI299_WesternEurope_2022-08-24	accession
OP615323	MPXV/Germany/2022/ON/RKI447_WesternEurope_2022-09-01	accession
OP373392	MPXV/Germany/2022/RKI334_WesternEurope_2022-09-01	accession
OP414287	Monkeypox/PT0243/2022_SouthernEurope_2022-06-21	accession
OP414367	Monkeypox/PT0338/2022_SouthernEurope_2022-05-26	accession
OP414347	Monkeypox/PT0314/2022_SouthernEurope_2022-06-05	accession
OP215220	MPXV/Germany/2022/RKI224_WesternEurope_2022-08-01	accession
OP555471	Monkeypox/PT0375/2022_SouthernEurope_2022-07-06	accession
OP324462	Monkeypox/PT0143/2022_SouthernEurope_2022-07-07	accession
OP415210	MPX_KMgssq_9000236_WesternEurope_2022-07-23	accession
OP415211	MPX_KMgssq_9000237_WesternEurope_2022-07-23	accession
OP743960	MpxV/human/USA/WA-UW-085326/2022_NorthAmerica_2022-08-19	accession
OP392552	MpxV/human/USA/WA-UW-088325/2022_NorthAmerica_2022-08-01	accession
OP328308	MpxV/human/USA/WA-UW-083083/2022_NorthAmerica_2022-08-18	accession
OP626138	MPXV/Germany/2022/RKI499_WesternEurope_2022-09-11	accession
OP615327	MPXV/Germany/2022/ON/RKI450_WesternEurope_2022-09-12	accession
OP494263	MPXV/Germany/2022/ON/RKI316_WesternEurope_2022-09-12	accession
OP414318	Monkeypox/PT0278/2022_SouthernEurope_2022-06-14	accession
OP414298	Monkeypox/PT0257/2022_SouthernEurope_2022-06-18	accession
OP324530	Monkeypox/PT0220/2022_SouthernEurope_2022-06-23	accession
OP205115	MPXV_UK_2022_9000157_WesternEurope_2022-07-07	accession
OP555507	Monkeypox/PT0414/2022_SouthernEurope_2022-07-26	accession
OP390202	hMpxV/UK/LMO-040a/2022_WesternEurope_2022-07-17	accession
OP536670	MPXV-USA-IL-IDPH-009_NorthAmerica_2022-07-05	accession
OP536722	MPXV-USA-IL-IDPH-061_NorthAmerica_2022-06-24	accession
OP536684	MPXV-USA-IL-IDPH-023_NorthAmerica_2022-06-02	accession
ON813260	MPXV/Germany/2022/RKI056_WesternEurope_2022-06-25	accession
OP205123	MPXV_UK_2022_9000167_WesternEurope_2022-06-30	accession
ON755243	MPXV/Germany/2022/RKI037_WesternEurope_2022-06-25	accession
OP715816	MPXV/Germany/2022/RKI536_WesternEurope_2022-06-30	accession
OP523985	MPXV/Germany/2022/RKI383_WesternEurope_2022-09-01	accession
ON929086	MPXV/Germany/2022/RKI131_WesternEurope_2022-07-01	accession
OP555600	Monkeypox/PT0529/2022_SouthernEurope_2022-08-22	accession
OP837478	DC_INS_MPX_1011_L_SouthAmerica_2022-09-20	accession
OP295383	INS-MPXV-0016-H1_SouthAmerica_2022-07-29	accession
OP594194	MPXV/Germany/2022/RKI430_WesternEurope_2022-09-01	accession
OP594195	MPXV/Germany/2022/RKI431_WesternEurope_2022-09-01	accession
OP215282	MPXV/Germany/2022/RKI263_WesternEurope_2022-08-25	accession
OP555634	Monkeypox/PT0563/2022_SouthernEurope_2022-09-05	accession
OP555647	Monkeypox/PT0576/2022_SouthernEurope_2022-09-05	accession
OP555590	Monkeypox/PT0519/2022_SouthernEurope_2022-08-17	accession
OP205095	MPXV_UK_2022_9000107_WesternEurope_2022-06-13	accession
OP555498	Monkeypox/PT0402/2022_SouthernEurope_2022-07-19	accession
ON619837	MPXV_UK_2022_3_WesternEurope_2022-05-31	accession
OP603004	MPXV_USA_2022_MN0004_NorthAmerica_2022-07-01	accession
OP597784	MN-MDH-MPXV_0010_NorthAmerica_2022-07-12	accession
OP597780	MN-MDH-MPXV_0006_NorthAmerica_2022-06-29	accession
OP440587	hMPX/Human/USA/CA-LACPHL-MA00018/2022_NorthAmerica_2022-07-27	accession
OP414386	Monkeypox/PT0363/2022_SouthernEurope_2022-06-27	accession
OP414320	Monkeypox/PT0281/2022_SouthernEurope_2022-06-09	accession
OP414319	Monkeypox/PT0280/2022_SouthernEurope_2022-06-14	accession
OP415235	MPX_YhLyQX_9000266_WesternEurope_2022-08-01	accession
OP484676	MPXV/Germany/2022/RKI355_WesternEurope_2022-09-01	accession
OQ331003	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00392/2022_NorthAmerica_2022-12-06	accession
OP689685	MPXV/Germany/2022/RKI533_WesternEurope_2022-07-25	accession
OP414376	Monkeypox/PT0347/2022_SouthernEurope_2022-05-26	accession
OP390196	hMpxV/UK/LMO-031a/2022_WesternEurope_2022-07-08	accession
OP390186	hMpxV/UK/LMO-004a/2022_WesternEurope_2022-06-20	accession
OP390188	hMpxV/UK/LMO-007a/2022_WesternEurope_2022-06-20	accession
ON843182	Monkeypox/PT0044/2022_SouthernEurope_2022-05-30	accession
OP414315	Monkeypox/PT0275/2022_SouthernEurope_2022-06-14	accession
OP414294	Monkeypox/PT0253/2022_SouthernEurope_2022-06-21	accession
OP414293	Monkeypox/PT0252/2022_SouthernEurope_2022-06-21	accession
OP324537	Monkeypox/PT0228/2022_SouthernEurope_2022-06-22	accession
OP324536	Monkeypox/PT0226/2022_SouthernEurope_2022-06-22	accession
OP555615	Monkeypox/PT0544/2022_SouthernEurope_2022-08-25	accession
OP555539	Monkeypox/PT0458/2022_SouthernEurope_2022-08-04	accession
OP536695	MPXV-USA-IL-IDPH-034_NorthAmerica_2022-06-16	accession
OP536739	MPXV-USA-IL-IDPH-078_NorthAmerica_2022-06-30	accession
OP536742	MPXV-USA-IL-IDPH-081_NorthAmerica_2022-07-02	accession
OP536741	MPXV-USA-IL-IDPH-080_NorthAmerica_2022-07-01	accession
OP415283	MPX_QfgFmq_9000359_WesternEurope_2022-08-25	accession
OP415225	MPX_vBjMTK_9000255_WesternEurope_2022-08-31	accession
OP414330	Monkeypox/PT0296/2022_SouthernEurope_2022-06-08	accession
ON959165	MPXV/Germany/2022/RKI151_WesternEurope_2022-07-01	accession
OP837340	MPXV/Germany/2022/RKI578_WesternEurope_2022-06-09	accession
OP837341	MPXV/Germany/2022/RKI579_WesternEurope_2022-06-01	accession
OP339853	MPXV/Germany/2022/RKI296_WesternEurope_2022-08-31	accession
OP215275	MPXV/Germany/2022/RKI256_WesternEurope_2022-08-01	accession
OP863251	MPXV/Germany/2022/ON/RKI601_WesternEurope_2022-08-01	accession
OP863252	MPXV/Germany/2022/ON/RKI602_WesternEurope_2022-08-01	accession
OP696841	MPXV/Germany/2022/RKI338_WesternEurope_2022-07-01	accession
ON803431	MpxV/human/CAN/UN-NML-2883/2022_NorthAmerica_2022-05-20	accession
OP604530	MPXV_USA_2022_FL0021_NorthAmerica_2022-06-01	accession
ON803432	MpxV/human/CAN/UN-NML-2884/2022_NorthAmerica_2022-05-20	accession
OQ159052	MPXV/Germany/2022/ON/RKI657_WesternEurope_2022-08-01	accession
OQ159051	MPXV/Germany/2022/ON/RKI656_WesternEurope_2022-08-01	accession
OP150923	MPXV_USA_2022_CA007_NorthAmerica_2022-06-01	accession
ON954773	MPXV_USA_2022_CA002_NorthAmerica_2022-05-31	accession
OQ054227	MPXV_USA_2022_NC0012_NorthAmerica_2022-09-22	accession
OP751214	B1118395_NorthAmerica_2022-09-03	accession
OP935995	B1118436_NorthAmerica_2022-10-02	accession
OP751215	B1118394_NorthAmerica_2022-09-04	accession
OP185715	MPXV_USA_2022_CO0002_NorthAmerica_2022-05-29	accession
OQ121018	hMpxV/USA/CA-CDPH-1000064/2022_NorthAmerica_2022-07-25	accession
OP539903	MPX/Human/USA/CA-LACPHL-MA00118/2022_NorthAmerica_2022-08-29	accession
OP539887	MPX/Human/USA/CA-LACPHL-MA00102/2022_NorthAmerica_2022-09-01	accession
OP555495	Monkeypox/PT0399/2022_SouthernEurope_2022-07-18	accession
OP484689	MPXV/Germany/2022/RKI368_WesternEurope_2022-09-24	accession
OQ159030	MPXV/Germany/2022/ON/RKI635_WesternEurope_2022-08-24	accession
OP215229	MPXV/Germany/2022/RKI250_WesternEurope_2022-08-24	accession
OX291676	RNA_7b8145_CentralEurope_2022-08-01	accession
OX291780	RNA_2rgt57_CentralEurope_2022-07-25	accession
OP615325	MPXV/Germany/2022/ON/RKI449_WesternEurope_2022-09-01	accession
OP615324	MPXV/Germany/2022/ON/RKI448_WesternEurope_2022-09-01	accession
OP580607	hMPX/USA/CA-LACPHL-MA00174/2022_NorthAmerica_2022-08-03	accession
OP890534	MPXV/Human/USA/CA-LACPHL-MA00300/2022_NorthAmerica_2022-09-27	accession
OP539895	MPX/Human/USA/CA-LACPHL-MA00110/2022_NorthAmerica_2022-08-31	accession
OP539890	MPX/Human/USA/CA-LACPHL-MA00105/2022_NorthAmerica_2022-08-24	accession
OP626124	MPXV/Germany/2022/RKI486_WesternEurope_2022-07-20	accession
OP539926	MPX/Human/USA/CA-LACPHL-MA00141/2022_NorthAmerica_2022-08-25	accession
OP414300	Monkeypox/PT0259/2022_SouthernEurope_2022-06-19	accession
OP324515	Monkeypox/PT0204/2022_SouthernEurope_2022-06-25	accession
OP215260	MPXV/Germany/2022/RKI236_WesternEurope_2022-08-25	accession
OQ159029	MPXV/Germany/2022/ON/RKI634_WesternEurope_2022-08-17	accession
OP215271	MPXV/Germany/2022/RKI269_WesternEurope_2022-08-17	accession
OP680494	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00216/2022_NorthAmerica_2022-07-13	accession
OP263631	MPXV/Germany/2022/RKI276_WesternEurope_2022-08-01	accession
OP324528	Monkeypox/PT0218/2022_SouthernEurope_2022-06-23	accession
OP390197	hMpxV/UK/LMO-032a/2022_WesternEurope_2022-07-11	accession
OP205113	MPXV_UK_2022_9000150_WesternEurope_2022-06-16	accession
OP415263	MPX_1bN2W6_9000324_WesternEurope_2022-08-25	accession
OP415227	MPX_1bN2W6_9000258_WesternEurope_2022-08-25	accession
OP415261	MPX_1bN2W6_9000321_WesternEurope_2022-08-25	accession
OP245360	MPX/PT0127/2022_SouthernEurope_2022-07-12	accession
OP414321	Monkeypox/PT0282/2022_SouthernEurope_2022-06-12	accession
OP414284	Monkeypox/PT0240/2022_SouthernEurope_2022-06-21	accession
OP324483	Monkeypox/PT0168/2022_SouthernEurope_2022-07-03	accession
OP324460	Monkeypox/PT0139/2022_SouthernEurope_2022-07-11	accession
OP245345	MPX/PT0111/2022_SouthernEurope_2022-07-15	accession
OP324484	Monkeypox/PT0169/2022_SouthernEurope_2022-07-03	accession
OP324478	Monkeypox/PT0161/2022_SouthernEurope_2022-07-05	accession
OP245341	MPX/PT0098/2022_SouthernEurope_2022-07-20	accession
OP215285	MPXV/Germany/2022/RKI266_WesternEurope_2022-08-01	accession
OP414356	Monkeypox/PT0324/2022_SouthernEurope_2022-06-03	accession
OP414348	Monkeypox/PT0315/2022_SouthernEurope_2022-06-03	accession
OP324524	Monkeypox/PT0214/2022_SouthernEurope_2022-06-24	accession
OP324519	Monkeypox/PT0209/2022_SouthernEurope_2022-06-24	accession
OP324479	Monkeypox/PT0162/2022_SouthernEurope_2022-06-30	accession
OP743364	MPXV/Human/USA/UT-UPHL-82200120/2022_NorthAmerica_2022-07-26	accession
OQ054245	MPXV_USA_2022_CA0030_NorthAmerica_2022-09-01	accession
OP752104	MPXV_USA_2022_AZ0006_NorthAmerica_2022-08-21	accession
OP920679	MPXV/Human/USA/CA-LACPHL-MA00341/2022_NorthAmerica_2022-10-19	accession
OP747060	MpxV/human/USA/WA-UW-104793/2022_NorthAmerica_2022-10-06	accession
OP743979	MpxV/human/USA/WA-UW-092912/2022_NorthAmerica_2022-09-01	accession
OP392541	MpxV/human/USA/WA-UW-082880/2022_NorthAmerica_2022-08-23	accession
OP628454	MpxV/human/USA/WA-UW-084082/2022_NorthAmerica_2022-08-25	accession
OP628476	MpxV/human/USA/WA-UW-087572/2022_NorthAmerica_2022-08-25	accession
OP628444	MpxV/human/USA/WA-UW-081603/2022_NorthAmerica_2022-08-25	accession
OP587254	MPXV/Human/USA/CA-CDPH-MPX000025/2022_NorthAmerica_2022-07-08	accession
OP381203	hMpxV/USA/ID-IBL-839943/2022_NorthAmerica_2022-07-26	accession
OP920688	MPXV/Human/USA/CA-LACPHL-MA00350/2022_NorthAmerica_2022-10-11	accession
OQ330970	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00366/2022_NorthAmerica_2022-08-19	accession
OP442542	hMPX/Human/USA/CA-LACPHL-MA00066/2022_NorthAmerica_2022-08-18	accession
OP133007	hMPXV/Austria/MUW1536480/2022_WesternEurope_2022-07-22	accession
OP555613	Monkeypox/PT0542/2022_SouthernEurope_2022-08-23	accession
OP555584	Monkeypox/PT0512/2022_SouthernEurope_2022-08-16	accession
OP555566	Monkeypox/PT0490/2022_SouthernEurope_2022-08-11	accession
OP555548	Monkeypox/PT0469/2022_SouthernEurope_2022-08-08	accession
OP881949	MPXV_USA_2022_MD0007_NorthAmerica_2022-09-01	accession
OP605567	Slovenia-MPXV-25-2022_CentralEurope_2022-07-01	accession
OP597779	MN-MDH-MPXV_0005_NorthAmerica_2022-06-29	accession
OP415282	MPX_yttrq1_9000358_WesternEurope_2022-08-24	accession
OP415248	MPX_XJRG9b_9000293_WesternEurope_2022-08-24	accession
OP144217	MPXV/ITM_pt_09/Belgium/2-Jun-2022_WesternEurope_2022-06-02	accession
OP144213	MPXV/ITM_pt_24/Belgium/16-Jun-2022_WesternEurope_2022-06-16	accession
OP144216	MPXV/ITM_pt_07/Belgium/30-May-2022_WesternEurope_2022-05-30	accession
OP144215	MPXV/ITM_pt_05/Belgium/30-May-2022_WesternEurope_2022-05-30	accession
OP144211	MPXV/ITM_pt_10/Belgium/1-Jun-2022_WesternEurope_2022-06-01	accession
OQ121036	hMpxV/USA/CA-CDPH-1000082/2022_NorthAmerica_2022-06-23	accession
OQ121034	hMpxV/USA/CA-CDPH-1000080/2022_NorthAmerica_2022-07-17	accession
OQ121028	hMpxV/USA/CA-CDPH-1000074/2022_NorthAmerica_2022-10-14	accession
OP863229	hMpxV/USA/CA-CDPH-000055/2022_NorthAmerica_2022-10-07	accession
OP863230	hMpxV/USA/CA-CDPH-000056/2022_NorthAmerica_2022-10-07	accession
OP920691	MPXV/Human/USA/CA-LACPHL-MA00353/2022_NorthAmerica_2022-10-12	accession
OP580595	hMPX/USA/CA-LACPHL-MA00162/2022_NorthAmerica_2022-09-22	accession
OP680496	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00218/2022_NorthAmerica_2022-10-05	accession
OP890543	MPXV/Human/USA/CA-LACPHL-MA00285/2022_NorthAmerica_2022-09-27	accession
OP680489	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00211/2022_NorthAmerica_2022-09-30	accession
OP215283	MPXV/Germany/2022/RKI264_WesternEurope_2022-08-01	accession
ON568298	MPXV-BY-IMB25241_WesternEurope_2022-05-19	accession
OP580592	hMPX/USA/CA-LACPHL-MA00159/2022_NorthAmerica_2022-08-01	accession
OP215206	MPXV/Germany/2022/RKI243_WesternEurope_2022-08-01	accession
ON927243	MpxV/Spain/MD-HGUGM-6642566/2022_SouthernEurope_2022-06-21	accession
OP215213	MPXV/Germany/2022/RKI209_WesternEurope_2022-08-04	accession
OP215238	MPXV/Germany/2022/RKI197_WesternEurope_2022-08-01	accession
OQ159032	MPXV/Germany/2022/ON/RKI637_WesternEurope_2022-08-01	accession
OP689683	MPXV/Germany/2022/RKI530_WesternEurope_2022-07-31	accession
OP339850	MPXV/Germany/2022/RKI293_WesternEurope_2022-08-01	accession
OP603007	MPXV_USA_2022_PA0007_NorthAmerica_2022-06-20	accession
OP555516	Monkeypox/PT0431/2022_SouthernEurope_2022-08-01	accession
OP494265	MPXV/Germany/2022/ON/RKI374_WesternEurope_2022-09-01	accession
OP837353	MPXV/Germany/2022/RKI591_WesternEurope_2022-06-30	accession
ON959162	MPXV/Germany/2022/RKI148_WesternEurope_2022-07-01	accession
OP555474	Monkeypox/PT0378/2022_SouthernEurope_2022-07-06	accession
OP324467	Monkeypox/PT0150/2022_SouthernEurope_2022-07-06	accession
OP324504	Monkeypox/PT0190/2022_SouthernEurope_2022-06-28	accession
OP414308	Monkeypox/PT0268/2022_SouthernEurope_2022-06-17	accession
OP324520	Monkeypox/PT0210/2022_SouthernEurope_2022-06-25	accession
OP324501	Monkeypox/PT0187/2022_SouthernEurope_2022-06-29	accession
OP680506	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00228/2022_NorthAmerica_2022-10-04	accession
OP628460	MpxV/human/USA/WA-UW-084693/2022_NorthAmerica_2022-08-01	accession
OQ331005	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00396/2023_NorthAmerica_2023-01-03	accession
OQ331007	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00398/2023_NorthAmerica_2023-01-03	accession
OQ330972	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00372/2022_NorthAmerica_2022-10-18	accession
OP722513	MPX/Human/USA/CA-LACPHL-MA00254/2022_NorthAmerica_2022-10-11	accession
OP555517	Monkeypox/PT0432/2022_SouthernEurope_2022-07-31	accession
OP555637	Monkeypox/PT0566/2022_SouthernEurope_2022-08-31	accession
OP555642	Monkeypox/PT0571/2022_SouthernEurope_2022-09-05	accession
OP555636	Monkeypox/PT0565/2022_SouthernEurope_2022-09-05	accession
OP555646	Monkeypox/PT0575/2022_SouthernEurope_2022-09-06	accession
OP555630	Monkeypox/PT0559/2022_SouthernEurope_2022-08-30	accession
OP484681	MPXV/Germany/2022/RKI360_WesternEurope_2022-09-01	accession
OP215270	MPXV/Germany/2022/RKI255_WesternEurope_2022-08-01	accession
OP324514	Monkeypox/PT0203/2022_SouthernEurope_2022-06-23	accession
OP324472	Monkeypox/PT0155/2022_SouthernEurope_2022-07-06	accession
OP555560	Monkeypox/PT0482/2022_SouthernEurope_2022-08-10	accession
OP555559	Monkeypox/PT0480/2022_SouthernEurope_2022-08-09	accession
OP440600	hMPX/Human/USA/CA-LACPHL-MA00027/2022_NorthAmerica_2022-07-01	accession
OP013007	MpxV/human/CAN/UN-NML-3549/2022_NorthAmerica_2022-06-07	accession
OP351278	MPXV22/human/USA-OK-21_NorthAmerica_2022-06-14	accession
ON880536	MpxV/human/CAN/UN-NML-3272/2022_NorthAmerica_2022-05-31	accession
OP587259	MPXV/Human/USA/CA-CDPH-MPX000037/2022_NorthAmerica_2022-08-11	accession
OP539925	MPX/Human/USA/CA-LACPHL-MA00140/2022_NorthAmerica_2022-08-19	accession
ON929069	MPXV/Germany/2022/RKI111_WesternEurope_2022-07-31	accession
OP245322	MPX/PT0068/2022_SouthernEurope_2022-07-25	accession
OP615265	MPX/Human/USA/CA-LACPHL-MA00192/2022_NorthAmerica_2022-07-19	accession
OP555577	Monkeypox/PT0503/2022_SouthernEurope_2022-08-12	accession
OP555570	Monkeypox/PT0496/2022_SouthernEurope_2022-08-13	accession
OP555572	Monkeypox/PT0498/2022_SouthernEurope_2022-08-15	accession
OP555544	Monkeypox/PT0465/2022_SouthernEurope_2022-08-07	accession
OP245350	MPX/PT0117/2022_SouthernEurope_2022-07-14	accession
OP414388	Monkeypox/PT0365/2022_SouthernEurope_2022-06-27	accession
OP324481	Monkeypox/PT0164/2022_SouthernEurope_2022-07-05	accession
OP414295	Monkeypox/PT0254/2022_SouthernEurope_2022-06-19	accession
OP324470	Monkeypox/PT0153/2022_SouthernEurope_2022-07-06	accession
OP555503	Monkeypox/PT0409/2022_SouthernEurope_2022-07-25	accession
OP215258	MPXV/Germany/2022/RKI232_WesternEurope_2022-08-01	accession
OP555629	Monkeypox/PT0558/2022_SouthernEurope_2022-08-30	accession
OP555555	Monkeypox/PT0476/2022_SouthernEurope_2022-08-09	accession
OP555534	Monkeypox/PT0453/2022_SouthernEurope_2022-08-05	accession
OP555536	Monkeypox/PT0455/2022_SouthernEurope_2022-08-04	accession
OP555546	Monkeypox/PT0467/2022_SouthernEurope_2022-08-05	accession
OP555576	Monkeypox/PT0502/2022_SouthernEurope_2022-08-12	accession
OP555543	Monkeypox/PT0464/2022_SouthernEurope_2022-08-07	accession
OP863219	hMpxV/USA/CA-CDPH-000044/2022_NorthAmerica_2022-07-01	accession
OP587247	MPXV/Human/USA/CA-CDPH-MPX000018/2022_NorthAmerica_2022-07-06	accession
OP863218	hMpxV/USA/CA-CDPH-000043/2022_NorthAmerica_2022-07-01	accession
OP587264	MPXV/Human/USA/CA-CDPH-MPX000040/2022_NorthAmerica_2022-08-07	accession
OP687928	MPXV_USA_2022_CA0037_NorthAmerica_2022-06-30	accession
OP587243	MPXV/Human/USA/CA-CDPH-MPX000013/2022_NorthAmerica_2022-06-30	accession
OP580590	hMPX/USA/CA-LACPHL-MA00157/2022_NorthAmerica_2022-09-22	accession
OP687933	MPXV_USA_2022_MI0003_NorthAmerica_2022-08-31	accession
OP205121	MPXV_UK_2022_9000164_WesternEurope_2022-07-05	accession
OP205116	MPXV_UK_2022_9000158_WesternEurope_2022-07-07	accession
OP415237	MPX_oJ2Z6R_9000271_WesternEurope_2022-08-25	accession
OP680498	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00220/2022_NorthAmerica_2022-07-15	accession
OP539936	MPX/Human/USA/CA-LACPHL-MA00150/2022_NorthAmerica_2022-08-17	accession
OP539891	MPX/Human/USA/CA-LACPHL-MA00106/2022_NorthAmerica_2022-08-22	accession
OP539938	MPX/Human/USA/CA-LACPHL-MA00152/2022_NorthAmerica_2022-08-23	accession
OP539884	MPX/Human/USA/CA-LACPHL-MA00099/2022_NorthAmerica_2022-08-26	accession
OP440566	hMPX/Human/USA/CA-LACPHL-MA00002/2022_NorthAmerica_2022-07-18	accession
OP440565	hMPX/Human/USA/CA-LACPHL-MA00001/2022_NorthAmerica_2022-07-18	accession
OP245343	MPX/PT0109/2022_SouthernEurope_2022-07-18	accession
OP245317	MPX/PT0063/2022_SouthernEurope_2022-07-31	accession
OP555619	Monkeypox/PT0548/2022_SouthernEurope_2022-08-27	accession
OP245339	MPX/PT0089/2022_SouthernEurope_2022-07-18	accession
OP245326	MPX/PT0072/2022_SouthernEurope_2022-07-27	accession
OP555502	Monkeypox/PT0408/2022_SouthernEurope_2022-07-25	accession
OP555547	Monkeypox/PT0468/2022_SouthernEurope_2022-08-05	accession
OP324454	Monkeypox/PT0130/2022_SouthernEurope_2022-07-11	accession
OP743363	MPXV/Human/USA/UT-UPHL-82200116/2022_NorthAmerica_2022-07-22	accession
OP440585	hMPX/Human/USA/CA-LACPHL-MA00012/2022_NorthAmerica_2022-07-20	accession
OQ330982	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00377/2022_NorthAmerica_2022-10-09	accession
OP920685	MPXV/Human/USA/CA-LACPHL-MA00347/2022_NorthAmerica_2022-10-09	accession
OP451012	MPXV_USA_2022_CA0055_NorthAmerica_2022-06-28	accession
OP587240	MPXV/Human/USA/CA-CDPH-MPX000008/2022_NorthAmerica_2022-06-28	accession
OP863232	hMpxV/USA/CA-CDPH-000058/2022_NorthAmerica_2022-09-25	accession
OP863231	hMpxV/USA/CA-CDPH-000057/2022_NorthAmerica_2022-09-25	accession
OP373388	MPXV/Germany/2022/RKI330_WesternEurope_2022-09-01	accession
OP415187	MPX_Q9BB92_9000206_WesternEurope_2022-06-26	accession
OP626105	MPXV/Germany/2022/RKI467_WesternEurope_2022-06-26	accession
OP415279	MPX_3LjZEY_9000354_WesternEurope_2022-08-01	accession
OP415280	MPX_3LjZEY_9000355_WesternEurope_2022-08-01	accession
OP415231	MPX_8gbW2X_9000262_WesternEurope_2022-08-01	accession
OP205129	MPXV_UK_2022_9000184_WesternEurope_2022-06-30	accession
OP555479	Monkeypox/PT0383/2022_SouthernEurope_2022-07-12	accession
OP555465	Monkeypox/PT0369/2022_SouthernEurope_2022-06-30	accession
OP245358	MPX/PT0125/2022_SouthernEurope_2022-07-14	accession
OP324474	Monkeypox/PT0157/2022_SouthernEurope_2022-07-05	accession
OP555542	Monkeypox/PT0462/2022_SouthernEurope_2022-08-05	accession
OP555469	Monkeypox/PT0373/2022_SouthernEurope_2022-07-05	accession
OP555541	Monkeypox/PT0460/2022_SouthernEurope_2022-08-04	accession
OP555513	Monkeypox/PT0426/2022_SouthernEurope_2022-07-31	accession
OP626126	MPXV/Germany/2022/RKI488_WesternEurope_2022-07-31	accession
OP594189	MPXV/Germany/2022/RKI425_WesternEurope_2022-09-01	accession
OP594188	MPXV/Germany/2022/RKI424_WesternEurope_2022-09-01	accession
OP215205	MPXV/Germany/2022/RKI214_WesternEurope_2022-08-01	accession
