location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Austria,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7000000000000001,0.28,0.7000000000000001,0.28,1.45,0.58,1.01,3.29,3.71,4.42,6.1499999999999995,9.57,15.010000000000002,14.290000000000001,27.580000000000002,27.28,33.73,39.13,28.86,22.45,19.85,29.71,12.15,11.01,8.29,4.58,0.1,0.14,0.8400000000000001,0.1,0.1,0.1
Belgium,0.1,0.1,0.1,0.1,0.1,0.1,0.28,0.7000000000000001,0.86,2.43,0.7000000000000001,0.1,0.1,2.7199999999999998,4.57,4.13,7.27,13.020000000000001,14.44,18.57,24.3,38.42,66.98,62.84,71.12,86.69,82.71000000000001,78.15,55.0,48.43,32.83,26.99,25.72,8.57,6.72,3.71,1.0,0.1,0.1
Canada,0.1,0.1,0.1,0.1,0.8400000000000001,0.14,0.86,4.15,5.0,3.84,1.13,7.74,1.29,21.419999999999998,3.57,8.86,9.14,20.7,39.43,30.28,61.550000000000004,52.56,100.71000000000001,95.28999999999999,141.57,121.86,139.3,144.43,110.71000000000001,71.72,64.58,56.44,50.15,71.57,19.14,0.1,0.1,0.1,0.1
Colombia,7.86,11.440000000000001,14.0,31.42,55.56,44.0,28.13,39.58,65.28999999999999,98.84,84.0,157.57999999999998,209.14,270.31,335.87,334.41,401.55,390.7,362.56,336.58,335.86,207.7,116.71000000000001,69.28,37.86,5.989999999999999,3.71,1.71,1.43,2.17,2.58,0.43,0.1,0.1,0.1,0.1,0.1,0.1,0.1
France,2.0,0.1,0.1,1.14,2.8499999999999996,0.1,0.1,2.15,3.01,2.31,5.55,2.15,5.1499999999999995,14.299999999999999,23.44,34.16,39.29,54.87,92.7,142.3,191.0,456.71,284.58,283.41,384.84000000000003,421.71999999999997,522.5799999999999,341.03000000000003,248.44,121.00999999999999,160.57999999999998,132.7,71.27000000000001,44.0,20.42,4.14,0.28,0.1,0.1
Germany,4.43,6.42,2.2800000000000002,0.7000000000000001,0.28,1.28,2.03,1.45,0.1,0.28,1.28,3.17,6.02,6.43,4.56,14.73,21.58,33.3,34.72,37.019999999999996,52.43,107.42,155.01,191.71,239.56,301.99,385.72,409.87,393.44,380.86,363.72,265.3,149.0,69.15,33.85,8.719999999999999,0.28,0.1,0.1
Italy,0.86,2.15,3.72,9.88,2.59,6.43,4.85,3.87,2.43,1.73,6.140000000000001,14.299999999999999,3.9899999999999998,5.59,23.009999999999998,10.99,5.55,10.15,20.87,31.990000000000002,28.72,40.01,49.73,73.86,100.72999999999999,74.16999999999999,58.57,75.84,60.15,62.01,72.28999999999999,41.87,25.16,4.29,9.99,4.699999999999999,1.0,0.1,0.1
Peru,13.129999999999999,14.58,31.13,23.43,25.57,42.43,37.58,59.71,57.13,81.27000000000001,83.57,130.57,111.00999999999999,140.87,174.43,124.72999999999999,149.43,265.42,213.98000000000002,257.72,243.0,302.29,334.86,287.13,205.7,102.71000000000001,111.0,61.87,21.0,10.129999999999999,1.8599999999999999,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Portugal,0.1,0.1,0.58,1.45,0.1,0.1,0.1,0.1,0.1,0.1,3.9899999999999998,0.1,0.1,2.8499999999999996,8.29,5.71,7.59,9.030000000000001,9.73,29.88,24.99,25.7,38.83,54.27,72.14,54.15,65.00999999999999,50.86,70.03,28.0,70.14,76.44,57.57,69.87,54.87,46.45,11.719999999999999,0.1,0.1
Slovakia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.03,0.29,1.7399999999999998,1.8599999999999999,2.16,2.15,1.56,0.9800000000000001,0.8400000000000001,0.42000000000000004,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
