region_coarse,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
CentralEurope,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.8400000000000001,0.1,1.28,3.76,0.29,1.7399999999999998,4.4399999999999995,6.449999999999999,6.859999999999999,7.710000000000001,7.55,7.140000000000001,3.84,1.01,1.15,1.27,3.1399999999999997,1.1400000000000001,1.2999999999999998,0.1,0.1,0.1
NorthAmerica,57.58,52.85,95.87,88.0,41.55,14.42,47.14,341.28,156.72,186.69,245.56,331.01,394.29,523.13,672.85,656.14,1002.1500000000001,1339.5700000000002,1686.71,1831.56,2347.69,2756.56,3260.85,3346.73,3169.44,2429.29,1699.73,1177.85,524.5699999999999,311.73,200.87,121.58,86.28999999999999,99.14,24.85,0.1,0.1,0.1,0.1
SouthAmerica,20.99,26.020000000000003,45.13,54.85,81.13,86.43,65.71,99.28999999999999,122.42,180.11,167.57,288.15,320.15,411.18,510.3,459.14000000000004,550.98,656.12,576.54,594.3,578.86,509.99,451.57,356.41,243.56,108.7,114.71000000000001,63.58,22.43,12.3,4.44,0.43,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SouthernEurope,5.72,10.02,8.989999999999998,14.18,25.45,64.72,10.549999999999999,5.87,8.3,15.31,61.85,27.85,20.83,53.28,60.169999999999995,45.58,69.28,109.03999999999999,156.32,273.9,254.0,344.71,567.86,795.55,848.87,999.3299999999999,724.5699999999999,802.0,1148.1799999999998,560.27,348.99,341.01,223.16,156.74,154.3,83.56,20.3,0.1,0.1
WesternEurope,7.85,9.969999999999999,2.2800000000000002,1.8399999999999999,3.13,1.28,4.01,11.81,13.41,14.870000000000001,14.84,7.63,17.9,53.17,73.28,66.56,104.25,166.75,200.54000000000002,292.15999999999997,388.87,744.69,760.8199999999999,772.55,1057.3700000000001,1243.53,1337.32,1243.78,1151.19,809.87,887.5699999999999,766.27,450.83,252.0,178.14,82.7,12.41,1.1300000000000001,0.14
