	accession	date	region_coarse	country	strain
0	ON838940	2022-05-20	Southern Europe	Spain	4061
1	ON838939	2022-06-06	Southern Europe	Spain	8887
2	OP413714	2022-08-17	Western Europe	United Kingdom	9000289
3	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
4	OP536761	2022-08-01	Western Europe	United Kingdom	9000382
5	OP536764	2022-09-30	Western Europe	United Kingdom	9000385
6	OP536765	2022-08-01	Western Europe	United Kingdom	9000387
7	OP536771	2022-08-01	Western Europe	United Kingdom	9000393
8	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
9	OP536778	2022-09-01	Western Europe	United Kingdom	9000400
10	OP536781	2022-09-12	Western Europe	United Kingdom	9000405
11	OP536782	2022-09-12	Western Europe	United Kingdom	9000406
12	OP536783	2022-09-22	Western Europe	United Kingdom	9000407
13	OP536785	2022-09-01	Western Europe	United Kingdom	9000409
14	OP536794	2022-08-31	Western Europe	United Kingdom	9000420
15	OP536800	2022-08-01	Western Europe	United Kingdom	9000426
16	OP536801	2022-09-01	Western Europe	United Kingdom	9000429
17	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
18	OP536803	2022-09-12	Western Europe	United Kingdom	9000431
19	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
20	OP536806	2022-08-01	Western Europe	United Kingdom	9000437
21	OP536807	2022-09-30	Western Europe	United Kingdom	9000438
22	OP536811	2022-09-01	Western Europe	United Kingdom	9000448
23	OP536813	2022-09-01	Western Europe	United Kingdom	9000451
24	OP536814	2022-09-01	Western Europe	United Kingdom	9000452
25	ON676708	2021-11-30	North America	USA	MPXV_USA_2021_MD
26	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
27	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
28	OQ330992	2022-10-21	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00385/2022
29	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
30	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
31	OP605554	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-11-2022
32	OP451016	2022-06-01	North America	USA	MPXV_USA_2022_CA0043
33	OP605565	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-23-2022
34	OP605571	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-29-2022
35	OP605582	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-41-2022
36	ON614676	2022-05-18	Southern Europe	Italy	INMI-Pt1
37	ON622713	2022-05-22	Western Europe	Belgium	MPX/UZ_REGA_2/Belgium/2022
38	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
39	OP382491	2022-07-22	Western Europe	France	hMPXV-IHU00014
40	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
41	OP414302	2022-06-17	Southern Europe	Portugal	Monkeypox/PT0262/2022
42	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
43	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
44	OP414381	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0354/2022
45	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
46	OP689663	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI510
47	OP555521	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0437/2022
48	ON649709	2022-05-18	Southern Europe	Portugal	Monkeypox/PT0028/2022
49	OP414332	2022-06-08	Southern Europe	Portugal	Monkeypox/PT0298/2022
50	OP764615	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI557
51	OP022171	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_6
52	OP752120	2022-07-01	North America	USA	MPXV_USA_2022_TN0007
53	OP743357	2022-05-21	North America	USA	MPXV/Human/USA/UT-UPHL-82200022/2022
54	OP205074	2022-06-07	Western Europe	United Kingdom	MPXV_UK_2022_9000068
55	OP415196	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000218
56	OQ159034	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI639
57	OP605559	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-17-2022
58	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
59	OP920692	2022-10-16	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00354/2022
60	ON880527	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3141/2022
61	OX261748	2022-07-13	Central Europe	Slovakia	RNA
62	ON880419	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_3/Belgium/2022
63	OP257266	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-083179/2022
64	OP205117	2022-07-04	Western Europe	United Kingdom	MPXV_UK_2022_9000159
65	OP205114	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_9000152
66	OP382482	2022-07-04	Western Europe	France	hMPXV-IHU00005
67	ON843178	2022-06-02	Southern Europe	Portugal	Monkeypox/PT0040/2022
68	OP382480	2022-07-04	Western Europe	France	hMPXV-IHU00003
69	OP205139	2022-05-25	Western Europe	United Kingdom	MPXV_UK_2022_9000090
70	ON959131	2022-05-01	North America	USA	MPXV_USA_2022_IL001
71	ON755040	2022-05-20	Western Europe	France	MPXV_IRBA22-14
72	OP415195	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000217
73	OP123043	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-077836/2022
74	ON880420	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_4/Belgium/2022
75	ON808414	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1b
76	ON631241	2022-05-24	Central Europe	Slovenia	2022/2 SLO
77	OP415233	2022-08-01	Western Europe	United Kingdom	MPX_qQzToC_9000264
78	ON682267	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI010
79	OP018597	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI172
80	OP123044	2022-07-01	North America	USA	MpxV/human/USA/WA-UW-071246/2022
81	ON880421	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_5/Belgium/2022
82	ON983162	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3531/2022
83	ON880422	2022-05-27	Western Europe	Belgium	MPX/UZ_REGA_6/Belgium/2022
84	ON649724	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0014/2022
85	OP205107	2022-06-16	Western Europe	United Kingdom	MPXV_UK_2022_9000144
86	ON676703	2022-05-01	North America	USA	MPXV_USA_2022_CA001
87	OP580154	2022-06-07	North America	USA	MPXV/Human/USA/CA-CDPH-MPX000006/2022
88	ON563414	2022-05-01	North America	USA	MPXV_USA_2022_MA001
89	ON619837	2022-05-15	Western Europe	United Kingdom	MPXV_UK_2022_3
90	OP689658	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI505
91	OP743358	2022-05-21	North America	USA	MPXV/Human/USA/UT-UPHL-82200023/2022
92	OP605580	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-39-2022
93	OP536697	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-036
94	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
95	OP414339	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0305/2022
96	ON880520	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2857/2022
97	OP605575	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-33-2022
98	ON880518	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3486/2022
99	ON745215	2022-05-19	Southern Europe	Italy	INMI-Pt2
100	ON676706	2022-05-01	North America	USA	MPXV_USA_2022_UT002
101	ON959157	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI142
102	OP382483	2022-07-04	Western Europe	France	hMPXV-IHU00006
103	OP205130	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000185
104	OP523992	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI390
105	ON645312	2022-05-11	Western Europe	United Kingdom	MPXV_GSTT_Patient1
106	OP605563	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-21-2022
107	OP415268	2022-08-01	Western Europe	United Kingdom	MPX_Qjmiyl_9000330
108	OP415210	2022-07-01	Western Europe	United Kingdom	MPX_KMgssq_9000236
109	ON808416	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1d
110	OP626138	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI499
111	OP555648	2022-09-09	Southern Europe	Portugal	Monkeypox/PT0577/2022
112	ON622720	2022-05-24	Western Europe	Switzerland	MPXV-CH-38156923/2022
113	OP727820	2022-07-29	Western Europe	Belgium	PEV_case
114	OP555612	2022-08-23	Southern Europe	Portugal	Monkeypox/PT0541/2022
115	OP019275	2022-06-10	Western Europe	Austria	hMPXV/Austria/MUW1525179/2022
116	OP013011	2022-06-09	North America	Canada	MpxV/human/CAN/UN-NML-3611/2022
117	ON649717	2022-05-21	Southern Europe	Portugal	Monkeypox/PT0019/2022
118	ON619838	2022-05-15	Western Europe	United Kingdom	MPXV_UK_2022_4
119	OP382487	2022-07-18	Western Europe	France	hMPXV-IHU00010
120	OP382478	2022-06-13	Western Europe	France	hMPXV-IHU00001
121	OP382494	2022-07-22	Western Europe	France	hMPXV-IHU00017
122	OP324465	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0148/2022
123	OP414370	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0341/2022
124	OP013007	2022-06-07	North America	Canada	MpxV/human/CAN/UN-NML-3549/2022
125	OP555470	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0374/2022
126	OP414364	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0333/2022
127	ON627808	2022-05-20	North America	USA	MPX/human/USA/UT-UPHL-82200022/2022
128	ON880524	2022-05-26	North America	Canada	MpxV/human/CAN/UN-NML-3080/2022
129	ON853657	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI071
130	OP215236	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI194
131	ON622712	2022-05-19	Western Europe	Belgium	MPX/UZ_REGA_1/Belgium/2022
132	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
133	ON585035	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0009/2022
134	ON676704	2022-05-15	North America	USA	MPXV_USA_2022_FL002
135	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
136	OP837338	2022-06-30	Western Europe	Germany	MPXV/Germany/2022/RKI576
137	OP555464	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0367/2022
138	OX336004	2022-08-26	Central Europe	Slovakia	RNA_6ncjpc
139	OP605566	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-24-2022
140	OP820454	2022-09-07	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022
141	OP605573	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-31-2022
142	OP205068	2022-06-05	Western Europe	United Kingdom	MPXV_UK_2022_9000062
143	ON595760	2022-05-19	Western Europe	Switzerland	MPXV-CH-38134631/2022
144	ON736420	2022-05-31	North America	Canada	MPX/2022/Canada/AB1
145	OP555634	2022-09-05	Southern Europe	Portugal	Monkeypox/PT0563/2022
146	ON843163	2022-05-13	Southern Europe	Portugal	Monkeypox/PT0048/2022
147	ON745225	2022-05-27	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-66649483/2022
148	OP382490	2022-07-20	Western Europe	France	hMPXV-IHU00013
149	OP555526	2022-08-03	Southern Europe	Portugal	Monkeypox/PT0445/2022
