	accession	date	region_coarse	country	strain
150	OP414342	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0308/2022
151	OP205126	2022-06-26	Western Europe	United Kingdom	MPXV_UK_2022_9000177
152	OP722515	2022-07-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00256/2022
153	OP245333	2022-07-26	Southern Europe	Portugal	MPX/PT0080/2022
154	ON843168	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0032/2022
155	ON682263	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI03
156	OP205134	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000189
157	ON880521	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2858/2022
158	OP062233	2022-06-28	North America	Canada	MpxV/human/CAN/UN-NML-3913/2022
159	ON880509	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3137/2022
160	ON682269	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI07
161	ON676705	2022-05-01	North America	USA	MPXV_USA_2022_UT001
162	OP257265	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-089183/2022
163	OP245361	2022-07-12	Southern Europe	Portugal	MPX/PT0128/2022
164	OP539921	2022-08-08	North America	USA	MPX/Human/USA/CA-LACPHL-MA00136/2022
165	OP414382	2022-05-22	Southern Europe	Portugal	Monkeypox/PT0355/2022
166	OP414347	2022-06-05	Southern Europe	Portugal	Monkeypox/PT0314/2022
167	OP414325	2022-06-14	Southern Europe	Portugal	Monkeypox/PT0290/2022
168	OP604522	2022-06-01	North America	USA	MPXV_USA_2022_PA0008
169	OP531887	2022-08-03	North America	USA	B1118307
170	OP295383	2022-07-29	South America	Colombia	INS-MPXV-0016-H1
171	OP414337	2022-06-07	Southern Europe	Portugal	Monkeypox/PT0303/2022
172	ON954773	2022-05-15	North America	USA	MPXV_USA_2022_CA002
173	ON959134	2022-05-01	North America	USA	MPXV_USA_2022_NY003
174	OP245335	2022-07-22	Southern Europe	Portugal	MPX/PT0084/2022
175	OP605569	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-27-2022
176	ON619835	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_1
177	OP324460	2022-07-11	Southern Europe	Portugal	Monkeypox/PT0139/2022
178	ON619836	2022-05-15	Western Europe	United Kingdom	MPXV_UK_2022_2
179	ON929078	2022-07-03	Western Europe	Germany	MPXV/Germany/2022/RKI123
180	OP603008	2022-07-01	North America	USA	MPXV_USA_2022_NY0022
181	OP555658	2022-09-13	Southern Europe	Portugal	Monkeypox/PT0591/2022
182	OP120937	2022-05-01	Southern Europe	Spain	MP01CHUAC
183	OP415194	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000216
184	ON959165	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI151
185	OP536730	2022-06-28	North America	USA	MPXV-USA-IL-IDPH-069
186	ON682270	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI06
187	OQ330979	2022-12-05	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022
188	OP693649	2022-07-29	South America	Colombia	ANT_INS_MPX_0039_L
189	ON644344	2022-05-25	Southern Europe	Italy	MPXV_FVG-ITA_01_2022
190	OP062234	2022-06-29	North America	Canada	MpxV/human/CAN/UN-NML-3921/2022
191	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
192	OQ330977	2022-10-26	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00370/2022
193	OP303797	2022-06-01	North America	USA	MPXV_USA_2022_VA0003
194	OP605584	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-43-2022
195	OP484680	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI359
196	OP837334	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI572
197	OP689679	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI526
198	OP524001	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI399
199	OP415207	2022-07-01	Western Europe	United Kingdom	MPX_BhVKjm_9000233
200	OP133005	2022-07-05	Western Europe	Austria	hMPXV/Austria/MUW1531848/2022
201	OP133004	2022-07-11	Western Europe	Austria	hMPXV/Austria/MUW1533374/2022
202	OP415266	2022-08-01	Western Europe	United Kingdom	MPX_ElGfGw_9000328
203	OP022170	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_5
204	OP594190	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI426
205	OP594188	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI424
206	OP820452	2022-08-06	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10003/2022
207	OP451005	2022-07-01	North America	USA	MPXV_USA_2022_LA0001
208	OP743992	2022-09-01	North America	USA	MpxV/human/USA/WA-UW-096711/2022
209	ON755241	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI035
210	OX297403	2022-08-09	Central Europe	Slovakia	RNA_7e331z
211	OX261749	2022-07-20	Central Europe	Slovakia	RNA_56005y
212	OP539887	2022-09-01	North America	USA	MPX/Human/USA/CA-LACPHL-MA00102/2022
213	OP185715	2022-05-01	North America	USA	MPXV_USA_2022_CO0002
214	OP555497	2022-07-19	Southern Europe	Portugal	Monkeypox/PT0401/2022
215	OP555478	2022-07-12	Southern Europe	Portugal	Monkeypox/PT0382/2022
216	OP422343	2022-08-08	Western Europe	Austria	hMPXV/Austria/MUW1540386/2022
217	OP422340	2022-07-13	Western Europe	Austria	hMPXV/Austria/MUW1533948/2022
218	OP837354	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI592
219	OP764629	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI571
220	OP837344	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI582
221	ON813254	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI057
222	OX291435	2022-07-25	Central Europe	Slovakia	RNA_5hbxm6
223	OX291424	2022-07-25	Central Europe	Slovakia	RNA_4i9ul8
224	OQ054245	2022-09-01	North America	USA	MPXV_USA_2022_CA0030
225	OP920679	2022-10-19	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00341/2022
226	OP120938	2022-06-01	Southern Europe	Spain	MP03CHUAC
227	OP555548	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0469/2022
228	OP133007	2022-07-22	Western Europe	Austria	hMPXV/Austria/MUW1536480/2022
229	OP205123	2022-06-30	Western Europe	United Kingdom	MPXV_UK_2022_9000167
230	ON755243	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI037
231	OP215271	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI269
232	OP215283	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI264
233	ON927243	2022-06-21	Southern Europe	Spain	MpxV/Spain/MD-HGUGM-6642566/2022
234	OP324472	2022-07-06	Southern Europe	Portugal	Monkeypox/PT0155/2022
235	OP215270	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI255
236	OP598104	2022-09-13	North America	USA	MPXV/Human/USA/MA-USAFSAM-M0002/2022
237	OP837473	2022-10-25	South America	Colombia	VAC_INS_MPX_1054_L
238	OP603005	2022-07-01	North America	USA	MPXV_USA_2022_SC0003
239	OX291694	2022-08-01	Central Europe	Slovakia	RNA_6rfmf6
240	OX336038	2022-08-31	Central Europe	Slovakia	RNA_6ob9hu
241	OQ159042	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI647
242	OP414376	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0347/2022
243	OP390202	2022-07-17	Western Europe	United Kingdom	hMpxV/UK/LMO-040a/2022
244	OP390186	2022-06-20	Western Europe	United Kingdom	hMpxV/UK/LMO-004a/2022
245	OP615325	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI449
246	OX291780	2022-07-25	Central Europe	Slovakia	RNA_2lwdey
247	OX291676	2022-08-01	Central Europe	Slovakia	RNA_2ulvg6
248	OP536734	2022-06-30	North America	USA	MPXV-USA-IL-IDPH-073
249	OP820455	2022-08-08	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022
250	OP390205	2022-07-26	Western Europe	United Kingdom	hMpxV/UK/LMO-046a/2022
251	OP324466	2022-07-06	Southern Europe	Portugal	Monkeypox/PT0149/2022
252	OP414309	2022-06-15	Southern Europe	Portugal	Monkeypox/PT0269/2022
253	OP245356	2022-07-13	Southern Europe	Portugal	MPX/PT0123/2022
254	OQ330989	2022-10-19	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00365/2022
255	OQ148474	2022-11-15	South America	Colombia	LBMB-UTP_MP-025_VAC
256	OP819957	2022-10-12	South America	Colombia	VAC_INS_MPX_0965_HL
257	ON880517	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3476/2022
258	ON880544	2022-06-02	North America	Canada	MpxV/human/CAN/UN-NML-3363/2022
259	OP013002	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3164/2022
260	OP013001	2022-05-14	North America	Canada	MpxV/human/CAN/UN-NML-2831/2022
261	OP555646	2022-09-06	Southern Europe	Portugal	Monkeypox/PT0575/2022
262	OP555637	2022-08-31	Southern Europe	Portugal	Monkeypox/PT0566/2022
263	OP555642	2022-09-05	Southern Europe	Portugal	Monkeypox/PT0571/2022
264	OP555636	2022-09-05	Southern Europe	Portugal	Monkeypox/PT0565/2022
265	OQ331004	2022-12-13	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00393/2022
266	OP863229	2022-10-07	North America	USA	hMpxV/USA/CA-CDPH-000055/2022
267	OP422341	2022-08-01	Western Europe	Austria	hMPXV/Austria/MUW1538395/2022
268	OP422342	2022-08-02	Western Europe	Austria	hMPXV/Austria/MUW1539124/2022
269	OP580587	2022-08-05	North America	USA	hMPX/USA/CA-LACPHL-MA00154/2022
270	OP555528	2022-08-04	Southern Europe	Portugal	Monkeypox/PT0447/2022
271	OP555662	2022-09-16	Southern Europe	Portugal	Monkeypox/PT0595/2022
272	OP555645	2022-09-06	Southern Europe	Portugal	Monkeypox/PT0574/2022
273	OP225967	2022-06-01	North America	USA	MPXV_USA_2022_FL0011
274	OP270022	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3972/2022
275	OP382485	2022-07-05	Western Europe	France	hMPXV-IHU00008
276	OP171919	2022-06-25	North America	USA	MPXV22/human/USA-NE-25
277	OP324453	2022-07-12	Southern Europe	Portugal	Monkeypox/PT0129/2022
278	ON694335	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI018
279	OP623592	2022-08-09	South America	Colombia	BOL-UNIMOL-MPX-293165-L
280	OP959067	2022-09-15	South America	Colombia	CES-UNIMOL-MPX-202203853-L
281	OP959066	2022-09-14	South America	Colombia	CES-UNIMOL-MPX-202203848-L
282	OQ331008	2022-12-30	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022
283	OQ331006	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00397/2023
284	OQ331005	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00396/2023
285	OQ331007	2023-01-03	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00398/2023
286	OP722513	2022-10-11	North America	USA	MPX/Human/USA/CA-LACPHL-MA00254/2022
287	OP144217	2022-06-02	Western Europe	Belgium	MPXV/ITM_pt_09/Belgium/2-Jun-2022
288	OP144213	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_24/Belgium/16-Jun-2022
289	OP144216	2022-05-30	Western Europe	Belgium	MPXV/ITM_pt_07/Belgium/30-May-2022
290	OP144215	2022-05-30	Western Europe	Belgium	MPXV/ITM_pt_05/Belgium/30-May-2022
291	OP144211	2022-06-01	Western Europe	Belgium	MPXV/ITM_pt_10/Belgium/1-Jun-2022
292	OP555514	2022-08-01	Southern Europe	Portugal	Monkeypox/PT0427/2022
293	OP555580	2022-08-16	Southern Europe	Portugal	Monkeypox/PT0507/2022
294	OP555554	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0475/2022
295	OP555651	2022-09-09	Southern Europe	Portugal	Monkeypox/PT0580/2022
296	OP555649	2022-09-12	Southern Europe	Portugal	Monkeypox/PT0578/2022
297	OP555639	2022-09-02	Southern Europe	Portugal	Monkeypox/PT0568/2022
298	OQ330973	2022-12-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022
299	OP920700	2022-10-28	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00362/2022
300	OP890525	2022-10-27	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00321/2022
301	OQ330974	2022-12-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00395/2022
302	OQ331002	2022-11-23	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00374/2022
303	OP920695	2022-11-08	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00357/2022
304	OP555477	2022-07-11	Southern Europe	Portugal	Monkeypox/PT0381/2022
305	OP414345	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0311/2022
306	ON585038	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0008/2022
307	ON880538	2022-06-01	North America	Canada	MpxV/human/CAN/UN-NML-3336/2022
308	OP324538	2022-06-22	Southern Europe	Portugal	Monkeypox/PT0229/2022
309	ON843181	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0045/2022
310	OP555549	2022-08-08	Southern Europe	Portugal	Monkeypox/PT0470/2022
311	OP324525	2022-06-24	Southern Europe	Portugal	Monkeypox/PT0215/2022
312	OP555632	2022-08-31	Southern Europe	Portugal	Monkeypox/PT0561/2022
313	OP555571	2022-08-16	Southern Europe	Portugal	Monkeypox/PT0497/2022
314	OP328311	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-088258/2022
315	ON755039	2022-05-19	Western Europe	France	MPXV_IRBA22-11
316	OP838893	2022-06-21	Southern Europe	Italy	ID6821
317	OP382481	2022-07-04	Western Europe	France	hMPXV-IHU00004
318	OP270026	2022-07-05	North America	Canada	MpxV/human/CAN/UN-NML-4017/2022
319	OQ172215	2022-06-07	Western Europe	France	MPXV-1047
320	OP382486	2022-07-07	Western Europe	France	hMPXV-IHU00009
321	OP764616	2022-06-09	Western Europe	Germany	MPXV/Germany/2022/RKI558
322	OP451009	2022-07-01	North America	USA	MPXV_USA_2022_CT0002
323	ON959135	2022-05-17	North America	USA	MPXV_USA_2022_NY004
324	OP626108	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI470
325	OP523989	2022-09-30	Western Europe	Germany	MPXV/Germany/2022/RKI387
326	ON694342	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI011
327	OP605553	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-10-2022
328	OP382493	2022-07-22	Western Europe	France	hMPXV-IHU00016
329	OP837351	2022-06-30	Western Europe	Germany	MPXV/Germany/2022/RKI589
330	OP355572	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI314
331	OP019277	2022-07-04	Western Europe	Austria	hMPXV/Austria/MUW1531254/2022
332	OP555491	2022-07-13	Southern Europe	Portugal	Monkeypox/PT0395/2022
333	OP245319	2022-07-27	Southern Europe	Portugal	MPX/PT0065/2022
334	OP270024	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3976/2022
335	ON880549	2022-06-03	North America	Canada	MpxV/human/CAN/UN-NML-3450/2022
336	OP270025	2022-07-05	North America	Canada	MpxV/human/CAN/UN-NML-4014/2022
337	ON880528	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3147/2022
338	OP270027	2022-07-05	North America	Canada	MpxV/human/CAN/UN-NML-4024/2022
339	ON880533	2022-05-30	North America	Canada	MpxV/human/CAN/UN-NML-3257/2022
340	OP270023	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3975/2022
341	OP270021	2022-07-04	North America	Canada	MpxV/human/CAN/UN-NML-3971/2022
342	OP226139	2022-07-11	North America	Canada	MpxV/human/CAN/UN-NML-4050/2022
