accession	strain
ON676708	MPXV_USA_2021_MD_USA_2021-11-XX
ON959131	MPXV_USA_2022_IL001_USA_2022-05-XX
OP743358	MPXV/Human/USA/UT-UPHL-82200023/2022_USA_2022-05-21
ON676703	MPXV_USA_2022_CA001_USA_2022-05-XX
ON676704	MPXV_USA_2022_FL002_USA_2022-05-XX
ON563414	MPXV_USA_2022_MA001_USA_2022-05-XX
ON682270	MPXV/Germany/2022/RKI06_Germany_2022-05-XX
ON694335	MPXV/Germany/2022/RKI018_Germany_2022-05-XX
ON637939	MPXV/Germany/2022/RKI02_Germany_2022-05-XX
ON682263	MPXV/Germany/2022/RKI03_Germany_2022-05-XX
ON682269	MPXV/Germany/2022/RKI07_Germany_2022-05-XX
ON649708	Monkeypox/PT0023/2022_Portugal_2022-05-19
ON649714	Monkeypox/PT0015/2022_Portugal_2022-05-20
ON843171	Monkeypox/PT0030/2022_Portugal_2022-05-26
ON843167	Monkeypox/PT0036/2022_Portugal_2022-05-26
ON649709	Monkeypox/PT0028/2022_Portugal_2022-05-18
ON622720	MPXV-CH-38156923/2022_Switzerland_2022-05-24
ON595760	MPXV-CH-38134631/2022_Switzerland_2022-05-19
OP422245	hMPXV-CH-38212023/2022_Switzerland_2022-05-30
ON631241	2022/2SLO_Slovenia_2022-05-24
ON609725	SLO_Slovenia_2022-05-23
ON754987	MPXV_SI2022_S1_VEROE6_Slovenia_2022-05-23
ON780017	INMI-Pt4_Italy_2022-05-21
ON614676	INMI-Pt1_Italy_2022-05-18
ON745215	INMI-Pt2_Italy_2022-05-19
ON780016	INMI-Pt3_Italy_2022-05-19
ON644344	MPXV_FVG-ITA_01_2022_Italy_2022-05-25
ON615424	MPXV_2022_NL001_Netherlands_2022-05-XX
ON645312	MPXV_GSTT_Patient1_UnitedKingdom_2022-05-11
OP394229	9000220_NCPV_1703_UnitedKingdom_2022-05-14
OP205114	MPXV_UK_2022_9000152_UnitedKingdom_2022-05-16
ON808414	CVR_MPXV1b_UnitedKingdom_2022-05-15
OP205083	MPXV_UK_2022_9000092_UnitedKingdom_2022-05-25
ON622713	MPX/UZ_REGA_2/Belgium/2022_Belgium_2022-05-22
OP144216	MPXV/ITM_pt_07/Belgium/30-May-2022_Belgium_2022-05-30
ON880419	MPX/UZ_REGA_3/Belgium/2022_Belgium_2022-05-27
ON880420	MPX/UZ_REGA_4/Belgium/2022_Belgium_2022-05-27
OP144215	MPXV/ITM_pt_05/Belgium/30-May-2022_Belgium_2022-05-30
ON720849	MpxV/Spain/MD-HGUGM-6532064/2022_Spain_2022-05-27
ON745225	MpxV/Spain/MD-HGUGM-66649483/2022_Spain_2022-05-27
ON838940	4061_Spain_2022-05-20
ON720848	MpxV/Spain/MD-HGUGM-6513479/2022_Spain_2022-05-27
ON782054	MPXV/Spain/HUNSC_ITER_0001a/2022_Spain_2022-05-31
ON622722	MPXV_FR_HCL0001_2022_France_2022-05-22
ON755039	MPXV_IRBA22-11_France_2022-05-19
ON755040	MPXV_IRBA22-14_France_2022-05-20
ON803434	MpxV/human/CAN/UN-NML-2886/2022_Canada_2022-05-20
ON880529	MpxV/human/CAN/UN-NML-3153/2022_Canada_2022-05-28
ON803439	MpxV/human/CAN/UN-NML-2899/2022_Canada_2022-05-20
ON880531	MpxV/human/CAN/UN-NML-3165/2022_Canada_2022-05-29
ON803418	MpxV/human/CAN/UN-NML-2837/2022_Canada_2022-05-18
ON754986	MPXV_SI2022_S5_Slovenia_2022-06-XX
OP605551	Slovenia-MPXV-08-2022_Slovenia_2022-06-XX
OP605552	Slovenia-MPXV-09-2022_Slovenia_2022-06-XX
ON838178	SI2022_S7_Slovenia_2022-06-XX
ON754984	MPXV_SI2022_S3_Slovenia_2022-06-XX
ON813263	MPXV/Germany/2022/RKI063_Germany_2022-06-XX
ON853675	MPXV/Germany/2022/RKI096_Germany_2022-06-XX
ON853667	MPXV/Germany/2022/RKI085_Germany_2022-06-XX
OP764627	MPXV/Germany/2022/RKI569_Germany_2022-06-XX
OP689680	MPXV/Germany/2022/RKI527_Germany_2022-06-XX
ON782022	MPX-42/Finland/2022_Finland_2022-05-31
ON782021	MPX-37/Finland/2022_Finland_2022-05-24
OP783902	hMPXV-CH-38347314/2022_Switzerland_2022-06-08
ON792320	hMpxV/Switzerland/ZH-UZH-IMV-3ba6449f/2022_Switzerland_2022-06-01
ON792322	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022_Switzerland_2022-06-02
ON792321	hMpxV/Switzerland/ZH-UZH-IMV-3ba6450e/2022_Switzerland_2022-06-02
ON838939	8887_Spain_2022-06-06
ON927243	MpxV/Spain/MD-HGUGM-6642566/2022_Spain_2022-06-21
OP414298	Monkeypox/PT0257/2022_Portugal_2022-06-18
OP414361	Monkeypox/PT0330/2022_Portugal_2022-06-01
OP414343	Monkeypox/PT0309/2022_Portugal_2022-06-06
OP414348	Monkeypox/PT0315/2022_Portugal_2022-06-03
OP324521	Monkeypox/PT0211/2022_Portugal_2022-06-26
ON880516	MpxV/human/CAN/UN-NML-3472/2022_Canada_2022-06-02
ON880541	MpxV/human/CAN/UN-NML-3344/2022_Canada_2022-06-01
ON880518	MpxV/human/CAN/UN-NML-3486/2022_Canada_2022-06-08
OP279039	MpxV/human/CAN/UN-NML-4117/2022_Canada_2022-06-28
ON983165	MpxV/human/CAN/UN-NML-3686/2022_Canada_2022-06-14
OP018599	MPXV/Germany/2022/RKI174_Germany_2022-07-XX
ON959175	MPXV/Germany/2022/RKI162_Germany_2022-07-XX
OP626127	MPXV/Germany/2022/RKI489_Germany_2022-07-XX
OP689681	MPXV/Germany/2022/RKI528_Germany_2022-07-XX
ON929071	MPXV/Germany/2022/RKI113_Germany_2022-07-XX
OP378702	MPXV_USA_2022_MI0001_USA_2022-06-XX
OP536707	MPXV-USA-IL-IDPH-046_USA_2022-06-23
OP378706	MPXV_USA_2022_IL0053_USA_2022-06-XX
OP536692	MPXV-USA-IL-IDPH-031_USA_2022-06-14
OP450986	MPXV_USA_2022_TX0015_USA_2022-06-XX
ON959143	MPX-96/Finland/2022_Finland_2022-06-16
OP019275	hMPXV/Austria/MUW1525179/2022_Austria_2022-06-10
OP019276	hMPXV/Austria/MUW1527495/2022_Austria_2022-06-21
