,name,lat,long,region_coarse
0,Canada,-98.14238137209708,61.46907614534896,NorthAmerica
1,United States of America,-112.5994359115045,45.70562800215178,NorthAmerica
2,Peru,-74.39180581684722,-9.191562905134553,SouthAmerica
3,Colombia,-73.07773208697478,3.927213862709704,SouthAmerica
4,France,-2.8766966992706267,42.46070432663372,WesternEurope
5,Austria,14.076158884337072,47.6139487927463,WesternEurope
6,Germany,10.288485092742851,51.13372269040778,WesternEurope
7,Switzerland,8.118300613385486,46.79173768366762,WesternEurope
8,Belgium,4.580834113854935,50.65244095902296,WesternEurope
9,Portugal,-8.055765588295687,39.63404977497817,SouthernEurope
10,Spain,-3.6170206023873743,40.348656106226734,SouthernEurope
11,Italy,12.140788372235871,42.751183052964265,SouthernEurope
12,United Kingdom,-2.8531353951805545,53.91477348053706,WesternEurope
13,Slovenia,14.938152320795732,46.12542205901039,CentralEurope
14,Slovakia,19.507657147433708,48.7267113517275,CentralEurope
